id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_walking mov_other mov_sessile log_mass
0 1 0 0 0 1 0 0 -2.958607314841775
1 0 0 1 1 0 0 0 -0.6434005642750293
2 1 0 0 1 0 0 0 -2.9208187539523753
3 0 1 0 0 0 0 1 -3.642065152999546
4 1 0 0 0 1 0 0 -2.5228787452803374
5 1 0 0 0 1 0 0 -2.8239087409443187
6 1 0 0 0 1 0 0 -0.1366771398795441
7 1 0 0 1 0 0 0 -2.4814860601221125
8 1 0 0 0 1 0 0 -0.43415218132648226
9 1 0 0 1 0 0 0 -3.6989700043360187
10 0 0 1 1 0 0 0 0.03342375548694955
11 1 0 0 0 1 0 0 -2.0
12 1 0 0 0 1 0 0 -3.0969100130080562
13 1 0 0 0 1 0 0 -2.408935392973501
14 1 0 0 0 1 0 0 0.6063813651106049
15 1 0 0 0 1 0 0 -0.5331323796458904
16 1 0 0 0 1 0 0 -2.376750709602099
17 1 0 0 0 1 0 0 -1.3585258894959005
18 1 0 0 0 1 0 0 -2.5528419686577806
19 1 0 0 1 0 0 0 -3.2218487496163566
20 1 0 0 0 1 0 0 -2.958607314841775
21 0 1 0 0 0 0 1 -3.642065152999546
22 0 1 0 0 0 0 1 -3.642065152999546
23 0 1 0 0 0 0 1 -3.642065152999546
24 1 0 0 1 0 0 0 -3.0
25 0 1 0 0 0 0 1 -3.642065152999546
26 0 1 0 0 0 0 1 -3.642065152999546
27 1 0 0 0 0 0 1 1.611617110554336
28 1 0 0 0 1 0 0 -2.193820026016113
29 0 1 0 0 0 0 1 -3.642065152999546
30 0 1 0 0 0 0 1 -3.642065152999546
31 1 0 0 0 0 0 1 -2.00436480540245
32 1 0 0 0 0 0 1 -0.5575202309355514
33 0 1 0 0 0 1 0 -4.0
34 1 0 0 0 1 0 0 -2.0
35 1 0 0 0 0 0 1 -2.214670164989233
36 1 0 0 1 0 0 0 -3.0
37 0 1 0 0 0 0 1 -3.642065152999546
38 0 1 0 0 0 0 1 -3.642065152999546
39 1 0 0 0 1 0 0 -2.0
