id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 0 1 0 0 1 0 0 -0.9030899869919435
1 1 0 0 1 0 0 0 -0.5638373529592441
2 1 0 0 1 0 0 0 -0.7958800173440752
3 0 1 0 0 1 0 0 0.5173278822943734
4 0 1 0 1 0 0 0 -2.5228787452803374
5 0 1 0 1 0 0 0 -0.8664610916297824
6 0 1 0 1 0 0 0 -3.0
7 0 0 1 0 0 0 1 -3.642065152999546
8 0 1 0 0 1 0 0 0.04532297878665747
9 0 1 0 0 1 0 0 2.0457140589408676
10 0 1 0 1 0 0 0 -2.585026652029182
11 0 1 0 0 1 0 0 -0.21253952548158495
12 0 1 0 1 0 0 0 -3.154901959985743
13 0 1 0 0 1 0 0 0.13987908640123653
14 0 1 0 0 1 0 0 -0.8860566476931632
15 0 1 0 0 1 0 0 -2.744727494896694
16 0 1 0 0 1 0 0 -3.154901959985743
17 0 1 0 0 1 0 0 1.1679078100014801
18 0 1 0 0 1 0 0 -2.42021640338319
19 0 1 0 0 1 0 0 -1.0087739243075051
20 0 1 0 0 1 0 0 -2.853871964321762
21 0 1 0 0 1 0 0 0.21484384804769785
22 0 1 0 0 1 0 0 -2.0861861476162833
23 0 0 1 0 0 0 1 -3.642065152999546
24 0 1 0 0 0 0 1 -2.0222763947111524
25 0 1 0 0 1 0 0 -2.2676062401770314
26 0 1 0 0 0 1 1 -1.87942606879415
27 0 1 0 0 1 0 0 -2.585026652029182
28 0 1 0 0 1 0 0 -2.0
29 0 1 0 0 1 0 0 -0.1284270644541213
30 0 0 1 0 0 1 0 -4.0
31 0 1 0 1 0 0 0 -3.0
32 0 0 1 0 0 0 1 -3.642065152999546
33 0 0 1 0 0 0 1 -3.642065152999546
