id met_invertebrate met_primary_producer met_detritus met_ectotherm_vertebrate mov_walking mov_sessile mov_floating mov_swimming mov_other_nonliving log_mass mass_missing
0 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
1 1 0 0 0 0 0 0 1 0 -3.0947115424248555 0
2 1 0 0 0 0 0 0 1 0 -4.7447274948966935 0
3 1 0 0 0 1 0 0 0 0 -3.840977520118789 0
4 1 0 0 0 1 0 0 0 0 -2.341209100437453 0
5 1 0 0 0 0 0 0 1 0 -3.6419527843166555 0
6 1 0 0 0 1 0 0 0 0 -3.9258091305297533 0
7 1 0 0 0 0 0 0 1 0 -3.4859306330850592 0
8 1 0 0 0 0 0 0 1 0 -3.1817543061771443 0
9 1 0 0 0 1 0 0 0 0 -3.7907826595949814 0
10 1 0 0 0 1 0 0 0 0 -4.178486471595226 0
11 1 0 0 0 1 0 0 0 0 -4.87942606879415 0
12 1 0 0 0 1 0 0 0 0 -3.811780458377994 0
13 1 0 0 0 1 0 0 0 0 -4.369572124974976 0
14 1 0 0 0 1 0 0 0 0 -4.482804102050026 0
15 1 0 0 0 1 0 0 0 0 -3.51853873880082 0
16 1 0 0 0 0 0 0 1 0 -3.1575205689425956 0
17 1 0 0 0 1 0 0 0 0 -3.1399652068493715 0
18 1 0 0 0 1 0 0 0 0 -4.161780778092374 0
19 1 0 0 0 1 0 0 0 0 -4.665546248849069 0
20 1 0 0 0 0 0 0 1 0 -3.7371456545838067 0
21 1 0 0 0 1 0 0 0 0 -3.51853873880082 0
22 1 0 0 0 1 0 0 0 0 -3.5882220915319922 0
23 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
24 1 0 0 0 0 0 0 1 0 -3.5997504848376467 0
25 1 0 0 0 0 0 0 1 0 -3.7598228068890753 0
26 1 0 0 0 1 0 0 0 0 -3.5409650475392316 0
27 1 0 0 0 1 0 0 0 0 -4.85078088734462 0
28 1 0 0 0 0 0 0 1 0 -3.6419527843166555 0
29 1 0 0 0 0 0 0 1 0 -3.3847413736901006 0
30 1 0 0 0 0 0 0 1 0 -3.67733216600684 0
31 1 0 0 0 0 0 0 1 0 -3.045161468646963 0
32 1 0 0 0 0 0 0 1 0 -3.6075492753439677 0
33 1 0 0 0 0 0 0 1 0 -3.6259613980294527 0
34 1 0 0 0 0 0 0 1 0 -3.6259613980294523 0
35 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
36 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
37 1 0 0 0 1 0 0 0 0 -3.8856459325679698 0
38 0 0 0 1 0 0 0 1 0 1.6989700043360187 0
39 0 0 0 1 0 0 0 1 0 1.5198279937757189 0
40 0 0 0 1 0 0 0 1 0 1.5185139398778875 0
41 1 0 0 0 1 0 0 0 0 -4.213958789757446 0
42 1 0 0 0 1 0 0 0 0 -3.3436842259010264 0
43 0 0 0 1 0 0 0 1 0 1.3289908554494287 0
44 1 0 0 0 1 0 0 0 0 -3.51853873880082 0
45 1 0 0 0 0 0 0 1 0 -1.8918604143486997 0
46 1 0 0 0 1 0 0 0 0 -4.459670525209126 0
47 1 0 0 0 1 0 0 0 0 -2.3855899518155077 0
48 1 0 0 0 1 0 0 0 0 -3.2944287655352373 0
49 1 0 0 0 1 0 0 0 0 0.3979400086720376 0
50 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
51 1 0 0 0 1 0 0 0 0 -4.157390760389438 0
52 0 1 0 0 0 1 0 0 0 -4.87942606879415 1
53 0 1 0 0 0 0 1 0 0 -10.03905380426617 1
54 0 1 0 0 0 0 1 0 0 -7.946487081850424 1
55 1 0 0 0 1 0 0 0 0 -3.128974363369363 0
56 1 0 0 0 0 0 0 1 0 -3.7907826595949814 0
57 1 0 0 0 0 0 0 1 0 -3.975818198425772 0
58 1 0 0 0 0 0 0 1 0 -3.5843039862718036 0
59 0 1 0 0 0 0 1 0 0 -9.978810700930062 1
60 0 1 0 0 0 0 1 0 0 -8.701804561429558 1
61 0 1 0 0 0 0 1 0 0 -8.701804561429558 1
62 0 1 0 0 0 0 1 0 0 -8.701804561429558 1
63 0 1 0 0 0 0 1 0 0 -8.701804561429558 1
64 1 0 0 0 1 0 0 0 0 -4.213958789757446 0
65 1 0 0 0 0 0 0 1 0 -3.157520568942596 0
66 1 0 0 0 1 0 0 0 0 -3.566094220389788 0
67 0 1 0 0 0 0 1 0 0 -7.929079206781836 1
68 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
69 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
70 1 0 0 0 0 0 0 1 0 -3.7598228068890753 0
71 0 1 0 0 0 0 1 0 0 -8.795880017344075 1
72 0 1 0 0 0 0 1 0 0 -7.998569458294951 1
73 0 1 0 0 0 0 1 0 0 -9.055681864499613 1
74 0 1 0 0 0 0 1 0 0 -9.109998386815363 1
75 0 1 0 0 0 0 1 0 0 -0.7528574516599705 1
76 0 1 0 0 0 0 1 0 0 -9.373146585333274 1
77 0 1 0 0 0 0 1 0 0 -8.850879881927025 1
78 0 1 0 0 0 0 1 0 0 -8.814960988871428 1
79 0 1 0 0 0 0 1 0 0 -10.886056647693163 1
