id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 1 0 0 0 1 0 0 0 -3.6064458539430473 0
1 0 0 0 1 0 0 0 1 0.9947096414962584 0
2 1 0 0 0 1 0 0 0 -3.32085112271842 0
3 1 0 0 0 1 0 0 0 -1.7477451058020224 0
4 1 0 0 0 1 0 0 0 -3.1319595272901233 0
5 1 0 0 0 1 0 0 0 -3.2860141229629503 0
6 1 0 0 0 1 0 0 0 -3.5473090873866755 0
7 0 1 0 0 0 1 0 0 -9.504455662453552 1
8 1 0 0 0 1 0 0 0 -3.9253992979006695 0
9 1 0 0 0 1 0 0 0 -2.7200213608157147 0
10 1 0 0 0 1 0 0 0 -2.776902972807408 0
11 1 0 0 0 1 0 0 0 -3.9988159915016483 0
12 1 0 0 0 1 0 0 0 -3.4175797982105798 0
13 1 0 0 0 1 0 0 0 -3.2837812329248073 0
14 1 0 0 0 1 0 0 0 -3.0497486028353387 0
15 1 0 0 0 1 0 0 0 -3.9000708671749442 0
16 1 0 0 0 1 0 0 0 -3.474396803069231 0
17 1 0 0 0 1 0 0 0 -2.8040690905777375 0
18 1 0 0 0 1 0 0 0 -2.5800066032782887 0
19 0 0 1 0 0 0 1 0 -9.42021640338319 0
20 0 0 1 0 0 0 1 0 -8.821023052706831 0
21 0 0 1 0 0 0 1 0 -8.742321425130816 0
22 0 0 1 0 0 0 1 0 -9.504455662453552 0
23 0 0 1 0 0 0 1 0 -9.173925197299173 0
24 0 1 0 0 0 1 0 0 -9.504455662453552 1
25 0 0 1 0 0 0 1 0 -9.237321436272564 0
26 0 0 1 0 0 0 1 0 -9.166852888087215 0
27 1 0 0 0 1 0 0 0 -3.681604807136856 0
28 0 0 1 0 0 0 1 0 -9.24184537803261 0
29 0 0 1 0 0 0 1 0 -7.675717544702307 0
30 0 0 1 0 0 0 1 0 -8.97469413473523 0
