id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 0 1 0 0 1 0 0 -0.6470460882899123
1 0 1 0 0 1 0 0 1.5090680450171616
2 0 0 1 0 0 1 0 -3.6420651529995465
3 0 1 0 1 0 0 0 -3.0969100130080567
4 0 1 0 0 0 1 0 -0.8827287043442358
5 0 1 0 0 1 0 0 -1.7166987712964503
6 0 1 0 0 1 0 0 -2.677780705266081
7 0 1 0 0 1 0 0 -2.1804560644581312
8 0 1 0 0 1 0 0 0.29885307640970665
9 0 1 0 0 1 0 0 -2.42021640338319
10 0 1 0 0 1 0 0 -2.0
11 0 1 0 0 1 0 0 -0.6777807052660807
12 1 0 0 1 0 0 0 0.1818435879447726
13 0 1 0 0 1 0 0 -1.449771646944906
14 0 1 0 0 1 0 0 -3.5228787452803374
15 0 1 0 0 0 1 0 -2.886056647693163
16 0 1 0 0 1 0 0 -2.795880017344075
17 0 1 0 0 1 0 0 -1.7594507517174003
18 0 1 0 0 1 0 0 -2.619788758288394
19 0 0 1 0 0 1 0 -3.6420651529995465
20 0 1 0 0 0 1 0 -1.5391021572434522
21 0 1 0 0 1 0 0 -0.7956086680807003
22 1 0 0 1 0 0 0 -0.17392519729917352
23 0 0 1 0 0 1 0 -3.6420651529995465
24 0 0 1 0 0 1 0 -3.6420651529995465
25 0 0 1 0 0 1 0 -3.6420651529995465
26 0 0 1 0 0 1 0 -3.6420651529995465
27 0 0 1 0 0 1 0 -3.6420651529995465
28 0 1 0 0 0 1 0 -1.785156151952302
29 0 0 1 0 0 1 0 -3.6420651529995465
30 0 0 1 0 0 1 0 -3.6420651529995465
31 0 0 1 0 0 1 0 -3.6420651529995465
32 0 0 1 0 0 1 0 -3.6420651529995465
33 0 0 1 0 0 1 0 -3.6420651529995465
34 0 1 0 0 0 1 0 1.7450747915820575
35 0 1 0 0 1 0 0 -1.6840296545430822
36 0 0 1 0 0 1 0 -3.6420651529995465
37 0 0 1 0 0 1 0 -3.6420651529995465
38 0 0 1 0 0 1 0 -3.6420651529995465
39 0 0 1 0 0 1 0 -3.6420651529995465
40 0 1 0 0 1 0 0 -3.154901959985743
41 0 1 0 0 0 1 0 -3.2218487496163566
42 0 1 0 0 1 0 0 -3.6989700043360187
43 0 0 1 0 0 1 0 -3.6420651529995465
44 0 0 1 0 0 1 0 -3.6420651529995465
45 0 0 1 0 0 0 1 -4.0
46 0 1 0 0 0 1 0 1.4183012913197455
47 0 1 0 1 0 0 0 -3.0
48 0 1 0 0 0 1 0 -1.9065783148377649
49 0 1 0 0 1 0 0 -2.1739251972991736
50 0 0 1 0 0 1 0 -3.6420651529995465
51 0 1 0 0 1 0 0 -0.11047420332880879
52 0 0 1 0 0 1 0 -3.6420651529995465
53 0 0 1 0 0 1 0 -3.6420651529995465
54 0 1 0 0 1 0 0 -3.6989700043360187
55 0 0 1 0 0 1 0 -3.6420651529995465
56 0 0 1 0 0 1 0 -3.6420651529995465
57 0 1 0 0 1 0 0 -3.3979400086720375
