id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 0 1 0 -3.6420651529995465
1 0 0 1 1 0 0 0 -0.3010299956639812
2 1 0 0 0 0 0 1 -2.0
3 1 0 0 0 0 0 1 -0.5086383061657274
4 1 0 0 0 0 0 1 -2.0
5 1 0 0 0 0 0 1 -1.0457574905606752
6 1 0 0 0 0 0 1 -0.619788758288394
7 1 0 0 1 0 0 0 -2.0
8 0 1 0 0 0 1 0 -3.6420651529995465
9 0 1 0 0 1 0 0 -3.6420651529995465
10 1 0 0 1 0 0 0 -3.0
11 0 1 0 0 0 1 0 -3.6420651529995465
12 1 0 0 0 0 1 0 -0.9208187539523752
13 1 0 0 0 0 0 1 0.8388490907372553
14 1 0 0 0 0 1 0 -0.4814860601221125
15 0 1 0 0 1 0 0 -4.0
16 1 0 0 0 0 1 0 0.09342168516223506
17 1 0 0 1 0 0 0 -3.0
18 1 0 0 0 0 0 1 -2.0
19 0 1 0 0 0 1 0 -3.6420651529995465
20 1 0 0 0 0 1 0 -2.0
21 1 0 0 0 0 1 0 -2.0
