id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 0 1 0 -3.642065152999546
1 0 0 1 1 0 0 0 -0.9586073148417749
2 1 0 0 1 0 0 0 -2.6989700043360187
3 1 0 0 0 0 0 1 -2.6989700043360187
4 0 0 1 1 0 0 0 0.3242824552976926
5 1 0 0 0 0 0 1 0.10037054511756291
6 1 0 0 0 0 0 1 -0.774690718274137
7 1 0 0 0 0 0 1 -0.7144426909922261
8 1 0 0 0 0 0 1 -3.6989700043360187
9 1 0 0 0 0 0 1 -2.8538719643217623
10 1 0 0 1 0 0 0 -3.0969100130080562
11 1 0 0 0 0 0 1 -4.0
12 1 0 0 0 0 0 1 -2.0
13 1 0 0 0 0 0 1 -2.5686362358410126
14 1 0 0 0 0 0 1 -2.552841968657781
15 1 0 0 1 0 0 0 -3.0
16 1 0 0 0 0 0 1 0.6384892569546373
17 1 0 0 0 0 0 1 -2.346787486224656
18 1 0 0 0 0 0 1 -3.3010299956639813
19 1 0 0 0 0 0 1 0.48287358360875365
20 0 1 0 0 0 1 0 -3.642065152999546
21 1 0 0 0 0 1 0 -3.0
22 0 1 0 0 0 1 0 -3.642065152999546
23 1 0 0 0 0 0 1 0.08635983067474821
24 0 1 0 0 0 1 0 -3.642065152999546
25 0 1 0 0 0 1 0 -3.642065152999546
26 0 1 0 0 0 1 0 -3.642065152999546
27 0 1 0 0 0 1 0 -3.642065152999546
28 0 1 0 0 0 1 0 -3.642065152999546
29 0 1 0 0 0 1 0 -3.642065152999546
30 0 1 0 0 1 0 0 -4.0
31 1 0 0 0 0 1 0 -2.0
32 1 0 0 0 0 1 0 -2.0
33 1 0 0 0 0 1 0 -2.0
34 1 0 0 0 0 1 0 -2.0
35 1 0 0 0 0 1 0 -2.221848749616356
36 1 0 0 0 0 1 0 -2.0
37 1 0 0 0 0 1 0 -2.0
38 1 0 0 1 0 0 0 -3.0
39 0 1 0 0 0 1 0 -3.642065152999546
40 1 0 0 1 0 0 0 -0.10237290870955855
41 0 1 0 0 0 1 0 -3.642065152999546
42 1 0 0 0 0 0 1 0.38381536598043126
43 0 1 0 0 0 1 0 -3.642065152999546
44 0 1 0 0 0 1 0 -3.642065152999546
