id met_endotherm_vertebrate met_invertebrate met_primary_producer met_ectotherm_vertebrate met_detritus met_heterotrophic_fungi mov_flying mov_walking mov_swimming mov_other mov_other_nonliving log_mass mass_missing
0 0 1 0 0 0 0 0 1 0 0 0 -1.9586073148417749 0
1 1 0 0 0 0 0 1 0 0 0 0 1.7363965022766423 0
2 0 1 0 0 0 0 0 1 0 0 0 -2.3381201412086514 0
3 0 1 0 0 0 0 0 1 0 0 0 -2.113509274827518 0
4 0 1 0 0 0 0 0 1 0 0 0 -2.3979400086720375 0
5 0 1 0 0 0 0 1 0 0 0 0 -1.7587625661113977 0
6 1 0 0 0 0 0 1 0 0 0 0 0.9030899869919435 0
7 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
8 0 1 0 0 0 0 0 1 0 0 0 -2.221848749616356 0
9 0 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
10 0 1 0 0 0 0 0 1 0 0 0 -2.7569619513137056 0
11 0 1 0 0 0 0 0 1 0 0 0 -1.9393021596463882 0
12 0 1 0 0 0 0 0 1 0 0 0 -1.9208187539523751 0
13 0 1 0 0 0 0 0 1 0 0 0 -1.494850021680094 0
14 0 1 0 0 0 0 0 1 0 0 0 -2.0969100130080562 0
15 0 1 0 0 0 0 0 1 0 0 0 -2.177178354696895 0
16 0 1 0 0 0 0 0 1 0 0 0 -2.0457574905606752 0
17 0 1 0 0 0 0 1 0 0 0 0 -1.8239087409443189 0
18 0 1 0 0 0 0 0 1 0 0 0 -2.0 0
19 0 1 0 0 0 0 0 1 0 0 0 -2.638272163982407 0
20 0 1 0 0 0 0 0 1 0 0 0 -2.3010299956639813 0
21 0 1 0 0 0 0 0 1 0 0 0 -1.9393021596463882 0
22 0 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
23 0 1 0 0 0 0 0 1 0 0 0 -1.6675615400843948 0
24 0 1 0 0 0 0 1 0 0 0 0 -2.63825063861545 0
25 0 1 0 0 0 0 0 1 0 0 0 -2.593459819566045 0
26 0 1 0 0 0 0 0 1 0 0 0 -3.0624821079826536 0
27 0 1 0 0 0 0 0 1 0 0 0 -1.5228787452803376 0
28 0 0 0 1 0 0 0 1 0 0 0 2.0 0
29 0 1 0 0 0 0 1 0 0 0 0 -0.3983699036463731 0
30 1 0 0 0 0 0 0 1 1 0 0 3.4097188592101 0
31 0 1 0 0 0 0 0 1 0 0 0 -2.0969100130080562 0
32 0 1 0 0 0 0 0 1 0 0 0 -3.0996328713435295 0
33 0 1 0 0 0 0 1 0 0 0 0 -2.4559319556497243 0
34 0 1 0 0 0 0 0 1 0 0 0 -2.170696227168975 0
35 0 1 0 0 0 0 0 1 0 0 0 -2.221848749616356 0
36 0 1 0 0 0 0 0 1 0 0 0 -1.4939056037762488 0
37 0 1 0 0 0 0 0 1 0 0 0 0.6766936096248666 0
38 0 1 0 0 0 0 0 1 0 0 0 -1.3223930472795067 0
39 0 1 0 0 0 0 0 1 0 0 0 -1.2675773283864005 0
40 0 1 0 0 0 0 0 1 0 0 0 -2.0 0
41 0 1 0 0 0 0 1 0 0 0 0 -1.2527792615572444 0
42 0 1 0 0 0 0 0 1 0 0 0 -2.0457574905606752 0
43 0 1 0 0 0 0 0 1 0 0 0 -1.8538719643217618 0
44 0 1 0 0 0 0 0 1 0 0 0 -2.0969100130080562 0
45 0 1 0 0 0 0 0 1 0 0 0 -2.0457574905606752 0
46 0 1 0 0 0 0 0 1 0 0 0 -2.4559319556497243 0
47 0 1 0 0 0 0 1 0 0 0 0 -2.6020599913279625 0
48 1 0 0 0 0 0 1 0 0 0 0 2.380211241711606 0
49 0 0 1 0 0 0 0 0 0 1 0 -6.085656842880559 0
50 0 1 0 0 0 0 0 1 0 0 0 -3.1870866433571448 0
51 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
52 0 1 0 0 0 0 0 1 0 0 0 -3.1268189529679047 0
53 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
54 0 1 0 0 0 0 1 0 0 0 0 -2.9030899869919438 0
55 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
56 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
57 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
58 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
59 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
60 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
61 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
62 0 1 0 0 0 0 0 1 0 0 0 -0.230382055034363 0
63 0 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
64 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
65 0 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
66 0 1 0 0 0 0 0 1 0 0 0 -3.3979400086720375 0
67 0 1 0 0 0 0 0 1 0 0 0 -5.0695604052333 0
68 0 1 0 0 0 0 0 1 0 0 0 -1.8096683018297086 0
69 0 1 0 0 0 0 0 1 0 0 0 -3.6989700043360187 0
70 0 1 0 0 0 0 0 1 0 0 0 -4.441291429466834 0
71 0 1 0 0 0 0 0 1 0 0 0 -6.275724130399211 0
72 0 1 0 0 0 0 0 1 0 0 0 -2.221848749616356 0
73 0 1 0 0 0 0 1 0 0 0 0 -2.7768304866222975 0
74 0 1 0 0 0 0 1 0 0 0 0 -2.7768304866222975 0
75 0 1 0 0 0 0 1 0 0 0 0 -0.0825754295799438 0
76 0 1 0 0 0 0 0 1 0 0 0 -0.5068187392400874 0
77 1 0 0 0 0 0 1 0 0 0 0 3.5440680443502757 0
78 0 1 0 0 0 0 0 1 0 0 0 -1.7891895584639559 0
79 0 1 0 0 0 0 0 1 0 0 0 -6.316052869248488 0
80 0 1 0 0 0 0 0 1 0 0 0 -2.5874023816318443 0
81 0 1 0 0 0 0 0 1 0 0 0 -0.10382379456727482 0
82 0 1 0 0 0 0 0 1 0 0 0 -6.275724130399211 0
83 0 1 0 0 0 0 1 0 0 0 0 0.8343156665570426 0
84 0 1 0 0 0 0 0 1 0 0 0 -1.6382721639824072 0
85 0 1 0 0 0 0 1 0 0 0 0 0.42108575443453344 0
86 0 1 0 0 0 0 0 1 0 0 0 -2.1870866433571443 0
87 0 1 0 0 0 0 1 0 0 0 0 -0.687064950965466 0
88 0 1 0 0 0 0 0 1 0 0 0 -2.2924298239020637 0
89 0 1 0 0 0 0 0 1 0 0 0 -2.3979400086720375 0
90 0 1 0 0 0 0 1 0 0 0 0 -2.0817408796671666 0
91 0 1 0 0 0 0 0 1 0 0 0 -3.3999630970782873 0
92 0 1 0 0 0 0 0 1 0 0 0 -2.1804560644581312 0
93 0 1 0 0 0 0 0 1 0 0 0 -2.408935392973501 0
94 0 1 0 0 0 0 1 0 0 0 0 -1.0063239420437056 0
95 0 1 0 0 0 0 1 0 0 0 0 -2.7768304866222975 0
96 0 1 0 0 0 0 0 1 0 0 0 -1.8674118953829169 0
97 0 1 0 0 0 0 0 1 0 0 0 -2.412321692460664 0
98 0 1 0 0 0 0 0 1 0 0 0 -1.8674118953829169 0
99 0 1 0 0 0 0 0 1 0 0 0 -5.962573502059376 0
100 0 1 0 0 0 0 1 0 0 0 0 -1.0063239420437056 0
101 0 1 0 0 0 0 1 0 0 0 0 -2.5228787452803374 0
102 0 1 0 0 0 0 1 0 0 0 0 -2.63825063861545 0
103 0 1 0 0 0 0 0 1 0 0 0 -2.3010299956639813 0
104 0 1 0 0 0 0 0 1 0 0 0 -2.412321692460664 0
105 0 1 0 0 0 0 0 1 0 0 0 -2.807307684044708 0
106 0 1 0 0 0 0 0 1 0 0 0 -2.940735806900888 0
107 0 1 0 0 0 0 0 1 0 0 0 -2.0222763947111524 0
108 0 1 0 0 0 0 0 1 0 0 0 -1.8664610916297826 0
109 0 1 0 0 0 0 0 1 0 0 0 -1.978810700930062 0
110 0 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
111 0 1 0 0 0 0 0 1 0 0 0 -2.3010299956639813 0
112 0 1 0 0 0 0 0 1 0 0 0 -3.1249387366083 0
113 0 1 0 0 0 0 0 1 0 0 0 -1.7337791960981246 0
114 0 1 0 0 0 0 0 1 0 0 0 -0.6575773191777937 0
115 0 1 0 0 0 0 0 1 0 0 0 -1.7337791960981246 0
116 0 0 0 0 1 0 0 0 0 0 1 -8.423658649794207 1
117 0 1 0 0 0 0 0 1 0 0 0 -2.259637310505756 0
118 0 0 0 0 0 1 0 0 0 1 0 0.6495731382345353 0
119 0 1 0 0 0 0 0 1 0 0 0 -2.769551078621726 0
120 0 1 0 0 0 0 0 1 0 0 0 -1.2370797087921401 0
121 0 1 0 0 0 0 0 1 0 0 0 -1.2370797087921401 0
122 0 1 0 0 0 0 0 1 0 0 0 0.12994094847130763 0
123 0 1 0 0 0 0 0 1 0 0 0 -2.4559319556497243 0
124 0 1 0 0 0 0 0 1 0 0 0 -3.341942790077762 0
125 0 1 0 0 0 0 0 1 0 0 0 -2.1278530544816783 0
126 0 1 0 0 0 0 1 0 0 0 0 -2.4881166390211256 0
127 0 1 0 0 0 0 0 1 0 0 0 -5.259637310505756 0
128 0 1 0 0 0 0 0 1 0 0 0 -3.0 0
129 0 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
130 0 1 0 0 0 0 0 1 0 0 0 -2.0969100130080562 0
131 0 1 0 0 0 0 0 1 0 0 0 -3.5497508916806386 0
132 0 1 0 0 0 0 0 1 0 0 0 -1.0771781880950486 0
133 0 1 0 0 0 0 0 1 0 0 0 -3.3999630970782873 0
134 0 1 0 0 0 0 0 1 0 0 0 -2.4559319556497243 0
135 0 1 0 0 0 0 1 0 0 0 0 -0.8286341370265389 0
136 0 1 0 0 0 0 1 0 0 0 0 -2.7768304866222975 0
137 0 1 0 0 0 0 1 0 0 0 0 -3.1413395091729797 0
138 0 1 0 0 0 0 0 1 0 0 0 -1.667396721258063 0
139 0 1 0 0 0 0 1 0 0 0 0 -2.412321692460664 0
140 0 1 0 0 0 0 1 0 0 0 0 -3.1413395091729797 0
141 0 1 0 0 0 0 0 1 0 0 0 -4.195860567664649 0
142 0 1 0 0 0 0 1 0 0 0 0 -1.3919865223144732 0
143 0 1 0 0 0 0 0 1 0 0 0 -1.9393021596463882 0
144 0 1 0 0 0 0 0 1 0 0 0 0.3010299956639812 0
145 0 1 0 0 0 0 0 1 0 0 0 -5.444905551421681 0
146 0 1 0 0 0 0 0 1 0 0 0 -2.6989700043360187 0
147 0 1 0 0 0 0 1 0 0 0 0 -1.596260629750437 0
148 0 1 0 0 0 0 0 1 0 0 0 -2.7271782734307415 0
149 0 1 0 0 0 0 0 1 0 0 0 -2.8578271093298744 0
150 0 1 0 0 0 0 0 1 0 0 0 -3.057991946977687 0
151 0 1 0 0 0 0 0 1 0 0 0 -2.6020599913279625 0
152 0 1 0 0 0 0 0 1 0 0 0 -5.931814138253838 0
153 0 1 0 0 0 0 0 1 0 0 0 -2.5965290947775266 0
154 0 1 0 0 0 0 1 0 0 0 0 -2.7768304866222975 0
155 0 1 0 0 0 0 0 1 0 0 0 -2.940735806900888 0
156 0 1 0 0 0 0 1 0 0 0 0 -2.7768304866222975 0
157 0 1 0 0 0 0 0 1 0 0 0 -2.0817408796671666 0
158 0 1 0 0 0 0 0 1 0 0 0 -3.1191412662968205 0
159 0 1 0 0 0 0 0 1 0 0 0 -2.0 0
160 0 1 0 0 0 0 0 1 0 0 0 -2.7271782734307415 0
161 0 1 0 0 0 0 0 1 0 0 0 -1.9030899869919435 0
162 0 1 0 0 0 0 1 0 0 0 0 -2.2596373105057563 0
163 0 1 0 0 0 0 1 0 0 0 0 -2.7768304866222975 0
164 0 1 0 0 0 0 0 1 0 0 0 -5.444905551421681 0
165 0 1 0 0 0 0 1 0 0 0 0 -0.3965094020370493 0
166 0 1 0 0 0 0 0 1 0 0 0 -2.4559319556497243 0
167 0 1 0 0 0 0 1 0 0 0 0 -3.1413395091729797 0
168 0 1 0 0 0 0 0 1 0 0 0 -2.070581074285707 0
169 0 1 0 0 0 0 1 0 0 0 0 -2.63825063861545 0
170 0 1 0 0 0 0 1 0 0 0 0 -2.63825063861545 0
171 0 1 0 0 0 0 0 1 0 0 0 -2.1788828888603025 0
172 0 1 0 0 0 0 1 0 0 0 0 -2.63825063861545 0
173 0 1 0 0 0 0 1 0 0 0 0 -2.0969100130080562 0
174 0 1 0 0 0 0 1 0 0 0 0 -2.0457574905606752 0
175 0 1 0 0 0 0 1 0 0 0 0 -1.147227913479883 0
176 0 1 0 0 0 0 1 0 0 0 0 -2.2596373105057563 0
177 0 1 0 0 0 0 0 1 0 0 0 -2.1870866433571443 0
178 0 1 0 0 0 0 1 0 0 0 0 -3.3999630970782873 0
179 0 1 0 0 0 0 1 0 0 0 0 -0.5037658322305979 0
180 0 1 0 0 0 0 0 1 0 0 0 -8.423658649794207 0
181 0 1 0 0 0 0 0 1 0 0 0 -1.0771781880950486 0
182 0 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
183 0 1 0 0 0 0 1 0 0 0 0 -0.5815136044173679 0
184 0 1 0 0 0 0 1 0 0 0 0 -1.2719431902105904 0
185 0 1 0 0 0 0 1 0 0 0 0 -2.6020599913279625 0
186 0 1 0 0 0 0 0 1 0 0 0 -5.567030709125595 0
187 0 1 0 0 0 0 1 0 0 0 0 0.13459425078274173 0
188 0 1 0 0 0 0 1 0 0 0 0 0.7432389481836466 0
189 0 1 0 0 0 0 1 0 0 0 0 -1.7891895584639559 0
190 0 1 0 0 0 0 1 0 0 0 0 -3.035453764019848 0
191 0 1 0 0 0 0 0 1 0 0 0 -5.444905551421681 0
192 0 1 0 0 0 0 0 1 0 0 0 -2.221848749616356 0
193 0 1 0 0 0 0 0 1 0 0 0 -2.3736596326249577 0
194 0 1 0 0 0 0 0 1 0 0 0 -1.0956744925752453 1
195 0 1 0 0 0 0 0 1 0 0 0 -2.7271782734307415 0
196 0 1 0 0 0 0 1 0 0 0 0 -1.5686362358410126 0
197 0 0 1 0 0 0 0 0 0 1 0 -1.2370797087921401 0
198 0 1 0 0 0 0 0 1 0 0 0 -2.1249387366083 0
199 0 1 0 0 0 0 0 1 0 0 0 -2.1870866433571443 0
200 0 1 0 0 0 0 1 0 0 0 0 -2.6020599913279625 0
201 0 1 0 0 0 0 0 1 0 0 0 -3.381951903287907 0
202 0 1 0 0 0 0 1 0 0 0 0 -0.23803224063109135 0
203 0 1 0 0 0 0 0 1 0 0 0 -2.3010299956639813 0
204 0 1 0 0 0 0 0 1 0 0 0 -0.41108583231933843 0
205 0 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
206 0 1 0 0 0 0 0 1 0 0 0 -2.5228787452803374 0
207 0 1 0 0 0 0 0 1 0 0 0 -4.195860567664649 0
208 0 1 0 0 0 0 1 0 0 0 0 -3.035453764019848 0
209 0 1 0 0 0 0 1 0 0 0 0 -2.412321692460664 0
