id met_invertebrate met_primary_producer mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 1 0 -3.6420651529995465
1 1 0 0 0 0 1 -3.6989700043360187
2 1 0 0 0 0 1 -3.0457574905606752
3 1 0 1 0 0 0 -3.494850021680094
4 1 0 1 0 0 0 -3.0
5 1 0 0 0 0 1 -2.0
6 1 0 0 0 0 1 -3.3979400086720375
7 1 0 0 0 0 1 -3.3979400086720375
8 0 1 0 0 1 0 -3.6420651529995465
9 0 1 0 0 1 0 -3.6420651529995465
10 0 1 0 0 1 0 -3.6420651529995465
11 0 1 0 0 1 0 -3.6420651529995465
12 0 1 0 0 1 0 -3.6420651529995465
13 0 1 0 0 1 0 -3.6420651529995465
14 0 1 0 0 1 0 -3.6420651529995465
15 0 1 0 0 1 0 -3.6420651529995465
16 1 0 0 0 0 1 -2.8239087409443187
17 1 0 0 0 0 1 -0.6020599913279624
18 0 1 0 1 0 0 -4.0
19 1 0 0 0 1 0 -3.0
20 1 0 0 0 1 0 -2.0
21 1 0 1 0 0 0 -3.0
22 0 1 0 0 1 0 -3.6420651529995465
