id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.809668301829708 0
1 0 0 1 0 1 0 0 -5.0 0
2 1 0 0 0 1 0 0 2.155336037465062 0
3 0 0 1 0 1 0 0 -2.1694113313148558 0
4 0 0 1 0 1 0 0 -5.164309428507575 0
5 1 0 0 0 1 0 0 -1.795880017344075 0
6 0 0 0 1 0 0 1 -10.8153085691824 0
7 0 0 1 0 1 0 0 -4.841637507904751 0
8 0 0 1 0 1 0 0 -5.661543506395395 0
9 0 0 0 1 0 0 1 -10.03905380426617 0
10 0 0 0 1 0 0 1 -10.323306390375134 0
11 0 0 1 0 1 0 0 -4.396855627379818 0
12 0 0 1 0 1 0 0 -7.698970004336019 0
13 0 0 1 0 1 0 0 -8.0 0
14 0 0 1 0 1 0 0 -2.7417564900754847 0
15 0 0 0 1 0 0 1 -10.323306390375134 0
16 0 0 0 1 0 0 1 -8.200659450546418 0
17 0 0 0 1 0 0 1 -8.866461091629782 0
18 0 0 0 1 0 0 1 -8.866461091629782 0
19 0 0 0 1 0 0 1 -9.047691990337874 0
20 0 0 1 0 1 0 0 -5.1249387366083 0
21 0 0 0 1 0 0 1 -8.027334407733889 0
22 0 0 0 1 0 0 1 -10.151195298948196 0
23 0 0 0 1 0 0 1 -9.978810700930062 0
24 0 0 0 1 0 0 1 -8.131355561605174 0
25 0 0 0 1 0 0 1 -8.247951552180561 0
26 0 0 0 1 0 0 1 -9.236572006437063 0
27 0 0 0 1 0 0 1 -10.61798295742513 0
28 0 0 0 1 0 0 1 -9.045275209020938 0
29 0 0 0 1 0 0 1 -7.064996848546345 0
30 0 0 0 1 0 0 1 -9.79317412396815 0
31 0 0 0 1 0 0 1 -9.79317412396815 0
32 0 0 0 1 0 0 1 -9.19586056766465 0
33 0 0 0 1 0 0 1 -8.410050398674292 0
34 0 0 0 1 0 0 1 -8.97061622231479 0
35 0 0 0 1 0 0 1 -7.305394801066432 0
36 0 1 0 0 0 1 0 -10.8153085691824 1
37 1 0 0 0 1 0 0 2.462397997898956 0
38 1 0 0 0 1 0 0 1.806179973983887 0
39 1 0 0 0 0 0 1 -1.6968039425795112 0
