id met_invertebrate met_endotherm_vertebrate met_ectotherm_vertebrate mov_flying mov_walking mov_swimming log_mass
0 1 0 0 0 1 0 -4.462180904926726
1 1 0 0 0 1 0 -4.462180904926726
2 1 0 0 0 1 0 -4.172630726946175
3 1 0 0 0 1 0 -3.6120267600069793
4 1 0 0 0 1 0 -2.3495761947868288
5 1 0 0 0 1 0 -2.5606715701728557
6 1 0 0 1 0 0 -0.6186024885899138
7 0 1 0 1 0 0 1.3010299956639813
8 0 1 0 1 0 0 2.322219294733919
9 1 0 0 0 1 0 -2.762634741282292
10 1 0 0 0 1 0 -2.0418721589546096
11 1 0 0 0 1 0 -1.6369460050005464
12 1 0 0 0 1 0 -2.1187121429049176
13 1 0 0 1 0 0 -0.6186024885899138
14 1 0 0 1 0 0 -1.606013368242587
15 1 0 0 1 0 0 -0.6310194603106326
16 1 0 0 1 0 0 -0.6310194603106327
17 1 0 0 1 0 0 -0.5009088688861187
18 1 0 0 1 0 0 -1.0459928067958781
19 1 0 0 1 0 0 -0.6112145544937153
20 1 0 0 1 0 0 -1.3181050445230151
21 1 0 0 1 0 0 -1.86753480585446
22 1 0 0 0 1 0 -2.6315295908392193
23 1 0 0 0 1 0 -3.3090441264835104
24 1 0 0 0 1 0 -3.1329528674278295
25 1 0 0 0 1 0 -2.7649758293430153
26 1 0 0 0 1 0 -3.1329528674278295
27 1 0 0 0 1 0 -3.072438712566257
28 1 0 0 0 1 0 -3.7089376617689367
29 1 0 0 0 1 0 -3.072438712566257
30 1 0 0 0 1 0 -4.393618634889395
31 1 0 0 0 1 0 -3.1094225068749637
32 1 0 0 0 1 0 -3.1094225068749637
33 1 0 0 0 1 0 -3.098362984392817
34 1 0 0 0 1 0 -3.400906577311171
35 1 0 0 0 1 0 -1.1611012703521437
36 1 0 0 1 0 0 -2.621241911235645
37 1 0 0 1 0 0 -3.2744542434484982
38 1 0 0 1 0 0 -3.2744542434484982
39 1 0 0 0 1 0 -2.8083922318429666
40 1 0 0 0 1 0 -3.762634741282292
41 1 0 0 0 1 0 -3.8321954652312296
42 1 0 0 0 1 0 -3.2414968696286603
43 1 0 0 0 1 0 -0.7072564386802215
44 1 0 0 0 1 0 -3.1094225068749637
45 1 0 0 0 1 0 -2.5321858199040177
46 1 0 0 0 1 0 -3.5357773111746496
47 1 0 0 0 1 0 -2.859544754290348
48 1 0 0 0 1 0 -2.54384144518608
49 1 0 0 0 1 0 -3.0742146719703403
50 1 0 0 0 1 0 -2.5435744452727267
51 1 0 0 0 1 0 -2.1715701342557923
52 1 0 0 0 1 0 -3.762634741282292
53 1 0 0 0 1 0 -4.393618634889395
54 1 0 0 1 0 0 -2.084122703413275
55 1 0 0 0 1 0 -0.5440992649484221
56 1 0 0 0 1 0 -3.5230843600010955
57 1 0 0 0 1 0 -1.7348775696127137
58 1 0 0 0 1 0 -1.743103090403388
59 1 0 0 0 1 0 -1.5186051751878356
60 1 0 0 0 1 0 -1.8251168899120123
61 1 0 0 0 1 0 -3.154108546690116
62 1 0 0 1 0 0 -4.098541678603888
63 1 0 0 0 1 0 -2.178303556200877
64 1 0 0 0 1 0 -2.9632940720996155
65 1 0 0 0 1 0 -3.9918471263535915
66 1 0 0 1 0 0 -4.274088367704952
67 1 0 0 0 1 0 -4.467245621007502
68 1 0 0 1 0 0 -4.010995384301463
69 1 0 0 1 0 0 -2.4785743568294087
70 1 0 0 0 0 1 -2.4785743568294087
71 1 0 0 0 1 0 -2.410630105216664
72 1 0 0 0 0 1 -0.307042310996805
73 1 0 0 0 1 0 -1.9483871764008183
74 1 0 0 0 1 0 -2.676987498399928
75 1 0 0 0 1 0 -1.6720240701889546
76 1 0 0 0 1 0 -1.9564548065845206
77 1 0 0 0 1 0 -2.203926226314021
78 1 0 0 0 1 0 -2.097992809264027
79 1 0 0 0 1 0 -2.2629476904906145
80 1 0 0 1 0 0 -3.6506874972036307
81 1 0 0 0 1 0 -1.6103464323120722
82 1 0 0 1 0 0 -3.1283260910515565
83 1 0 0 0 0 1 -3.1283260910515565
84 1 0 0 1 0 0 -2.786609229617536
85 1 0 0 0 1 0 -3.447673758126185
86 1 0 0 0 1 0 -2.762634741282292
87 1 0 0 0 1 0 -3.555121783933263
88 1 0 0 0 1 0 -3.285513486562629
89 1 0 0 0 1 0 -3.310996764342998
90 1 0 0 0 1 0 -3.4009065773111704
91 0 1 0 0 1 0 3.6989700043360187
92 1 0 0 0 1 0 -2.929882304467282
93 1 0 0 0 1 0 -2.4658992321878905
94 1 0 0 0 1 0 -1.6060856180041942
95 1 0 0 0 1 0 -3.6120267600069793
96 1 0 0 0 1 0 -3.5230843600010955
97 1 0 0 0 1 0 -2.3222721733061396
98 1 0 0 0 1 0 -3.2087515882205473
99 1 0 0 0 1 0 -3.7643756149089977
100 1 0 0 0 1 0 -2.1629158380150533
101 1 0 0 1 0 0 -2.0072826917008797
102 1 0 0 0 1 0 -3.1602404752252724
103 1 0 0 1 0 0 -2.11308641025446
104 0 0 1 0 1 0 2.0
105 1 0 0 1 0 0 -3.5302928296108673
106 1 0 0 1 0 0 -3.2292628339468856
107 1 0 0 0 1 0 -0.8443898513144169
108 1 0 0 1 0 0 -2.8046323382542186
109 1 0 0 1 0 0 -2.8765142347764607
110 1 0 0 0 1 0 -2.884486008935477
111 1 0 0 1 0 0 -2.7625711338638617
112 1 0 0 0 1 0 -3.2391155704725763
113 1 0 0 0 1 0 -2.178303556200877
114 1 0 0 0 1 0 -2.1629158380150533
115 1 0 0 1 0 0 -3.4244553947452534
116 1 0 0 0 1 0 -1.8835303690065093
117 1 0 0 0 1 0 -2.2080733245092783
118 1 0 0 1 0 0 -2.4963031292367153
119 1 0 0 0 1 0 -1.9473160211893847
120 1 0 0 0 1 0 -3.2087515882205473
121 1 0 0 0 1 0 -3.7643756149089977
122 1 0 0 0 1 0 -3.0742146719703403
123 0 1 0 0 1 0 1.5440680443502757
