id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_flying mov_walking mov_other mov_swimming log_mass
0 0 1 0 0 1 0 0 -4.462180904926726
1 0 1 0 0 1 0 0 -4.462180904926726
2 0 1 0 1 0 0 0 -3.2292628339468856
3 0 1 0 0 1 0 0 -2.32721622152707
4 0 1 0 0 1 0 0 -0.7888930406729021
5 0 1 0 0 1 0 0 -0.9716462946727312
6 1 0 0 1 0 0 0 1.3010299956639813
7 0 1 0 0 0 0 1 -0.2842806332932639
8 0 1 0 0 1 0 0 -3.309044126483511
9 0 1 0 0 1 0 0 -2.0246131398487717
10 0 1 0 0 1 0 0 -2.6100737682412256
11 0 1 0 0 1 0 0 -1.9497214233211504
12 0 1 0 0 1 0 0 -2.051365297427476
13 0 1 0 0 1 0 0 -1.4322209914313382
14 0 1 0 0 1 0 0 -1.9483871764008183
15 0 1 0 0 1 0 0 -1.970243092337448
16 0 1 0 1 0 0 0 -0.5009088688861185
17 0 1 0 1 0 0 0 -0.8348109720178511
18 0 1 0 1 0 0 0 -0.6112145544937152
19 0 1 0 1 0 0 0 -0.2872545983254297
20 0 1 0 1 0 0 0 -0.6207366172047323
21 0 1 0 0 1 0 0 -1.8251168899120123
22 0 1 0 0 1 0 0 -1.6574653448598695
23 0 1 0 0 1 0 0 -2.7946190029304137
24 0 1 0 0 1 0 0 -3.6100741221474917
25 0 1 0 0 1 0 0 -3.4616047456183106
26 0 1 0 0 1 0 0 -1.9632942317384154
27 0 1 0 0 1 0 0 -1.7988469412662083
28 0 1 0 0 1 0 0 -1.8910618260131176
29 0 1 0 0 1 0 0 -2.097992809264027
30 0 1 0 0 1 0 0 -3.1605747499543293
31 0 1 0 0 1 0 0 -4.015922966097169
32 0 1 0 0 1 0 0 -4.462180904926726
33 0 1 0 0 1 0 0 -1.7988469412662083
34 0 1 0 0 1 0 0 -2.249259246488464
35 0 1 0 0 0 0 1 -3.309044126483511
36 0 1 0 0 0 0 1 -0.5531690131423934
37 0 1 0 0 0 0 1 -2.7069839139640983
38 0 1 0 0 1 0 0 -2.859544754290348
39 0 1 0 0 1 0 0 -3.1094225068749637
40 0 1 0 0 1 0 0 -3.1251449306629713
41 0 1 0 0 1 0 0 -2.65883107971952
42 0 1 0 1 0 0 0 -2.0831345879009784
43 0 1 0 0 1 0 0 -1.9862246169664477
44 0 0 1 0 1 0 0 0.3010299956639812
45 0 1 0 1 0 0 0 -1.8636772004474942
46 0 1 0 1 0 0 0 -1.390792989857371
47 0 1 0 1 0 0 0 -4.274088367704952
48 0 1 0 0 1 0 0 -4.462180904926726
49 0 1 0 0 1 0 0 -3.017560058231672
50 0 1 0 1 0 0 0 -3.2744542434484982
51 0 1 0 1 0 0 0 -3.339955526194907
52 0 1 0 0 1 0 0 -3.4616047456183106
53 0 1 0 0 1 0 0 -2.9187794699500964
54 0 1 0 0 1 0 0 -3.753183938970722
55 0 1 0 0 1 0 0 -3.1605747499543293
56 0 1 0 1 0 0 0 -4.098541678603888
57 0 1 0 0 1 0 0 -2.4739384496511563
58 0 1 0 0 0 0 1 -2.4785743568294087
