id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_walking mov_flying mov_other mov_swimming log_mass
0 0 1 0 1 0 0 0 -4.462180904926726
1 0 1 0 1 0 0 0 -4.462180904926726
2 0 1 0 1 0 0 0 -4.172630726946175
3 0 1 0 1 0 0 0 -3.9766034855222485
4 0 1 0 1 0 0 0 -4.172630726946175
5 0 1 0 1 0 0 0 -2.333273626819135
6 0 1 0 1 0 0 0 -3.976603485522249
7 0 1 0 1 0 0 0 -3.152961283619834
8 0 1 0 1 0 0 0 -1.2471410008310935
9 1 0 0 0 1 0 0 2.322219294733919
10 0 0 1 1 0 0 0 1.0
11 1 0 0 0 1 0 0 1.1139433523068367
12 0 1 0 1 0 0 0 -1.5186051751878356
13 1 0 0 1 0 0 0 3.6989700043360187
14 0 1 0 1 0 0 0 -2.911103763905207
15 0 1 0 1 0 0 0 -2.9028961611939224
16 0 1 0 1 0 0 0 -1.9632942317384154
17 0 1 0 1 0 0 0 -2.462399617820395
18 0 1 0 1 0 0 0 -2.094248846174364
19 0 1 0 1 0 0 0 -2.859544754290348
20 0 1 0 1 0 0 0 -2.433982627154268
21 0 1 0 1 0 0 0 -2.6966818819318705
22 0 1 0 1 0 0 0 -2.9568614117575205
23 0 1 0 1 0 0 0 -3.6100741221474917
24 0 1 0 1 0 0 0 -3.5161360977712466
25 0 1 0 1 0 0 0 -3.1783037526315123
26 0 1 0 0 1 0 0 -0.6186024885899137
27 0 1 0 1 0 0 0 -1.6439321311525068
28 0 0 1 1 0 0 0 1.3010299956639813
29 0 1 0 1 0 0 0 -1.9111038700770566
30 0 1 0 0 1 0 0 -0.6186024885899138
31 0 1 0 0 1 0 0 -1.6218076289329908
32 0 1 0 0 1 0 0 -1.7114072317830997
33 0 1 0 0 1 0 0 -1.7107487155752115
34 0 1 0 0 1 0 0 -0.6310194603106327
35 0 1 0 0 1 0 0 -0.5009088688861186
36 0 1 0 0 1 0 0 -0.5009088688861186
37 0 1 0 0 1 0 0 -0.916599752433846
38 0 1 0 1 0 0 0 -0.9225286758927178
39 0 1 0 1 0 0 0 -1.9225286758927178
40 0 1 0 1 0 0 0 -2.558514758626367
41 0 1 0 1 0 0 0 -2.4739384496511563
42 0 1 0 1 0 0 0 -3.2185663377448313
43 0 0 1 1 0 0 0 2.0
44 0 1 0 1 0 0 0 -3.431096928760531
45 0 1 0 1 0 0 0 -2.4162817441802003
46 0 1 0 1 0 0 0 -3.1074963509719975
47 0 1 0 1 0 0 0 -3.5418881545319043
48 0 1 0 1 0 0 0 -3.708937661768937
49 0 1 0 1 0 0 0 -3.107496350971997
50 0 1 0 1 0 0 0 -3.147737818178731
51 0 1 0 1 0 0 0 -3.1094225068749637
52 0 1 0 1 0 0 0 -0.9962320419456526
53 0 1 0 1 0 0 0 -4.0254883072626715
54 0 1 0 0 1 0 0 -3.7500584730711646
55 0 1 0 0 1 0 0 -3.2744542434484982
56 0 1 0 1 0 0 0 -3.1094225068749637
57 0 1 0 1 0 0 0 -3.803594426524534
58 0 1 0 1 0 0 0 -3.223558889560641
59 0 1 0 1 0 0 0 -4.020907099361674
60 0 1 0 1 0 0 0 -3.1094225068749637
61 0 1 0 1 0 0 0 -3.033470157988262
62 0 1 0 1 0 0 0 -3.1094225068749637
63 0 1 0 1 0 0 0 -2.54384144518608
64 0 1 0 1 0 0 0 -2.5871229984135597
65 0 1 0 1 0 0 0 -1.527106323610922
66 0 1 0 1 0 0 0 -2.097992809264027
67 0 1 0 1 0 0 0 -1.7373288997374403
68 0 1 0 1 0 0 0 -3.147737818178731
69 0 1 0 1 0 0 0 -2.420212060460085
70 0 1 0 1 0 0 0 -1.3810735289673521
71 0 1 0 1 0 0 0 -2.1500814038275444
72 0 1 0 1 0 0 0 -1.1191820933678247
73 0 1 0 1 0 0 0 -2.2080733245092783
74 0 1 0 0 1 0 0 -2.1130864102544606
75 0 1 0 1 0 0 0 -1.7714086912460358
76 0 1 0 1 0 0 0 -3.0350934183354656
77 0 1 0 1 0 0 0 -1.75653405019415
78 0 1 0 1 0 0 0 -1.3002367693934536
79 0 1 0 1 0 0 0 -2.7080216556845245
80 0 1 0 1 0 0 0 -3.530292829610867
81 0 1 0 1 0 0 0 -3.1283260910515565
82 0 1 0 1 0 0 0 -3.285513486562629
83 0 1 0 1 0 0 0 -3.2087515882205473
84 0 1 0 1 0 0 0 -3.5900313910207453
85 0 1 0 1 0 0 0 -2.859544754290348
86 0 1 0 0 1 0 0 -0.8211360817674278
87 0 1 0 1 0 0 0 -1.9025037031726753
88 0 1 0 1 0 0 0 -0.27361412980057837
89 0 1 0 0 1 0 0 -4.274088367704952
90 0 1 0 1 0 0 0 -0.17306515203312625
91 0 1 0 1 0 0 0 -1.8488980421819836
92 0 1 0 0 1 0 0 -3.901543182142303
93 0 1 0 0 1 0 0 -2.4785743568294087
94 0 1 0 0 0 0 1 -2.4785743568294087
95 0 1 0 0 0 0 1 -3.309044126483511
96 0 1 0 0 1 0 0 -3.8024300086867915
97 0 1 0 1 0 0 0 -4.008330992620051
98 0 1 0 0 1 0 0 -3.1283260910515565
99 0 1 0 0 0 0 1 -3.1283260910515565
100 0 1 0 1 0 0 0 -3.402512140465858
101 0 1 0 1 0 0 0 -4.0254883072626715
102 0 1 0 0 1 0 0 -2.7303864325357243
103 0 1 0 1 0 0 0 -3.2140874623379174
104 0 1 0 1 0 0 0 -2.285513486562629
105 0 1 0 1 0 0 0 -3.3131743267154916
106 0 1 0 0 1 0 0 -4.098541678603888
107 0 1 0 1 0 0 0 -1.527106323610922
108 0 1 0 1 0 0 0 -2.3572208044837297
109 0 1 0 1 0 0 0 -4.530177984021837
110 0 1 0 1 0 0 0 -4.201349354554731
111 0 1 0 1 0 0 0 -1.2764392561890843
112 0 1 0 0 1 0 0 -2.8852882924768086
113 0 1 0 0 1 0 0 -2.084122703413275
114 0 1 0 0 1 0 0 -2.4716806725561162
115 0 1 0 0 1 0 0 -1.9127265850463844
116 0 1 0 1 0 0 0 -3.671510307689202
117 0 1 0 1 0 0 0 -4.008330992620052
118 0 1 0 1 0 0 0 -1.6494790629463423
119 0 1 0 1 0 0 0 -2.5548608496909027
120 0 1 0 1 0 0 0 -0.4929717199633972
121 0 1 0 0 1 0 0 -1.6851946002657028
122 0 1 0 0 1 0 0 -2.4963031292367153
123 0 1 0 0 0 1 0 -2.2744544068547365
124 0 1 0 1 0 0 0 -3.2087515882205473
125 0 1 0 1 0 0 0 -3.803594426524534
126 0 1 0 1 0 0 0 -3.5900313910207453
127 1 0 0 1 0 0 0 1.5440680443502757
128 0 1 0 0 1 0 0 -3.098362984392817
129 0 1 0 0 1 0 0 -3.098362984392817
130 0 1 0 1 0 0 0 -3.0350934183354656
131 0 1 0 1 0 0 0 -1.5647508882932262
132 0 1 0 0 0 1 0 -1.1080014315501436
133 0 1 0 1 0 0 0 -0.5014257151546956
134 0 1 0 1 0 0 0 -2.859544754290348
135 0 1 0 1 0 0 0 -4.020907099361674
136 0 1 0 1 0 0 0 -2.4162817441802003
137 0 1 0 1 0 0 0 -4.530177984021837
138 0 1 0 1 0 0 0 -3.627202106332526
139 0 1 0 1 0 0 0 -3.1094225068749637
140 0 1 0 0 1 0 0 -3.9389963729496382
141 0 1 0 0 1 0 0 -3.314731522782374
142 0 1 0 1 0 0 0 -3.1074963509719975
143 0 1 0 1 0 0 0 -3.147737818178731
144 0 1 0 1 0 0 0 -4.0254883072626715
145 0 1 0 1 0 0 0 -3.803594426524534
146 0 1 0 1 0 0 0 -2.859544754290348
147 0 1 0 1 0 0 0 -3.152961283619834
148 0 1 0 1 0 0 0 -3.5161360977712466
149 0 1 0 1 0 0 0 -3.2185663377448317
150 0 1 0 1 0 0 0 -3.178303752631512
151 0 1 0 1 0 0 0 -2.859544754290348
152 0 1 0 0 0 0 1 -3.1283260910515565
153 0 1 0 1 0 0 0 -3.033470157988262
154 0 1 0 0 1 0 0 -3.292182942323015
155 0 1 0 1 0 0 0 -4.530177984021837
156 0 1 0 1 0 0 0 -2.333273626819135
157 0 1 0 0 1 0 0 -3.8765142347764607
158 0 1 0 0 1 0 0 -1.2099964303058908
159 0 1 0 1 0 0 0 -2.285513486562629
160 0 1 0 1 0 0 0 -1.4681772195750749
161 0 1 0 1 0 0 0 -3.5161360977712466
162 0 1 0 1 0 0 0 -3.2185663377448317
163 0 1 0 1 0 0 0 -4.201349354554731
164 0 1 0 1 0 0 0 -3.178303752631512
165 0 1 0 0 1 0 0 -3.5754842391124795
166 0 1 0 1 0 0 0 -2.7080216556845245
167 0 1 0 1 0 0 0 -1.6563910466903486
168 0 1 0 1 0 0 0 -2.874194517073728
169 0 1 0 1 0 0 0 -1.3713988795268408
170 0 1 0 1 0 0 0 -1.1977181950704978
171 0 1 0 1 0 0 0 -1.2764392561890843
172 0 1 0 1 0 0 0 -2.859544754290348
