id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_walking mov_other mov_flying mov_swimming log_mass
0 0 1 0 1 0 0 0 -1.3266897886871862
1 0 1 0 1 0 0 0 -4.172630726946175
2 0 1 0 1 0 0 0 -3.623302625035092
3 0 1 0 1 0 0 0 -2.7634294875385246
4 0 1 0 1 0 0 0 -2.7303864325357248
5 0 1 0 1 0 0 0 -4.462180904926726
6 0 1 0 1 0 0 0 -4.462180904926726
7 0 1 0 1 0 0 0 -3.9766034855222485
8 0 1 0 1 0 0 0 -2.214087249036903
9 0 1 0 1 0 0 0 -2.764975829343016
10 0 1 0 1 0 0 0 -1.9632942317384154
11 0 1 0 1 0 0 0 -2.911103763905207
12 1 0 0 0 0 1 0 1.1139433523068367
13 0 1 0 1 0 0 0 -2.341030871555904
14 0 1 0 1 0 0 0 -2.1629158380150533
15 0 1 0 1 0 0 0 -2.8083922318429666
16 0 1 0 1 0 0 0 -2.4616047456183106
17 0 1 0 1 0 0 0 -3.0416487772458685
18 0 1 0 1 0 0 0 -1.4898651896142554
19 0 0 1 1 0 0 0 1.3010299956639813
20 0 0 1 1 0 0 0 2.0
21 0 1 0 0 0 1 0 -0.6186024885899137
22 0 1 0 1 0 0 0 -0.8352644079632612
23 1 0 0 0 0 1 0 2.322219294733919
24 0 1 0 1 0 0 0 -0.7965336852100187
25 0 1 0 1 0 0 0 -1.07599850306088
26 0 1 0 1 0 0 0 -1.9352654981607453
27 0 1 0 1 0 0 0 -3.1329528674278295
28 0 1 0 1 0 0 0 -2.107646735063964
29 0 1 0 1 0 0 0 -0.9888483259310306
30 0 1 0 1 0 0 0 -1.9632942317384154
31 0 1 0 1 0 0 0 -1.8404285059489693
32 0 1 0 0 0 1 0 -0.6310194603106327
33 0 1 0 1 0 0 0 -1.5186051751878356
34 0 1 0 0 0 1 0 -0.5009088688861186
35 0 1 0 0 0 1 0 -0.8261421294269076
36 0 1 0 0 0 1 0 -0.6112145544937153
37 0 1 0 0 0 1 0 -0.2872545983254296
38 0 1 0 0 0 1 0 -0.6876834080443549
39 0 1 0 1 0 0 0 -2.1605747499543293
40 0 1 0 1 0 0 0 -1.8251168899120123
41 0 1 0 1 0 0 0 -1.7758630329367828
42 0 1 0 1 0 0 0 -2.7475331532523946
43 0 1 0 1 0 0 0 -3.156253475748384
44 0 1 0 1 0 0 0 -1.7626347664254056
45 0 1 0 1 0 0 0 -1.33449997539878
46 0 1 0 1 0 0 0 -2.097992809264027
47 0 1 0 1 0 0 0 -2.640990842090319
48 0 1 0 0 0 1 0 -1.211872436066916
49 0 1 0 0 0 1 0 -1.9563910891753304
50 0 1 0 1 0 0 0 -3.1283260910515565
51 0 0 1 1 0 0 0 1.0
52 0 1 0 1 0 0 0 -3.156253475748384
53 0 1 0 1 0 0 0 -3.378819562316793
54 0 1 0 1 0 0 0 -3.0128984167655033
55 0 1 0 1 0 0 0 -3.543574748933647
56 0 1 0 1 0 0 0 -0.6740867738775266
57 1 0 0 1 0 0 0 3.6989700043360187
58 0 1 0 0 0 1 0 -4.274088367704952
59 0 1 0 1 0 0 0 -4.059981844992337
60 0 1 0 1 0 0 0 -3.0516716516369544
61 0 1 0 0 0 1 0 -3.2744542434484982
62 0 1 0 0 0 1 0 -4.0338582672609675
63 0 1 0 1 0 0 0 -3.4616047456183106
64 0 1 0 1 0 0 0 -3.4162821972094815
65 0 1 0 1 0 0 0 -2.9126015972337274
66 0 1 0 1 0 0 0 -3.4616047456183106
67 0 1 0 0 0 1 0 -3.8987892534375197
68 0 1 0 1 0 0 0 -3.105578700128785
69 0 1 0 1 0 0 0 -2.420212060460085
70 0 1 0 0 0 0 1 -2.4785743568294087
71 0 1 0 1 0 0 0 -2.410630105216664
