id met_endotherm_vertebrate met_invertebrate met_ectotherm_vertebrate mov_walking mov_flying mov_other mov_swimming log_mass
0 0 1 0 1 0 0 0 -4.462180904926726
1 0 1 0 1 0 0 0 -4.462180904926726
2 0 1 0 1 0 0 0 -3.9766034855222485
3 0 1 0 1 0 0 0 -2.7396700213137537
4 0 1 0 1 0 0 0 -2.197053890595728
5 0 1 0 1 0 0 0 -2.240315992303466
6 0 1 0 1 0 0 0 -1.6037992401413794
7 0 1 0 1 0 0 0 -0.38972276814299867
8 0 1 0 1 0 0 0 -1.1611012703521437
9 1 0 0 0 1 0 0 2.322219294733919
10 0 0 1 1 0 0 0 1.0
11 1 0 0 0 1 0 0 1.1139433523068367
12 1 0 0 1 0 0 0 3.6989700043360187
13 0 1 0 1 0 0 0 -3.0636647369462726
14 0 1 0 1 0 0 0 -1.9632942317384154
15 0 1 0 1 0 0 0 -2.2494171720647995
16 0 1 0 1 0 0 0 -3.309044126483511
17 0 1 0 1 0 0 0 -2.764975829343016
18 0 1 0 1 0 0 0 -2.0334699703530394
19 0 1 0 1 0 0 0 -3.1329528674278295
20 0 1 0 1 0 0 0 -2.911103763905207
21 0 1 0 1 0 0 0 -2.6383342914192562
22 0 1 0 1 0 0 0 -2.63143681688275
23 0 1 0 1 0 0 0 -2.0022122753195752
24 0 1 0 1 0 0 0 -1.8910618260131176
25 0 1 0 1 0 0 0 -2.13732233798529
26 0 1 0 1 0 0 0 -2.4009069052646987
27 0 1 0 1 0 0 0 -2.6558314160935392
28 0 1 0 1 0 0 0 -3.6100741221474917
29 0 1 0 1 0 0 0 -1.8541990181196957
30 0 0 1 1 0 0 0 1.3010299956639813
31 0 1 0 0 1 0 0 -0.6186024885899138
32 0 1 0 0 1 0 0 -1.7428321773266167
33 0 1 0 0 1 0 0 -1.7042178510803399
34 0 1 0 0 1 0 0 -0.6310194603106326
35 0 0 1 1 0 0 0 0.3010299956639812
36 0 1 0 0 1 0 0 -0.5009088688861186
37 0 1 0 0 1 0 0 -0.5009088688861186
38 0 1 0 0 1 0 0 -0.6112145544937153
39 0 1 0 0 1 0 0 -1.5049867837474311
40 0 1 0 0 1 0 0 -1.86753480585446
41 0 0 1 1 0 0 0 1.6020599913279625
42 0 0 1 1 0 0 0 2.0
43 0 1 0 1 0 0 0 -2.8784060176031607
44 0 1 0 1 0 0 0 -2.7381490308065635
45 0 1 0 1 0 0 0 -3.6695578157915905
46 0 1 0 1 0 0 0 -2.54384144518608
47 0 1 0 0 1 0 0 -3.5754842391124795
48 0 1 0 1 0 0 0 -3.809357402251493
49 0 1 0 1 0 0 0 -2.656103812699486
50 0 1 0 1 0 0 0 -3.1605747499543293
51 0 1 0 1 0 0 0 -2.5768093587225516
52 0 1 0 1 0 0 0 -2.1415351708226775
53 0 1 0 1 0 0 0 -3.1605747499543293
54 0 1 0 1 0 0 0 -3.7089376617689367
55 0 1 0 1 0 0 0 -2.7381490308065635
56 0 1 0 1 0 0 0 -3.254779166306533
57 0 1 0 1 0 0 0 -3.1094225068749637
58 0 1 0 1 0 0 0 -3.2087515882205473
59 0 1 0 0 1 0 0 -3.9734258818496655
60 0 1 0 1 0 0 0 -3.689283327701518
61 0 1 0 1 0 0 0 -2.2467609129017796
62 0 1 0 0 1 0 0 -3.6723938436052093
63 0 1 0 1 0 0 0 -3.1605747499543293
64 0 1 0 1 0 0 0 -1.5762435485036992
65 0 1 0 1 0 0 0 -1.7776576513060944
66 0 1 0 1 0 0 0 -1.8064663274948358
67 0 1 0 1 0 0 0 -1.683453516187262
68 0 1 0 1 0 0 0 -1.4162818008088345
69 0 1 0 1 0 0 0 -2.097992809264027
70 0 1 0 1 0 0 0 -2.762634741282292
71 0 1 0 1 0 0 0 -3.254779166306533
72 0 1 0 1 0 0 0 -3.803594426524534
73 0 1 0 1 0 0 0 -2.2494171720647995
74 0 1 0 0 0 0 1 -3.309044126483511
75 0 1 0 1 0 0 0 -1.9818052245923947
76 0 1 0 1 0 0 0 -3.525872644229758
77 0 1 0 1 0 0 0 -0.9101547758961254
78 0 1 0 1 0 0 0 -2.453004647806732
79 0 1 0 1 0 0 0 -1.3093164277948817
80 0 1 0 1 0 0 0 -1.5122147672240878
81 0 1 0 1 0 0 0 -1.8251168899120123
82 0 1 0 1 0 0 0 -2.50399746687457
83 0 1 0 0 1 0 0 -3.8471309457829874
84 0 1 0 0 1 0 0 -2.4785743568294087
85 0 1 0 0 0 0 1 -2.4785743568294087
86 0 1 0 1 0 0 0 -2.410630105216664
87 0 1 0 0 0 0 1 -0.5698414104857321
88 0 1 0 1 0 0 0 -2.911103763905207
89 0 1 0 1 0 0 0 -2.8251168899120125
90 0 1 0 0 1 0 0 -3.710973229488501
91 0 1 0 0 1 0 0 -2.518579588450343
92 0 1 0 1 0 0 0 -1.83897255822981
93 0 1 0 1 0 0 0 -3.402512140465858
94 0 1 0 1 0 0 0 -3.809357402251493
95 0 1 0 1 0 0 0 -2.571630782640878
96 0 1 0 1 0 0 0 -2.2656816002475493
97 0 1 0 1 0 0 0 -3.1082368124701385
98 0 1 0 1 0 0 0 -2.084122703413275
99 0 1 0 1 0 0 0 -1.8064663274948356
100 0 1 0 0 1 0 0 -3.2744542434484982
101 0 1 0 1 0 0 0 -2.362100585857151
102 0 1 0 1 0 0 0 -2.1026274028638925
103 0 1 0 1 0 0 0 -4.530177984021837
104 0 1 0 1 0 0 0 -2.522122139910977
105 0 1 0 0 1 0 0 -2.084122703413275
106 0 1 0 1 0 0 0 -3.1605747499543293
107 0 1 0 1 0 0 0 -3.2087515882205473
108 0 1 0 0 1 0 0 -2.8046323382542186
109 0 1 0 0 1 0 0 -2.9222717253371355
110 0 1 0 0 1 0 0 -2.90990355867231
111 0 1 0 0 1 0 0 -3.429356670309371
112 0 1 0 0 0 1 0 -3.3343927457470324
113 0 1 0 1 0 0 0 -2.4530046478067327
114 0 1 0 0 1 0 0 -3.3575087699846824
115 0 1 0 1 0 0 0 -2.4163492507542363
116 0 1 0 0 1 0 0 -2.0678946285982973
117 0 1 0 0 1 0 0 -2.4963031292367157
118 0 1 0 1 0 0 0 -1.9473160211893847
119 0 1 0 0 0 1 0 -2.2744544068547365
120 0 1 0 1 0 0 0 -3.2087515882205473
121 0 1 0 1 0 0 0 -1.0335947093707518
122 0 1 0 1 0 0 0 -3.589448827236189
123 0 1 0 1 0 0 0 -0.4560780098644304
124 0 1 0 1 0 0 0 -3.309044126483511
125 1 0 0 1 0 0 0 1.5440680443502757
126 0 1 0 0 1 0 0 -2.788732849007352
127 0 1 0 0 1 0 0 -2.788732849007352
128 0 1 0 0 1 0 0 -2.6723944563783433
129 0 1 0 0 0 1 0 -0.8326936054744252
130 0 1 0 1 0 0 0 -1.347749287056415
131 0 1 0 0 1 0 0 -2.8765142347764607
132 0 1 0 1 0 0 0 -0.4112072518459506
133 0 1 0 1 0 0 0 -2.269604563959403
134 0 1 0 1 0 0 0 -2.656103812699486
135 0 1 0 1 0 0 0 -0.4560780098644305
136 0 1 0 1 0 0 0 -3.6100741221474917
137 0 1 0 1 0 0 0 -4.530177984021837
138 0 1 0 0 1 0 0 -4.1778319206319825
139 0 1 0 1 0 0 0 -3.689283327701518
140 0 1 0 0 1 0 0 -1.8430906608520017
141 0 1 0 0 1 0 0 -3.7830928658844196
142 0 1 0 1 0 0 0 -1.551329398807419
143 0 1 0 0 1 0 0 -1.9033865550131877
144 0 1 0 1 0 0 0 -4.530177984021837
145 0 1 0 1 0 0 0 -0.6915594452513543
146 0 1 0 0 1 0 0 -3.8765142347764607
147 0 1 0 1 0 0 0 -2.8251168899120125
148 0 1 0 1 0 0 0 -3.1605747499543293
149 0 1 0 1 0 0 0 -2.50399746687457
150 0 1 0 1 0 0 0 -1.4264889231338105
151 0 1 0 1 0 0 0 -1.2581586337851094
152 0 1 0 1 0 0 0 -2.762634741282292
