id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_floating log_mass
0 0 1 0 1 0 -5.133712660915805
1 1 0 0 1 0 1.6020599913279625
2 1 0 0 1 0 1.6127838567197355
3 1 0 0 1 0 -1.7958800173440752
4 0 1 0 1 0 -5.809668301829708
5 0 1 0 1 0 -4.649751981665837
6 0 1 0 1 0 -5.0
7 0 1 0 1 0 -5.164309428507575
8 0 0 1 0 1 -10.438898616350944
9 0 1 0 1 0 -4.84163750790475
10 0 1 0 1 0 -4.166215625343521
11 0 0 1 0 1 -10.8153085691824
12 0 1 0 1 0 -6.497572880015567
13 0 0 1 0 1 -10.323306390375134
14 0 1 0 1 0 -5.23284413391782
15 0 1 0 1 0 -5.661543506395395
16 0 1 0 1 0 -5.0
17 0 1 0 1 0 -4.396855627379818
18 0 1 0 1 0 -5.661543506395395
19 0 1 0 1 0 -5.910094888560602
20 0 1 0 1 0 -6.068033885271827
21 0 1 0 1 0 -5.723538195826756
22 0 1 0 1 0 -8.0
23 0 1 0 1 0 -5.863279432843593
24 0 1 0 1 0 -6.068033885271827
25 0 1 0 1 0 -6.701146923590294
26 0 1 0 1 0 -5.910094888560602
27 0 1 0 1 0 -2.7417564900754847
28 0 0 1 0 1 -10.323306390375134
29 0 0 1 0 1 -8.866461091629782
30 0 0 1 0 1 -8.866461091629782
31 0 0 1 0 1 -9.707743928643524
32 0 0 1 0 1 -8.027334407733889
33 0 0 1 0 1 -8.131355561605174
34 0 0 1 0 1 -8.247951552180561
35 0 0 1 0 1 -10.61798295742513
36 0 0 1 0 1 -10.61798295742513
37 0 0 1 0 1 -7.064996848546345
38 0 0 1 0 1 -9.79317412396815
39 0 0 1 0 1 -9.19586056766465
40 0 0 1 0 1 -8.954677021213342
41 0 0 1 0 1 -7.037157318798758
42 0 0 1 1 0 -9.79317412396815
43 1 0 0 0 1 -1.6968039425795112
44 0 0 1 1 0 -11.45717457304082
