id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
2 1 0 0 0 0 1 0 0 0 -2.1729355509326016 0
3 1 0 0 0 0 1 0 0 0 -0.7330771819136819 0
4 1 0 0 0 0 1 0 0 0 -1.6089123340363536 0
5 1 0 0 0 0 1 0 0 0 -2.612401975809707 0
6 1 0 0 0 0 1 0 0 0 -2.3978925645914755 0
7 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
8 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
9 1 0 0 0 0 1 0 0 0 -1.9183594083992683 0
10 1 0 0 0 0 1 0 0 0 -0.20528899583381566 0
11 1 0 0 0 0 1 0 0 0 -2.228671556381563 0
12 1 0 0 0 0 1 0 0 0 -1.4182479968419122 0
13 1 0 0 0 0 1 0 0 0 -0.8502909654397324 0
14 1 0 0 0 0 1 0 0 0 -0.7159022393149707 0
15 1 0 0 0 0 1 0 0 0 -3.1610313373891867 0
16 1 0 0 0 0 1 0 0 0 -3.1287201953869928 0
17 1 0 0 0 0 1 0 0 0 -2.639712820871053 0
18 1 0 0 0 0 1 0 0 0 -2.96781091166405 0
19 1 0 0 0 0 1 0 0 0 -2.7924520693142263 0
20 1 0 0 0 0 1 0 0 0 -1.9346940181198664 0
21 1 0 0 0 0 1 0 0 0 -2.878591512309745 0
22 1 0 0 0 0 1 0 0 0 -2.504042377514516 0
23 1 0 0 0 0 1 0 0 0 -2.9759504876666605 0
24 1 0 0 0 0 1 0 0 0 -2.990823280690591 0
25 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
26 1 0 0 0 0 1 0 0 0 -2.442883718711391 0
27 1 0 0 0 0 1 0 0 0 -1.949189179727244 0
28 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
29 1 0 0 0 0 1 0 0 0 -2.936987319037791 0
30 1 0 0 0 0 1 0 0 0 -2.7397527822103913 0
31 1 0 0 0 0 1 0 0 0 -3.135286651271706 0
32 1 0 0 0 0 1 0 0 0 -2.750394208655403 0
33 1 0 0 0 0 1 0 0 0 -2.69948168740102 0
34 1 0 0 0 0 1 0 0 0 -2.416622442366439 0
35 1 0 0 0 0 1 0 0 0 -2.332089831014 0
36 1 0 0 0 0 1 0 0 0 -3.7563890606223205 0
37 1 0 0 0 0 1 0 0 0 -3.3269772487370917 0
38 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
39 1 0 0 0 0 1 0 0 0 -3.4064071546946018 0
40 1 0 0 0 0 1 0 0 0 -1.935504049104257 0
41 1 0 0 0 0 1 0 0 0 -2.813708321529019 0
42 1 0 0 0 0 1 0 0 0 -2.5010830982559042 0
43 1 0 0 0 0 1 0 0 0 -3.7349768797611174 0
44 1 0 0 0 0 1 0 0 0 -0.8353167569438102 0
45 1 0 0 0 0 1 0 0 0 -5.078833949362261 0
46 1 0 0 0 0 1 0 0 0 -3.75907402741743 0
47 1 0 0 0 0 1 0 0 0 -4.841637507904751 0
48 1 0 0 0 0 1 0 0 0 -4.283162276700476 0
49 1 0 0 0 0 1 0 0 0 -4.568636235841013 0
50 1 0 0 0 0 1 0 0 0 -4.728158393463501 0
51 1 0 0 0 0 1 0 0 0 -4.481486060122112 0
52 1 0 0 0 0 1 0 0 0 -4.798602875679548 0
53 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
54 1 0 0 0 0 1 0 0 0 -4.316052869248488 0
55 1 0 0 0 0 1 0 0 0 -4.913640169325252 0
56 1 0 0 0 0 1 0 0 0 -5.073143291050307 0
57 1 0 0 0 0 1 0 0 0 -2.398241296378829 0
58 1 0 0 0 0 1 0 0 0 -1.961657668750236 0
59 1 0 0 0 0 1 0 0 0 -1.703191721915145 1
60 1 0 0 0 0 1 0 0 0 -4.074172425375258 0
61 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
62 1 0 0 0 0 1 0 0 0 -4.801342913045577 0
63 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
64 1 0 0 0 0 1 0 0 0 -6.133122185662502 0
65 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
66 1 0 0 0 0 1 0 0 0 -4.060480747381382 0
67 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
68 1 0 0 0 0 1 0 0 0 -5.219682687859849 0
69 1 0 0 0 0 1 0 0 0 -5.147520006363144 0
70 1 0 0 0 0 1 0 0 0 -1.2579035976967556 0
71 1 0 0 0 0 1 0 0 0 -5.485452247339714 0
72 1 0 0 0 0 1 0 0 0 -2.2097148359667584 0
73 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
74 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
75 1 0 0 0 0 1 0 0 0 -1.7824398372128618 0
76 1 0 0 0 0 1 0 0 0 -1.134698575871522 0
77 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
78 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
79 1 0 0 0 0 1 0 0 0 -5.297569463554475 0
80 1 0 0 0 0 1 0 0 0 -5.411168274405792 0
81 1 0 0 0 0 1 0 0 0 -2.659836184774452 0
82 1 0 0 0 0 1 0 0 0 -2.064612005196445 0
83 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
84 1 0 0 0 0 1 0 0 0 -4.205511953340831 0
85 1 0 0 0 0 1 0 0 0 -5.617982957425132 0
86 1 0 0 0 0 1 0 0 0 -4.167491087293763 0
87 1 0 0 0 0 1 0 0 0 -1.9783372885357882 0
88 1 0 0 0 0 1 0 0 0 -5.0589857562944305 0
89 1 0 0 0 0 1 0 0 0 -3.6344764493449366 0
90 1 0 0 0 0 1 0 0 0 -4.632644078973981 0
91 1 0 0 0 0 1 0 0 0 -4.145693958198919 0
92 1 0 0 0 0 1 0 0 0 -5.292429823902063 0
93 1 0 0 0 0 1 0 0 0 -1.1950295903751296 0
94 1 0 0 0 0 1 0 0 0 -1.9843889630807305 0
95 1 0 0 0 0 1 0 0 0 -4.616184634019569 0
96 1 0 0 0 0 1 0 0 0 -4.431798275933005 0
97 1 0 0 0 0 1 0 0 0 -2.758749458424233 0
98 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
99 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
100 1 0 0 0 0 1 0 0 0 -4.220403508742176 0
101 1 0 0 0 0 0 0 1 0 -7.552841968657781 0
102 1 0 0 0 0 1 0 0 0 -4.701146923590294 0
103 1 0 0 0 0 1 0 0 0 -5.448550002027125 0
104 0 0 1 0 0 0 0 1 0 -15.022276394711152 0
105 1 0 0 0 0 1 0 0 0 -6.069560405233299 0
106 1 0 0 0 0 0 0 1 0 -8.580044251510243 0
107 1 0 0 0 0 0 0 1 0 -6.440093374963888 0
108 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
109 0 0 0 1 0 0 0 0 1 -15.022276394711152 1
110 1 0 0 0 0 1 0 0 0 -5.321481620959886 0
111 1 0 0 0 0 1 0 0 0 -4.869666231504994 0
112 0 0 0 0 1 0 0 1 0 -15.022276394711152 1
113 1 0 0 0 0 1 0 0 0 -6.2716462179787715 0
114 0 0 0 1 0 0 0 0 1 -15.022276394711152 1
115 0 0 0 0 1 0 0 1 0 -15.022276394711152 1
116 1 0 0 0 0 1 0 0 0 -4.809668301829708 0
117 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
118 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
119 1 0 0 0 0 1 0 0 0 -0.3614012886720346 0
120 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
121 1 0 0 0 0 1 0 0 0 -6.628932137728263 0
122 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
