id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_detritus met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving mov_swimming log_mass mass_missing
0 0 1 0 0 0 0 1 0 0 0 -9.97469413473523 0
1 1 0 0 0 0 1 0 0 0 0 -3.5985770557159036 0
2 1 0 0 0 0 1 0 0 0 0 -3.677191705200343 0
3 1 0 0 0 0 1 0 0 0 0 -3.2429662874522682 0
4 1 0 0 0 0 1 0 0 0 0 -4.341988603342887 0
5 1 0 0 0 0 1 0 0 0 0 -4.118615343229427 0
6 1 0 0 0 0 1 0 0 0 0 -4.464705879957229 0
7 1 0 0 0 0 1 0 0 0 0 -4.928117992693875 0
8 1 0 0 0 0 0 1 0 0 0 -3.420286124672538 0
9 1 0 0 0 0 1 0 0 0 0 -4.462180904926726 0
10 0 1 0 0 0 0 1 0 0 0 -9.774690718274137 0
11 0 1 0 0 0 0 1 0 0 0 -10.176525770829699 0
12 0 1 0 0 0 0 1 0 0 0 -10.886056647693163 0
13 0 0 1 0 0 0 0 1 0 0 -10.899629454882437 1
14 0 0 0 1 0 0 0 0 1 0 -10.899629454882437 1
15 1 0 0 0 0 1 0 0 0 0 -1.7511529392651652 0
16 1 0 0 0 0 1 0 0 0 0 -3.223673720178568 0
17 1 0 0 0 0 0 0 0 0 1 -3.745604206416743 0
18 0 1 0 0 0 0 1 0 0 0 -9.271646217978772 0
19 0 1 0 0 0 0 1 0 0 0 -9.401209493236886 0
20 0 1 0 0 0 0 1 0 0 0 -9.321481620959887 0
21 0 1 0 0 0 0 1 0 0 0 -8.853871964321762 0
22 0 0 0 1 0 0 0 0 1 0 -10.899629454882437 1
23 0 0 0 0 1 0 1 0 0 0 -10.899629454882437 1
24 0 1 0 0 0 0 1 0 0 0 -9.943095148663527 0
25 0 1 0 0 0 0 1 0 0 0 -10.899629454882437 0
26 0 1 0 0 0 0 1 0 0 0 -10.899629454882437 1
27 0 1 0 0 0 0 1 0 0 0 -10.777283528852417 0
28 0 1 0 0 0 0 1 0 0 0 -8.261219441515632 0
29 0 0 0 1 0 0 0 0 1 0 -10.899629454882437 1
