id met_invertebrate met_other met_detritus met_endotherm_vertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_other_nonliving mov_swimming mov_sessile log_mass mass_missing
0 0 0 0 0 0 1 0 0 0 1 -1.6912503838647623 0
1 1 0 0 0 0 0 1 0 0 0 -0.4004210405154729 0
2 1 0 0 0 0 0 1 0 0 0 -0.5222040864248407 0
3 1 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
4 1 0 0 0 0 0 1 0 0 0 -0.42351133721031264 0
5 1 0 0 0 0 0 1 0 0 0 -1.154367114573441 0
6 1 0 0 0 0 0 1 0 0 0 -0.19691000465614356 0
7 1 0 0 0 0 0 1 0 0 0 -0.6627924028982861 0
8 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
9 0 0 0 0 1 0 0 0 1 0 3.304237977604076 0
10 0 0 0 1 0 0 1 0 0 0 3.043822268574417 0
11 1 0 0 0 0 0 1 0 0 0 -0.03062938338105299 0
12 1 0 0 0 0 0 1 0 0 0 -0.4004210405154729 0
13 1 0 0 0 0 0 1 0 0 0 -0.6627924028982861 0
14 1 0 0 0 0 0 1 0 0 0 -1.1543671145734413 0
15 1 0 0 0 0 0 1 0 0 0 -1.1543671145734413 0
16 1 0 0 0 0 0 1 0 0 0 -2.130629386935623 0
17 1 0 0 0 0 0 1 0 0 0 -0.40042104051547267 0
18 0 0 0 0 1 0 0 0 1 0 3.806179973983887 0
19 0 0 0 0 1 0 0 0 1 0 1.7175872968554604 0
20 0 0 0 0 0 1 0 0 0 1 -0.5503466840199833 0
21 1 0 0 0 0 0 1 0 0 0 -2.9290730176625863 0
22 0 0 0 0 1 0 0 0 1 0 2.6327001861965944 0
23 0 0 0 1 0 0 0 0 1 0 2.944600902598463 0
24 0 0 0 0 1 0 0 0 1 0 4.982271233039568 0
25 0 0 0 1 0 0 1 0 1 0 3.361727836017593 0
26 0 0 0 0 1 0 0 0 1 0 1.6020599913279625 0
27 0 0 0 0 1 0 0 0 1 0 1.7672891777371815 0
28 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
29 1 0 0 0 0 0 1 0 0 0 -2.130629386935623 0
30 1 0 0 0 0 0 1 0 0 0 -2.3930007425075135 0
31 0 0 0 0 1 0 0 0 1 0 1.8929289823552058 0
32 1 0 0 0 0 0 0 0 0 1 -0.829072974079797 0
33 0 0 0 0 1 0 0 0 1 0 1.7656911255666587 0
34 1 0 0 0 0 0 0 0 0 1 -1.6647469580887455 0
35 1 0 0 0 0 0 0 0 0 1 -2.2969099920009572 0
36 0 0 0 1 0 0 0 0 1 0 7.719292745782382 0
37 0 0 0 1 0 0 1 0 0 0 5.698970004336019 0
38 1 0 0 0 0 0 0 0 0 1 -1.9271184263319248 0
39 1 0 0 0 0 0 1 0 0 0 -0.829072974079797 0
40 1 0 0 0 0 0 0 0 1 0 -1.032584016944797 0
41 0 0 0 0 1 0 0 0 1 0 1.1696744340588068 0
42 1 0 0 0 0 0 0 0 1 0 -0.7421484616102396 0
43 0 0 0 0 1 0 0 0 1 0 2.3813497710597407 0
44 1 0 0 0 0 0 0 0 0 1 -1.2949553798790987 0
45 1 0 0 0 0 0 0 0 1 0 -1.537281491266179 0
46 1 0 0 0 0 0 1 0 0 0 -0.8663033691893594 0
47 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
48 0 0 0 0 1 0 0 0 1 0 3.0373388333264484 0
49 0 0 0 1 0 0 0 0 1 0 1.892429325848291 0
50 0 0 0 1 0 0 1 0 0 0 1.6111345409481914 0
51 0 0 0 1 0 0 0 0 1 0 2.512755350084227 0
52 0 0 0 1 0 0 0 0 1 0 4.6020599913279625 0
53 0 0 0 1 0 0 0 0 1 0 5.439332693830263 0
54 0 0 0 1 0 0 0 0 1 0 5.1303337684950066 0
55 0 0 0 1 0 0 0 0 1 0 4.6020599913279625 0
56 0 0 0 0 1 0 0 0 1 0 3.845098040014257 0
57 0 0 0 1 0 0 0 0 1 0 2.7782888275586264 0
58 0 0 0 0 1 0 0 0 1 0 3.3010299956639813 0
59 0 0 0 1 0 0 1 0 1 0 1.6111345409481914 0
60 1 0 0 0 0 0 0 0 1 0 -1.537281491266179 0
61 1 0 0 0 0 0 0 0 1 0 -2.130629386935623 0
62 1 0 0 0 0 0 1 0 0 0 -1.3910460869965904 0
63 1 0 0 0 0 0 0 0 0 1 -3.132583781951269 0
64 1 0 0 0 0 0 0 0 0 1 -2.762792417222378 0
65 1 0 0 0 0 0 0 0 0 1 -2.762792417222378 0
66 1 0 0 0 0 0 0 0 0 1 -2.9290730176625863 0
67 1 0 0 0 0 0 0 0 1 0 -4.027334407733889 0
68 1 0 0 0 0 0 0 0 1 0 -2.1435095862418327 0
69 1 0 0 0 0 0 0 0 1 0 -3.191693128152205 0
70 1 0 0 0 0 0 0 0 1 0 -2.5004210921682426 0
71 1 0 0 0 0 0 0 0 1 0 -1.4612360526906876 0
72 1 0 0 0 0 0 1 0 0 0 -2.6486412990461026 0
73 1 0 0 0 0 0 1 0 0 0 -2.7627924172223777 0
74 1 0 0 0 0 0 0 0 1 0 -1.9271184263319248 0
75 0 0 0 0 1 0 0 0 1 0 3.0051805125037805 0
76 1 0 0 0 0 0 0 0 1 0 -1.2949553798790985 0
77 1 0 0 0 0 0 0 0 1 0 -3.02516374393773 0
78 1 0 0 0 0 0 0 0 1 0 -1.1543671145734413 0
79 1 0 0 0 0 0 0 0 1 0 -1.2949553798790985 0
80 1 0 0 0 0 0 0 0 1 0 -1.9271184263319248 0
81 1 0 0 0 0 0 0 0 1 0 -2.2403348743799856 0
82 1 0 0 0 0 0 0 0 1 0 -2.2632416302071423 0
83 1 0 0 0 0 0 1 0 0 0 -3.7202486686893774 0
84 1 0 0 0 0 0 1 0 0 0 -2.057628978877431 0
85 0 0 0 0 1 0 0 0 1 0 1.3628593029586802 0
86 0 0 0 0 0 1 0 0 1 0 -11.777283528852417 0
87 1 0 0 0 0 0 0 0 1 0 -1.9090580574699143 0
88 1 0 0 0 0 0 1 0 0 0 -1.8129671473454971 0
89 1 0 0 0 0 0 1 0 0 0 -1.3910460869965904 0
90 0 0 0 0 0 1 0 0 1 0 -10.71669877129645 0
91 1 0 0 0 0 0 1 0 0 0 -1.0325840169447968 0
92 1 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
93 1 0 0 0 0 0 0 0 1 0 -1.6647469580887457 0
94 0 0 0 0 0 1 0 0 0 1 -1.3021601092700419 0
95 1 0 0 0 0 0 0 0 0 1 -2.372955578790126 0
96 1 0 0 0 0 0 1 0 0 0 -1.4612360526906873 0
97 1 0 0 0 0 0 0 0 1 0 -1.7659187482961978 0
98 1 0 0 0 0 0 0 0 1 0 -4.027334407733889 0
99 0 0 0 0 0 1 0 0 1 0 -11.2839966563652 0
100 0 0 0 0 0 1 0 0 1 0 -9.924453038607469 0
101 1 0 0 0 0 0 0 0 1 0 -4.157390760389438 0
102 1 0 0 0 0 0 0 0 1 0 -5.146301788223826 0
103 1 0 0 0 0 0 1 0 0 0 -2.84214840590323 0
104 1 0 0 0 0 0 1 0 0 0 -1.2949553798790987 0
105 1 0 0 0 0 0 1 0 0 0 -1.1543671145734413 0
106 1 0 0 0 0 0 1 0 0 0 -2.130629386935623 0
107 1 0 0 0 0 0 1 0 0 0 -1.9271184263319248 0
108 0 0 0 0 0 1 0 0 1 0 -11.590066876668706 0
109 0 0 0 0 0 1 0 0 0 1 -1.6912503838647623 0
110 0 0 0 0 0 1 0 0 0 1 0.0034786273359378047 0
111 0 0 0 0 0 1 0 0 0 1 -0.4963754425262009 0
112 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
113 1 0 0 0 0 0 0 0 1 0 -2.130629386935623 0
114 1 0 0 0 0 0 0 0 1 0 -2.2969099920009572 0
115 1 0 0 0 0 0 1 0 0 0 -1.6647469580887457 0
116 1 0 0 0 0 0 0 0 1 0 -1.9271184263319248 0
117 1 0 0 0 0 0 1 0 0 0 -2.2969099920009572 0
118 1 0 0 0 0 0 1 0 0 0 -2.3930007425075135 0
119 0 0 0 0 0 1 0 0 1 0 -11.24184537803261 0
120 0 0 0 0 0 1 0 0 1 0 -13.46344155742847 0
121 1 0 0 0 0 0 1 0 0 0 -1.6647469580887457 0
122 1 0 0 0 0 0 0 0 0 1 -1.7970131027432121 0
123 1 0 0 0 0 0 1 0 0 0 -1.3258742012024733 0
124 1 0 0 0 0 0 0 0 0 1 -0.7759307431796452 0
125 0 0 0 0 0 1 0 0 1 0 -13.46344155742847 0
126 1 0 0 0 0 0 1 0 0 0 -2.057628978877431 0
127 1 0 0 0 0 0 1 0 0 0 -1.5778223281387764 0
128 1 0 0 0 0 0 1 0 0 0 -1.4612360526906876 0
