id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_floating mov_sessile mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 1 0 0 -8.695911607726927 1
1 1 0 0 0 1 0 0 0 0 -2.4873317434046927 0
2 1 0 0 0 0 0 0 0 1 -4.080398976215889 0
3 1 0 0 0 0 0 0 0 1 -3.8098953150417745 0
4 1 0 0 0 1 0 0 0 0 -3.9217970174963144 0
5 1 0 0 0 0 0 0 0 1 -3.9963327102184603 0
6 1 0 0 0 0 0 0 0 1 -3.499479487364484 0
7 1 0 0 0 0 0 0 0 1 -3.211596155146058 0
8 1 0 0 0 1 0 0 0 0 -4.718966632752273 0
9 1 0 0 0 1 0 0 0 0 -4.565431095965801 0
10 1 0 0 0 0 0 0 0 1 -3.7664404343740707 0
11 1 0 0 0 0 0 0 0 1 -3.34024918642772 0
12 1 0 0 0 1 0 0 0 0 -3.3210402670531174 0
13 0 0 1 0 0 0 1 0 0 -8.695911607726927 1
14 1 0 0 0 0 0 0 0 1 -3.6691622862202 0
15 1 0 0 0 1 0 0 0 0 -3.697511056709441 0
16 1 0 0 0 0 0 0 0 1 -3.1972844125062503 0
17 1 0 0 0 0 0 0 0 1 -3.430252827816556 0
18 1 0 0 0 0 0 0 0 1 -3.426531942960236 0
19 0 0 1 0 0 0 1 0 0 -9.1546981553018 1
20 0 0 1 0 0 0 1 0 0 -8.695911607726927 1
21 0 0 1 0 0 0 1 0 0 -8.695911607726927 1
22 1 0 0 0 0 0 0 0 1 -3.788524369222529 0
23 1 0 0 0 1 0 0 0 0 -3.5355924307780273 0
24 0 0 0 1 0 0 0 0 1 2.320146286111054 0
25 0 0 1 0 0 0 1 0 0 -9.018936819149399 1
26 1 0 0 0 0 0 0 0 1 -4.276544327964814 0
27 1 0 0 0 1 0 0 0 0 -3.819638969571611 0
28 1 0 0 0 0 0 0 0 1 -3.2443964726380803 0
29 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
30 1 0 0 0 0 0 0 0 1 -3.4628902020710957 0
31 1 0 0 0 1 0 0 0 0 -4.139063379299906 0
32 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
33 0 0 1 0 0 0 0 1 0 -4.809668301829708 1
34 1 0 0 0 1 0 0 0 0 -2.776126519377796 0
35 0 0 1 0 0 0 1 0 0 -7.946487081850424 1
36 1 0 0 0 0 0 0 0 1 -3.9056057444414667 0
37 1 0 0 0 1 0 0 0 0 -3.55454525710193 0
38 1 0 0 0 0 0 0 0 1 -3.211596155146058 0
39 1 0 0 0 0 0 0 0 1 -3.628396530270247 0
40 1 0 0 0 1 0 0 0 0 -4.809668301829708 0
41 1 0 0 0 1 0 0 0 0 -4.485452247339714 0
42 1 0 0 0 1 0 0 0 0 -3.0288002522613566 0
43 1 0 0 0 1 0 0 0 0 -3.6900761444549524 0
44 0 0 1 0 0 0 1 0 0 -9.978810700930062 1
45 0 0 1 0 0 0 1 0 0 -8.701804561429558 1
46 0 0 1 0 0 0 1 0 0 -8.701804561429558 1
47 0 0 1 0 0 0 1 0 0 -8.701804561429558 1
48 0 0 1 0 0 0 1 0 0 -8.701804561429558 1
49 1 0 0 0 1 0 0 0 0 -2.2632629690765182 0
50 0 0 1 0 0 0 1 0 0 -7.929079206781836 1
51 0 0 1 0 0 0 1 0 0 -8.355561410532161 1
52 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
53 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
54 1 0 0 0 0 0 0 0 1 -3.9963327102184603 0
55 1 0 0 0 1 0 0 0 0 -2.776126519377796 0
56 1 0 0 0 1 0 0 0 0 -3.658963348693987 0
57 1 0 0 0 0 0 0 0 1 -3.0866233101862632 0
58 1 0 0 0 0 0 0 0 1 -3.484693227684487 0
59 0 0 1 0 0 0 1 0 0 -8.795880017344075 1
60 0 0 1 0 0 0 1 0 0 -8.795880017344075 1
61 0 0 1 0 0 0 1 0 0 -7.998569458294951 1
62 0 0 1 0 0 0 1 0 0 -9.055681864499613 1
63 0 0 1 0 0 0 1 0 0 -9.109998386815363 1
64 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
65 0 0 1 0 0 0 1 0 0 -8.850879881927025 1
66 0 0 1 0 0 0 1 0 0 -8.850879881927025 1
67 0 0 1 0 0 0 1 0 0 -8.814960988871428 1
68 0 0 1 0 0 0 1 0 0 -8.850879881927025 1
69 0 0 1 0 0 0 1 0 0 -8.850879881927025 1
70 0 0 1 0 0 0 1 0 0 -8.850879881927025 1
71 1 0 0 0 1 0 0 0 0 -4.718966632752273 0
72 0 0 1 0 0 0 0 1 0 -4.809668301829708 1
73 1 0 0 0 0 0 1 0 0 -3.180935108388953 1
74 1 0 0 0 1 0 0 0 0 -2.2632629690765182 0
75 1 0 0 0 1 0 0 0 0 -3.5355924307780273 0
76 0 0 1 0 0 0 1 0 0 -8.416726717144723 1
77 0 0 1 0 0 0 1 0 0 -8.648010544564368 1
78 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
79 0 0 1 0 0 0 0 1 0 -4.809668301829708 1
80 0 0 1 0 0 0 1 0 0 -8.045223166137303 1
81 0 0 1 0 0 0 1 0 0 -8.045223166137303 1
82 0 0 1 0 0 0 1 0 0 -7.889410289700751 1
83 0 0 1 0 0 0 1 0 0 -8.045223166137303 1
84 0 0 1 0 0 0 1 0 0 -9.045275209020938 1
85 0 0 1 0 0 0 1 0 0 -8.413978149818515 1
86 0 0 1 0 0 0 1 0 0 -8.413978149818515 1
87 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
88 0 0 1 0 0 0 1 0 0 -7.824053529904454 1
89 0 0 1 0 0 0 1 0 0 -7.824053529904454 1
90 0 0 1 0 0 0 1 0 0 -8.363404653772209 1
91 0 0 1 0 0 0 1 0 0 -8.292855811657555 1
92 1 0 0 0 0 0 0 0 1 -3.19728441250625 0
93 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
