id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_sessile mov_walking mov_other log_mass
0 1 0 0 0 0 1 0 -1.154901959985743
1 0 1 0 1 0 0 0 -0.5228787452803375
2 0 1 0 1 0 0 0 0.3802112417116061
3 1 0 0 0 0 1 0 -0.21467016498923305
4 1 0 0 1 0 0 0 -2.0
5 1 0 0 0 1 0 0 -0.39794000867203755
6 1 0 0 1 0 0 0 -0.9208187539523752
7 1 0 0 1 0 0 0 -0.585026652029182
8 1 0 0 0 0 1 0 -2.0
9 0 0 1 0 1 0 0 -3.642065152999546
10 1 0 0 0 0 1 0 -2.3010299956639813
11 1 0 0 1 0 0 0 -2.4559319556497243
12 1 0 0 1 0 0 0 -3.0
13 1 0 0 0 0 1 0 -1.0457574905606752
14 1 0 0 1 0 0 0 -2.0
15 1 0 0 0 0 1 0 -3.0969100130080562
16 1 0 0 0 0 1 0 -1.2218487496163561
17 1 0 0 0 0 1 0 -2.9208187539523753
18 1 0 0 0 0 1 0 -2.5228787452803374
19 1 0 0 0 0 1 0 -1.6989700043360187
20 1 0 0 1 0 0 0 -2.0
21 1 0 0 0 0 1 0 -2.0
22 1 0 0 0 0 1 0 -1.9208187539523751
23 0 0 1 0 1 0 0 -3.642065152999546
24 1 0 0 0 1 0 0 -2.154901959985743
25 0 0 1 0 1 0 0 -3.642065152999546
26 0 0 1 0 1 0 0 -3.642065152999546
27 0 0 1 0 1 0 0 -3.642065152999546
28 0 0 1 0 1 0 0 -3.642065152999546
29 1 0 0 0 0 1 0 -2.0
30 1 0 0 0 1 0 0 -2.0969100130080562
31 1 0 0 0 0 1 0 -2.1870866433571443
32 1 0 0 0 1 0 1 -1.958607314841775
33 1 0 0 0 0 1 0 -2.0
34 1 0 0 0 0 1 0 -2.0
35 0 0 1 0 0 0 1 -4.0
36 1 0 0 0 1 0 0 -2.0
37 1 0 0 1 0 0 0 -3.0
38 1 0 0 0 0 1 0 -2.3767507096020997
39 0 0 1 0 1 0 0 -3.642065152999546
40 0 0 1 0 1 0 0 -3.642065152999546
41 1 0 0 0 1 0 0 -1.2218487496163564
