id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.590066876668706 0
1 0 0 1 0 1 0 0 -4.841637507904751 0
2 0 0 0 1 0 0 1 -9.821023052706831 0
3 0 0 1 0 1 0 0 -6.497572880015567 0
4 0 0 1 0 1 0 0 -4.649751981665837 0
5 0 0 1 0 1 0 0 -5.0 0
6 1 0 0 0 1 0 0 1.4913616938342726 0
7 1 0 0 0 1 0 0 -1.7958800173440752 0
8 0 0 0 1 0 0 1 -9.290730039024169 0
9 0 0 1 0 1 0 0 -5.809668301829708 0
10 0 0 1 0 1 0 0 -5.23284413391782 0
11 0 0 0 1 0 0 1 -9.116338564846382 0
12 0 0 1 0 1 0 0 -5.661543506395395 0
13 0 0 1 0 1 0 0 -5.73754891026957 0
14 0 0 0 1 0 0 1 -10.323306390375134 0
15 0 0 1 0 1 0 0 -6.068033885271827 0
16 0 0 1 0 1 0 0 -7.698970004336019 0
17 0 0 1 0 1 0 0 -5.723538195826756 0
18 0 0 1 0 1 0 0 -8.0 0
19 0 0 1 0 1 0 0 -4.863279432843593 0
20 0 0 1 0 1 0 0 -6.127261172527331 0
21 0 0 1 0 1 0 0 -2.7423214251308154 0
22 0 0 0 1 0 0 1 -10.323306390375134 0
23 0 0 0 1 0 0 1 -8.866461091629782 0
24 0 0 0 1 0 0 1 -8.027334407733889 0
25 1 0 0 0 1 0 0 1.845098040014257 0
26 1 0 0 0 1 0 0 2.5224442335063197 0
27 0 0 0 1 0 0 1 -8.247951552180561 0
28 0 0 0 1 0 0 1 -10.61798295742513 0
29 0 0 0 1 0 0 1 -7.064996848546345 0
30 0 0 0 1 1 0 0 -7.251811972993799 0
31 0 0 0 1 1 0 0 -7.251811972993799 0
32 0 0 0 1 1 0 0 -7.251811972993799 0
33 0 1 0 0 0 1 0 -10.61798295742513 1
34 1 0 0 0 0 0 1 -1.6968039425795112 0
