id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.494850021680094 0
1 1 0 0 0 1 0 0 1.4471580313422192 0
2 0 0 1 0 1 0 0 -5.0 0
3 1 0 0 0 1 0 0 1.6532125137753437 0
4 0 0 1 0 1 0 0 -5.164309428507575 0
5 1 0 0 0 1 0 0 -1.7958800173440752 0
6 0 0 1 0 1 0 0 -5.133712660915805 0
7 0 0 1 0 1 0 0 -5.809668301829708 0
8 0 0 1 0 1 0 0 -5.23284413391782 0
9 0 0 0 1 0 0 1 -10.8153085691824 0
10 0 0 1 0 1 0 0 -5.0 0
11 0 0 1 0 1 0 0 -4.841637507904751 0
12 0 0 1 0 1 0 0 -4.166215625343521 0
13 0 0 0 1 0 0 1 -9.116338564846382 0
14 0 0 1 0 1 0 0 -4.493494967595128 0
15 0 0 1 0 1 0 0 -6.497572880015567 0
16 0 0 0 1 0 0 1 -10.323306390375134 0
17 0 0 1 0 1 0 0 -5.777283528852417 0
18 0 0 1 0 1 0 0 -6.068033885271827 0
19 0 0 1 0 1 0 0 -7.698970004336019 0
20 0 0 1 0 1 0 0 -8.0 0
21 0 0 1 0 1 0 0 -5.962573502059376 0
22 0 0 1 0 1 0 0 -6.068033885271827 0
23 0 0 1 0 1 0 0 -2.7417564900754847 0
24 0 0 0 1 0 0 1 -10.323306390375134 0
25 0 0 0 1 0 0 1 -8.247951552180561 0
26 0 0 0 1 0 0 1 -10.61798295742513 0
27 0 0 0 1 0 0 1 -10.61798295742513 0
28 0 0 0 1 0 0 1 -7.064996848546345 0
29 0 0 0 1 1 0 0 -7.251811972993799 0
30 0 0 0 1 1 0 0 -7.251811972993799 0
31 0 0 1 0 1 0 0 -6.701146923590294 0
32 0 0 0 1 0 0 1 -9.79317412396815 0
33 0 0 0 1 0 0 1 -8.954677021213342 0
34 0 1 0 0 0 1 0 -10.8153085691824 1
35 1 0 0 0 1 0 0 2.1903316981702914 0
36 1 0 0 0 0 0 1 -1.6968039425795112 0
