id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_walking mov_other mov_swimming mov_floating mov_sessile log_mass
0 0 1 0 0 1 0 0 0 -8.374687549038326
1 1 0 0 1 0 0 0 0 -3.5588942711205087
2 1 0 0 1 0 0 0 0 -3.5649380046910872
3 1 0 0 1 0 0 0 0 -5.156144577376839
4 1 0 0 1 0 0 0 0 -3.498380763167426
5 1 0 0 1 0 0 0 0 -3.7239359066871227
6 1 0 0 1 0 0 0 0 -4.012780770091995
7 1 0 0 0 0 1 0 0 -2.4339219954548215
8 0 0 1 0 0 1 0 0 -0.047928504808068484
9 1 0 0 1 0 0 0 0 -3.311170994873651
10 1 0 0 1 0 0 0 0 -2.022217563222626
11 1 0 0 1 0 0 0 0 -4.590066876668705
12 1 0 0 1 0 0 0 0 -3.3295472567484374
13 1 0 0 1 0 0 0 0 -2.6724434810305646
14 1 0 0 1 0 0 0 0 -3.4897553466075455
15 1 0 0 1 0 0 0 0 -2.7241328278716703
16 1 0 0 1 0 0 0 0 -3.936662887438872
17 1 0 0 0 1 0 0 0 -2.711269560170519
18 1 0 0 1 0 0 0 0 -3.980513989374211
19 0 0 1 0 0 1 0 0 0.32242616361509174
20 1 0 0 1 0 0 0 0 -3.4705555287250403
21 1 0 0 1 0 0 0 0 -3.0970794208926837
22 1 0 0 1 0 0 0 0 -2.389265331993121
23 1 0 0 1 0 0 0 0 -2.2268769088102482
24 0 1 0 0 1 0 0 0 -8.355561410532161
25 0 1 0 0 1 0 0 0 -8.643974142806877
26 0 1 0 0 1 0 0 0 -8.441291429466835
27 0 1 0 0 1 0 0 0 -9.039529222465701
28 0 1 0 0 1 0 0 0 -8.935542010773082
29 1 0 0 1 0 0 0 0 -2.945220765772515
30 1 0 0 1 0 0 0 0 -3.01414348645603
31 1 0 0 1 0 0 0 0 -2.5433801458220007
32 1 0 0 1 0 0 0 0 -1.7035320856476057
33 1 0 0 1 0 0 0 0 -1.3777551318193608
34 1 0 0 1 0 0 0 0 -2.8996477232091475
35 1 0 0 0 1 0 0 1 -3.5594466815568406
36 1 0 0 1 0 0 0 0 -2.5006878643328245
37 1 0 0 1 0 0 0 0 -3.9257615408262465
38 1 0 0 1 0 0 0 0 -2.4403576212375824
39 1 0 0 1 0 0 0 0 -2.7694695921846395
40 1 0 0 1 0 0 0 0 -2.6363701598795326
41 1 0 0 1 0 0 0 0 -4.006123085058789
42 1 0 0 1 0 0 0 0 -3.2769328216933684
43 1 0 0 1 0 0 0 0 -3.4645780161500377
44 0 1 0 0 1 0 0 0 -9.062983892535186
45 0 1 0 0 1 0 0 0 -9.281498311132726
46 1 0 0 1 0 0 0 0 -2.9256967539971264
47 1 0 0 1 0 0 0 0 -1.8230492546160766
48 0 0 1 0 0 1 0 0 0.24485620242861295
49 1 0 0 0 0 1 0 0 -2.660045982307881
50 1 0 0 1 0 0 0 0 -3.319465971437662
51 1 0 0 1 0 0 0 0 -3.617559681589383
52 1 0 0 1 0 0 0 0 -3.274339874163898
53 1 0 0 1 0 0 0 0 -3.3773042706898764
54 0 0 1 0 0 1 0 0 1.3669503608792724
55 1 0 0 1 0 0 0 0 -3.4854681850443305
56 0 1 0 0 0 0 1 0 -8.344861565188618
57 0 1 0 0 1 0 0 0 -7.863279432843593
58 0 1 0 0 1 0 0 0 -7.345823458122039
59 0 1 0 0 1 0 0 0 -7.826813731587726
60 0 1 0 0 1 0 0 0 -8.208309350979881
61 0 1 0 0 1 0 0 0 -8.462180904926726
62 1 0 0 1 0 0 0 0 -3.673000912671218
63 0 1 0 0 1 0 0 0 -6.062482107982653
64 1 0 0 1 0 0 0 0 -2.655236278481669
65 0 1 0 0 1 0 0 0 -7.324221658325915
66 0 1 0 0 1 0 0 0 -8.522878745280337
67 0 1 0 0 1 0 0 0 -8.118045028660399
68 0 1 0 0 1 0 0 0 -8.41228903498109
69 0 1 0 0 1 0 0 0 -7.279840696594043
70 0 1 0 0 1 0 0 0 -8.67778070526608
71 0 1 0 0 1 0 0 0 -8.301029995663981
72 0 1 0 0 1 0 0 0 -8.354577730650908
73 0 1 0 0 1 0 0 0 -8.522878745280337
