id met_invertebrate met_primary_producer mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 0 0 1 -3.0
1 1 0 0 0 1 0 -2.0
2 0 1 0 0 0 1 -3.642065152999546
3 1 0 1 0 0 0 -3.0457574905606752
4 1 0 0 0 1 0 -2.0
5 1 0 0 0 1 0 -1.1023729087095586
6 1 0 1 0 0 0 -3.6989700043360187
7 1 0 1 0 0 0 -3.6989700043360187
8 1 0 0 0 1 0 -1.8013429130455774
9 1 0 0 0 1 0 -2.0
10 1 0 0 0 0 1 -2.0
11 1 0 0 0 1 0 -2.0
12 1 0 0 0 0 1 -2.0
13 1 0 1 0 0 0 -3.0
14 1 0 0 0 1 0 -2.0
15 1 0 1 0 0 0 -2.0
16 1 0 0 0 1 0 -2.0
17 1 0 0 0 1 0 -2.0
18 1 0 0 1 1 0 -2.0
19 1 0 0 0 1 0 -2.0
20 1 0 0 0 1 0 -3.6989700043360187
21 1 0 0 0 1 0 -2.0
22 1 0 0 0 1 0 -3.6989700043360187
23 1 0 1 0 0 0 -2.4559319556497243
24 1 0 0 0 1 0 -2.6989700043360187
25 1 0 0 0 1 0 -2.0
26 0 1 0 0 0 1 -3.642065152999546
27 1 0 0 0 1 0 -3.6989700043360187
28 0 1 0 0 0 1 -3.642065152999546
29 0 1 0 0 0 1 -3.642065152999546
30 1 0 0 0 1 0 -2.886056647693163
31 0 1 0 1 0 0 -4.0
32 1 0 1 0 0 0 -3.0
33 0 1 0 0 0 1 -3.642065152999546
