id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 1 0 -9.54821356447571 0
1 1 0 0 0 1 0 0 0 -2.690424548609889 0
2 1 0 0 0 1 0 0 0 -2.5238381473671105 0
3 1 0 0 0 1 0 0 0 -2.6679952430606333 0
4 1 0 0 0 1 0 0 0 -3.411759675570193 0
5 1 0 0 0 1 0 0 0 -2.637368827467448 0
6 1 0 0 0 1 0 0 0 -3.8076779170852944 0
7 1 0 0 0 1 0 0 0 -3.509385655147924 0
8 1 0 0 0 1 0 0 0 -2.6693157900540374 0
9 1 0 0 0 1 0 0 0 -3.623333638576759 0
10 1 0 0 0 1 0 0 0 -4.3655227298392685 0
11 1 0 0 0 1 0 0 0 -2.6494552505363815 0
12 1 0 0 0 1 0 0 0 -2.0778505585960545 0
13 0 0 0 1 0 0 0 1 3.4586378490256493 0
14 1 0 0 0 0 0 0 1 -3.117853570939421 0
15 0 0 0 1 0 0 0 1 3.0916669575956846 0
16 1 0 0 0 1 0 0 0 -2.7730996720984815 0
17 1 0 0 0 1 0 0 0 -2.784203867410166 0
18 1 0 0 0 1 0 0 0 -2.337191849720772 0
19 1 0 0 0 1 0 0 0 -2.364635197798755 0
20 1 0 0 0 1 0 0 0 -2.3022014767165278 0
21 1 0 0 0 1 0 0 0 -4.09799710864927 0
22 1 0 0 0 1 0 0 0 -2.601059314554466 0
23 0 0 0 1 0 0 0 1 1.1192323162821514 0
24 1 0 0 0 1 0 0 0 -3.38964011482179 0
25 1 0 0 0 1 0 0 0 -3.2506788581474617 0
26 1 0 0 0 1 0 0 0 -3.9502007220810134 0
27 1 0 0 0 1 0 0 0 -4.2225731776106885 0
28 1 0 0 0 1 0 0 0 -2.4173891119250412 0
29 1 0 0 0 1 0 0 0 -3.09597511539032 0
30 1 0 0 0 1 0 0 0 -2.916540381752213 0
31 1 0 0 0 1 0 0 0 -2.9724921992004596 0
32 1 0 0 0 1 0 0 0 -3.9125593389611 0
33 0 0 0 1 0 0 0 1 4.239424618007431 0
34 1 0 0 0 1 0 0 0 -3.133370087492306 0
35 1 0 0 0 1 0 0 0 -2.7776901876120768 0
36 1 0 0 0 1 0 0 0 -3.131605396855363 0
37 0 0 1 0 0 0 1 0 -9.45717457304082 0
38 0 0 0 1 0 0 0 1 1.1192323162821516 0
39 0 0 1 0 0 0 1 0 -9.67366413907125 0
40 0 0 1 0 0 0 1 0 -10.00480370840282 0
41 0 0 1 0 0 0 1 0 -11.471083299722345 0
42 0 0 0 1 0 0 0 1 0.4733601670542477 0
43 0 0 0 1 0 0 0 1 2.1251996308860654 0
44 0 0 0 1 0 0 0 1 1.4369650820025188 0
45 0 0 0 1 0 0 0 1 1.5740312677277188 0
46 1 0 0 0 1 0 0 0 -2.610821861915082 0
47 0 0 0 1 0 0 0 1 0.9278444400101413 0
48 0 1 0 0 0 1 0 0 -11.471083299722345 1
49 1 0 0 0 1 0 0 0 -3.787601960304339 0
50 1 0 0 0 1 0 0 0 -1.9742996386086975 0
51 1 0 0 0 1 0 0 0 -2.5714944314271846 0
52 1 0 0 0 1 0 0 0 -4.0655015487564325 0
53 1 0 0 0 1 0 0 0 -2.461216458146511 0
54 0 0 1 0 0 0 1 0 -7.982966660701219 0
55 0 0 1 0 0 0 1 0 -10.559090917934782 0
56 0 0 1 0 0 0 1 0 -9.899629454882437 0
57 0 0 1 0 0 0 1 0 -9.24184537803261 0
58 0 0 1 0 0 0 1 0 -11.101274818410506 0
59 0 0 1 0 0 0 1 0 -9.872895201635192 0
60 0 1 0 0 0 1 0 0 -11.471083299722345 1
61 0 0 1 0 0 0 1 0 -9.145693958198919 0
62 0 0 1 0 0 0 1 0 -9.515700160653214 0
63 0 0 1 0 0 0 1 0 -7.319664486585436 0
64 0 0 1 0 0 0 1 0 -9.057991946977687 0
65 0 0 1 0 0 0 1 0 -10.053547734986926 0
66 0 0 1 0 0 0 1 0 -9.712198270069774 0
67 0 0 1 0 0 0 1 0 -8.73754891026957 0
68 0 0 1 0 0 0 1 0 -8.896196279044043 0
69 0 0 1 0 0 0 1 0 -8.75448733218585 0
70 0 0 1 0 0 0 1 0 -8.675717544702307 0
71 0 0 1 0 0 0 1 0 -9.053547734986926 0
72 0 0 1 0 0 0 1 0 -8.87942606879415 0
73 0 0 1 0 0 0 1 0 -8.522878745280337 0
74 0 0 1 0 0 0 1 0 -9.790484985457368 0
75 0 0 1 0 0 0 1 0 -9.844663962534938 0
76 1 0 0 0 1 0 0 0 -3.30784250855736 0
77 1 0 0 0 1 0 0 0 -1.6966534132493614 0
78 0 0 1 0 0 0 1 0 -9.705533773838408 0
79 1 0 0 0 1 0 0 0 -3.3510304528040593 0
80 0 0 1 0 0 0 1 0 -8.384049948343598 0
81 0 0 1 0 0 0 1 0 -9.0 0
