id met_invertebrate met_detritus met_ectotherm_vertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 1 0 0 0 1 0 0 -5.809668301829708 0
1 1 0 0 0 1 0 0 -4.649751981665837 0
2 1 0 0 0 1 0 0 -5.0 0
3 1 0 0 0 1 0 0 -5.0 0
4 0 0 1 0 1 0 0 -1.7958800173440752 0
5 1 0 0 0 1 0 0 -5.661543506395395 0
6 1 0 0 0 1 0 0 -5.73754891026957 0
7 0 0 0 1 0 0 1 -10.323306390375134 0
8 1 0 0 0 1 0 0 -4.236572006437063 0
9 1 0 0 0 1 0 0 -4.396855627379818 0
10 1 0 0 0 1 0 0 -4.995678626217358 0
11 1 0 0 0 1 0 0 -4.841637507904751 0
12 1 0 0 0 1 0 0 -5.2373214362725635 0
13 1 0 0 0 1 0 0 -4.166215625343521 0
14 1 0 0 0 1 0 0 -7.698970004336019 0
15 1 0 0 0 1 0 0 -8.0 0
16 1 0 0 0 1 0 0 -8.0 0
17 1 0 0 0 1 0 0 -2.7417564900754847 0
18 0 0 0 1 0 0 1 -10.323306390375134 0
19 0 0 0 1 0 0 1 -8.866461091629782 0
20 0 0 0 1 0 0 1 -8.866461091629782 0
21 0 0 0 1 0 0 1 -8.247951552180561 0
22 0 0 0 1 0 0 1 -10.61798295742513 0
23 0 0 0 1 0 0 1 -9.045275209020938 0
24 0 0 0 1 0 0 1 -7.064996848546345 0
25 0 0 0 1 1 0 0 -7.251811972993799 0
26 0 0 0 1 0 0 1 -9.79317412396815 0
27 0 0 0 1 0 0 1 -9.19586056766465 0
28 0 0 0 1 0 0 1 -8.954677021213342 0
29 0 0 0 1 0 0 1 -9.153662887870194 0
30 0 1 0 0 0 1 0 -10.61798295742513 1
31 0 0 1 0 0 0 1 -1.6968039425795112 0
32 0 0 1 0 1 0 0 2.3010299956639813 0
