id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_walking mov_swimming mov_other mov_sessile log_mass
0 0 0 1 0 0 0 1 -3.642065152999546
1 1 0 0 1 0 0 0 -2.0
2 1 0 0 1 0 0 0 -0.3010299956639812
3 1 0 0 1 0 0 0 -0.23657200643706278
4 0 1 0 0 1 0 0 -0.2596373105057561
5 1 0 0 1 0 0 0 -2.0
6 0 0 1 0 0 0 1 -3.642065152999546
7 0 0 1 0 0 0 1 -3.642065152999546
8 0 0 1 0 0 0 1 -3.642065152999546
9 0 0 1 0 0 0 1 -3.642065152999546
10 1 0 0 0 0 0 1 -2.0
11 1 0 0 1 0 0 0 0.4548448600085102
12 0 0 1 0 0 0 1 -3.642065152999546
13 0 0 1 0 0 1 0 -4.0
14 1 0 0 0 1 0 0 -3.0
15 1 0 0 1 0 0 0 -2.0
16 1 0 0 1 0 0 0 -2.0
17 0 0 1 0 0 0 1 -3.642065152999546
18 1 0 0 0 0 0 1 0.15228834438305647
19 1 0 0 0 0 0 1 -0.6020599913279624
