id met_invertebrate met_primary_producer mov_walking mov_sessile mov_other mov_swimming log_mass
0 1 0 1 0 0 0 -0.2875186621980812
1 1 0 1 0 0 0 -0.5379016188648442
2 0 1 0 1 0 0 -3.642065152999546
3 1 0 0 0 0 1 -0.7915586435614327
4 1 0 1 0 0 0 -0.9838026464875609
5 1 0 1 0 0 0 -1.1611509092627446
6 1 0 1 0 0 0 -1.274905478918531
7 1 0 1 0 0 0 -1.2781893847874535
8 1 0 1 0 0 0 -2.0
9 1 0 1 0 0 0 -0.4858508655245626
10 0 1 0 1 0 0 -3.642065152999546
11 0 1 0 1 0 0 -3.6989700043360187
12 0 1 0 1 0 0 -3.642065152999546
13 0 1 0 1 0 0 -3.642065152999546
14 0 1 0 1 0 0 -3.642065152999546
15 0 1 0 1 0 0 -3.642065152999546
16 0 1 0 0 1 0 -4.0
17 1 0 0 1 0 0 0.1279789889169092
18 1 0 0 0 0 1 -3.0
19 0 1 0 1 0 0 -3.642065152999546
20 1 0 1 0 0 0 -3.6989700043360187
