id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 1 0 0 0 0 1 -1.5287082889410615
1 1 0 0 0 0 1 -2.6989700043360187
2 1 0 0 0 0 1 -1.5287082889410615
3 1 0 0 0 0 1 -1.1944991418415998
4 0 1 1 0 0 0 -3.642065152999546
5 1 0 0 0 1 0 -0.86359655186601
6 1 0 0 0 0 1 -0.7498240519160749
7 1 0 0 0 0 1 -0.7677664788852664
8 1 0 0 0 0 1 -2.0
9 1 0 0 0 0 1 -0.2805029833894183
10 0 1 1 0 0 0 -3.642065152999546
11 0 1 1 0 0 0 -3.642065152999546
12 0 1 1 0 0 0 -3.6989700043360187
13 0 1 1 0 0 0 -3.642065152999546
14 0 1 1 0 0 0 -3.642065152999546
15 0 1 1 0 0 0 -3.642065152999546
16 0 1 1 0 0 0 -3.642065152999546
17 0 1 0 1 0 0 -4.0
18 1 0 1 0 0 0 0.3526647996511006
19 1 0 0 0 1 0 -3.0
20 0 1 1 0 0 0 -3.642065152999546
21 1 0 1 0 0 0 -0.1380476250785483
22 1 0 0 0 0 1 -3.6989700043360187
