id met_invertebrate met_primary_producer mov_walking mov_sessile mov_other mov_swimming log_mass
0 0 1 0 1 0 0 -3.6420651529995465
1 1 0 1 0 0 0 -0.744727494896694
2 1 0 0 0 0 1 -0.9961088337630895
3 1 0 1 0 0 0 -1.8601209135987635
4 1 0 1 0 0 0 -0.8227521637443765
5 1 0 1 0 0 0 -0.9044819576768491
6 1 0 1 0 0 0 -2.0
7 1 0 1 0 0 0 -0.5870357280033373
8 0 1 0 1 0 0 -3.6420651529995465
9 0 1 0 1 0 0 -3.6989700043360187
10 0 1 0 1 0 0 -3.6420651529995465
11 0 1 0 1 0 0 -3.6420651529995465
12 0 1 0 0 1 0 -4.0
13 1 0 0 1 0 0 0.018617292519441636
14 1 0 0 0 0 1 -3.0
15 0 1 0 1 0 0 -3.6420651529995465
16 0 1 0 1 0 0 -3.6420651529995465
17 1 0 1 0 0 0 -3.6989700043360187
18 1 0 0 1 0 0 -0.9939620450026828
