id met_invertebrate met_detritus met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 1 0 0 1 0 0 -5.354577730650908 0
1 1 0 0 1 0 0 -5.0 0
2 1 0 0 1 0 0 -5.809668301829708 0
3 1 0 0 1 0 0 -4.493494967595128 0
4 0 0 1 0 0 1 -10.323306390375134 0
5 1 0 0 1 0 0 -4.236572006437063 0
6 1 0 0 1 0 0 -4.841637507904751 0
7 1 0 0 1 0 0 -6.068033885271827 0
8 1 0 0 1 0 0 -7.698970004336019 0
9 1 0 0 1 0 0 -8.0 0
10 1 0 0 1 0 0 -8.0 0
11 1 0 0 1 0 0 -6.308034897232639 0
12 1 0 0 1 0 0 -6.293282217663242 0
13 1 0 0 1 0 0 -2.7417564900754847 0
14 0 0 1 0 0 1 -10.323306390375134 0
15 0 0 1 0 0 1 -8.866461091629782 0
16 0 0 1 0 0 1 -8.866461091629782 0
17 0 0 1 0 0 1 -8.027334407733889 0
18 1 0 0 1 0 0 -8.0 0
19 0 0 1 0 0 1 -8.247951552180561 0
20 0 0 1 1 0 0 -7.251811972993799 0
21 0 1 0 0 1 0 -10.323306390375134 1
