id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -1.7057133487389151 0
1 1 0 0 0 0 1 0 0 0 -2.1759224164714857 0
2 1 0 0 0 0 1 0 0 0 -0.9551638289685428 0
3 1 0 0 0 0 1 0 0 0 -2.291458092196252 0
4 1 0 0 0 0 1 0 0 0 -1.3775685525466086 0
5 1 0 0 0 0 1 0 0 0 -1.8298055174209358 0
6 1 0 0 0 0 1 0 0 0 -1.8045856730444987 0
7 1 0 0 0 0 1 0 0 0 -2.4398882402125754 0
8 1 0 0 0 0 1 0 0 0 -2.0548996872427154 0
9 1 0 0 0 0 1 0 0 0 -2.3044448674097318 0
10 1 0 0 0 0 1 0 0 0 -2.3975497533263126 0
11 1 0 0 0 0 1 0 0 0 -1.8895707389643308 0
12 1 0 0 0 0 1 0 0 0 -3.756389060622321 0
13 1 0 0 0 0 1 0 0 0 -3.1287201953869928 0
14 1 0 0 0 0 1 0 0 0 -3.3269772487370917 0
15 1 0 0 0 0 1 0 0 0 -2.4803326330386377 0
16 1 0 0 0 0 1 0 0 0 -2.9759504876666605 0
17 1 0 0 0 0 1 0 0 0 -3.404908499882108 0
18 1 0 0 0 0 1 0 0 0 -3.2840843592981983 0
19 1 0 0 0 0 1 0 0 0 -3.6570426765624067 0
20 1 0 0 0 0 1 0 0 0 -3.4957507589898924 0
21 1 0 0 0 0 1 0 0 0 -2.729734231071674 0
22 1 0 0 0 0 1 0 0 0 -2.8098955953783515 0
23 1 0 0 0 0 1 0 0 0 -2.7949242647486927 0
24 1 0 0 0 0 1 0 0 0 -2.554049744336224 0
25 1 0 0 0 0 1 0 0 0 -3.145335130199294 0
26 1 0 0 0 0 1 0 0 0 -2.9341447842582076 0
27 1 0 0 0 0 1 0 0 0 -2.839792664340997 0
28 1 0 0 0 0 1 0 0 0 -3.4064071546946018 0
29 1 0 0 0 0 1 0 0 0 -3.0576600246982197 0
30 1 0 0 0 0 1 0 0 0 -2.139784871222041 0
31 1 0 0 0 0 1 0 0 0 -5.2247537402597635 0
32 1 0 0 0 0 1 0 0 0 -4.954677021213342 0
33 1 0 0 0 0 1 0 0 0 -4.962573502059376 0
34 1 0 0 0 0 1 0 0 0 -4.603800652904264 0
35 1 0 0 0 0 1 0 0 0 -4.3655227298392685 0
36 1 0 0 0 0 1 0 0 0 -4.728158393463501 0
37 1 0 0 0 0 1 0 0 0 -4.747146969020107 0
38 1 0 0 0 0 1 0 0 0 -5.507239610973162 0
39 1 0 0 0 0 1 0 0 0 -4.027797161620936 0
40 1 0 0 0 0 1 0 0 0 -2.09154549003988 0
41 1 0 0 0 0 1 0 0 0 -1.7523709686613045 0
42 1 0 0 0 0 1 0 0 0 -5.073143291050307 0
43 1 0 0 0 0 1 0 0 0 -1.961657668750236 0
44 1 0 0 0 0 1 0 0 0 -1.7293690330911011 1
45 1 0 0 0 0 1 0 0 0 -5.036212172654444 0
46 1 0 0 0 0 1 0 0 0 -4.0195421077238995 0
47 1 0 0 0 0 1 0 0 0 -4.074172425375258 0
48 1 0 0 0 0 1 0 0 0 -5.046240308266771 0
49 1 0 0 0 0 1 0 0 0 -6.133122185662502 0
50 1 0 0 0 0 1 0 0 0 -5.209714835966758 0
51 1 0 0 0 0 1 0 0 0 -5.266802734893431 0
52 1 0 0 0 0 1 0 0 0 -5.485452247339714 0
53 1 0 0 0 0 1 0 0 0 -2.2097148359667584 0
54 1 0 0 0 0 1 0 0 0 -3.6150698215840062 0
55 1 0 0 0 0 1 0 0 0 -4.954677021213342 0
56 1 0 0 0 0 1 0 0 0 -4.818156412055227 0
57 1 0 0 0 0 1 0 0 0 -5.844663962534939 0
58 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
59 1 0 0 0 0 1 0 0 0 -4.835647144215563 0
60 1 0 0 0 0 1 0 0 0 -5.411168274405793 0
61 1 0 0 0 0 1 0 0 0 -4.195860567664649 0
62 1 0 0 0 0 1 0 0 0 -2.8419201928921303 0
63 1 0 0 0 0 1 0 0 0 -2.659836184774452 0
64 1 0 0 0 0 1 0 0 0 -5.617982957425132 0
65 1 0 0 0 0 1 0 0 0 -4.167491087293763 0
66 1 0 0 0 0 1 0 0 0 -5.0589857562944305 0
67 1 0 0 0 0 1 0 0 0 -3.760082685412345 0
68 1 0 0 0 0 1 0 0 0 -3.696957377183811 0
69 1 0 0 0 0 1 0 0 0 -3.3340439705460434 0
70 1 0 0 0 0 1 0 0 0 -1.1950295903751296 0
71 1 0 0 0 0 1 0 0 0 -5.447331783887806 0
72 1 0 0 0 0 1 0 0 0 -4.431798275933005 0
73 1 0 0 0 0 1 0 0 0 -2.082997607594083 0
74 1 0 0 0 0 1 0 0 0 -4.675717544702307 0
75 1 0 0 0 0 1 0 0 0 -5.101823516502323 0
76 1 0 0 0 0 1 0 0 0 -4.872895201635193 0
77 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
78 1 0 0 0 0 1 0 0 0 -5.148130399270234 0
79 1 0 0 0 0 1 0 0 0 -4.220403508742176 0
80 1 0 0 0 0 0 0 1 0 -7.552841968657781 0
81 1 0 0 0 0 1 0 0 0 -0.4912051124345149 0
82 1 0 0 0 0 1 0 0 0 -0.03533886748059989 0
83 1 0 0 0 0 1 0 0 0 -5.448550002027125 0
84 0 0 1 0 0 0 0 1 0 -15.022276394711152 0
85 1 0 0 0 0 1 0 0 0 -6.069560405233299 0
86 1 0 0 0 0 0 0 1 0 -8.580044251510243 0
87 1 0 0 0 0 0 0 1 0 -6.440093374963888 0
88 1 0 0 0 0 1 0 0 0 -5.416801226031377 0
89 0 0 0 1 0 0 0 0 1 -15.022276394711152 1
90 1 0 0 0 0 1 0 0 0 -4.869666231504994 0
91 0 0 0 0 1 0 0 1 0 -15.022276394711152 1
92 1 0 0 0 0 1 0 0 0 -6.2716462179787715 0
93 0 0 0 1 0 0 0 0 1 -15.022276394711152 1
94 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
95 0 0 0 0 1 0 0 1 0 -15.022276394711152 1
96 1 0 0 0 0 1 0 0 0 -4.931814138253839 0
97 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
98 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
99 1 0 0 0 0 1 0 0 0 -6.628932137728263 0
100 0 1 0 0 0 0 1 0 0 -15.022276394711152 1
