id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.642065152999546
1 1 0 0 0 1 0 -0.8167301563171954
2 1 0 0 0 0 1 -1.9393021596463884
3 1 0 0 0 0 1 -1.0788339493622612
4 1 0 0 0 0 1 -1.3306831194338877
5 1 0 0 0 0 1 -0.6330170240221491
6 0 1 1 0 0 0 -3.642065152999546
7 0 1 0 1 0 0 -4.0
8 1 0 1 0 0 0 0.3823592975193185
9 1 0 0 0 1 0 -3.0
10 0 1 1 0 0 0 -3.642065152999546
11 0 1 1 0 0 0 -3.642065152999546
12 1 0 1 0 0 0 -1.0199966284162536
13 1 0 1 0 0 0 -1.239577516576788
14 1 0 0 0 0 1 -2.958607314841775
