id met_invertebrate met_primary_producer mov_walking mov_other mov_sessile mov_swimming log_mass
0 1 0 1 0 0 0 -3.154901959985743
1 1 0 1 0 0 0 -2.154901959985743
2 1 0 1 0 0 0 -3.154901959985743
3 0 1 0 0 1 0 -3.642065152999546
4 1 0 1 0 0 0 -0.6516951369518393
5 1 0 0 0 0 1 -1.055024091587952
6 1 0 1 0 0 0 -0.1582027011256447
7 1 0 1 0 0 0 -0.8332739444199482
8 1 0 1 0 0 0 -1.2069083998234198
9 1 0 1 0 0 0 -2.0
10 1 0 1 0 0 0 -0.26082336808927004
11 0 1 0 1 0 0 -4.0
12 1 0 0 0 1 0 0.15044940946088056
13 1 0 0 0 0 1 -3.0
14 1 0 0 0 1 0 -0.29998893767788765
