id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.258848401148216 0
1 0 0 1 0 1 0 0 -4.236572006437063 0
2 0 0 1 0 1 0 0 -4.841637507904751 0
3 0 0 1 0 1 0 0 -5.809668301829708 0
4 1 0 0 0 1 0 0 1.041392685158225 0
5 0 0 1 0 1 0 0 -4.649751981665837 0
6 0 0 1 0 1 0 0 -5.0 0
7 1 0 0 0 1 0 0 -1.795880017344075 0
8 0 0 0 1 0 0 1 -10.438898616350944 0
9 1 0 0 0 1 0 0 2.840106094456758 0
10 1 0 0 0 1 0 0 2.5563025007672873 0
11 0 0 0 1 0 0 1 -10.323306390375134 0
12 0 0 1 0 1 0 0 -7.698970004336019 0
13 0 0 1 0 1 0 0 -8.0 0
14 0 0 1 0 1 0 0 -6.068033885271827 0
15 0 0 1 0 1 0 0 -2.7423214251308154 0
16 0 0 0 1 0 0 1 -10.323306390375134 0
17 0 0 0 1 0 0 1 -8.866461091629782 0
18 0 0 0 1 0 0 1 -8.027334407733889 0
19 1 0 0 0 1 0 0 1.5563025007672873 0
20 0 0 0 1 0 0 1 -8.247951552180561 0
21 0 0 0 1 0 0 1 -10.61798295742513 0
22 0 0 0 1 0 0 1 -9.045275209020938 0
23 0 0 0 1 0 0 1 -7.064996848546345 0
24 0 0 0 1 0 0 1 -9.19586056766465 0
25 0 0 0 1 0 0 1 -8.954677021213342 0
26 0 0 0 1 0 0 1 -7.590066876668706 0
27 0 1 0 0 0 1 0 -10.61798295742513 1
28 1 0 0 0 0 0 1 -1.6968039425795112 0
