id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_walking mov_sessile mov_swimming log_mass mass_missing
0 0 1 0 0 1 0 -8.695911607726927 1
1 1 0 0 1 0 0 -2.849562569123545 0
2 1 0 0 1 0 0 -2.20780673033346 0
3 1 0 0 1 0 0 -3.8048949754900203 0
4 1 0 0 1 0 0 -1.4735270554493802 0
5 1 0 0 1 0 0 -3.0740493154461555 0
6 1 0 0 1 0 0 -2.699927157611401 0
7 1 0 0 1 0 0 -3.185910297678684 0
8 1 0 0 1 0 0 -2.4279441041855416 0
9 1 0 0 1 0 0 -2.4249400366620733 0
10 1 0 0 1 0 0 -1.6153274080114113 0
11 1 0 0 1 0 0 -3.432409065049177 0
12 0 1 0 0 1 0 -8.695911607726927 1
13 0 1 0 0 1 0 -0.7528574516599705 1
14 0 1 0 0 1 0 -8.282024544107806 1
15 0 0 1 0 0 1 1.9020599913347362 0
16 1 0 0 1 0 0 -4.428291168191312 0
17 1 0 0 1 0 0 -3.4308415351483696 0
18 1 0 0 1 0 0 -1.4735270554493802 0
19 1 0 0 1 0 0 -3.2092280233641906 0
20 1 0 0 1 0 0 -0.7684502967632229 0
21 1 0 0 0 0 1 0.6020599913279624 0
22 1 0 0 1 0 0 -3.0002115529300073 0
23 0 1 0 0 1 0 -7.929079206781836 1
24 0 1 0 0 1 0 -7.929079206781836 1
25 0 1 0 0 1 0 -7.929079206781836 1
26 0 1 0 0 1 0 -7.929079206781836 1
27 0 1 0 0 1 0 -7.929079206781836 1
28 0 1 0 0 1 0 -7.929079206781836 1
29 0 1 0 0 1 0 -7.929079206781836 1
30 0 1 0 0 1 0 -7.929079206781836 1
31 0 1 0 0 1 0 -7.929079206781836 1
32 0 1 0 0 1 0 -7.929079206781836 1
33 0 1 0 0 1 0 -7.929079206781836 1
34 0 1 0 0 1 0 -7.929079206781836 1
35 0 1 0 0 1 0 -7.929079206781836 1
36 0 1 0 0 1 0 -8.795880017344075 1
37 0 1 0 0 1 0 -8.795880017344075 1
38 0 1 0 0 1 0 -8.795880017344075 1
39 0 1 0 0 1 0 -8.795880017344075 1
40 0 1 0 0 1 0 -8.795880017344075 1
41 0 1 0 0 1 0 -8.795880017344075 1
42 0 1 0 0 1 0 -7.998569458294951 1
43 0 1 0 0 1 0 -7.998569458294951 1
44 0 1 0 0 1 0 -7.998569458294951 1
45 0 1 0 0 1 0 -9.109998386815363 1
46 0 1 0 0 1 0 -9.109998386815363 1
47 0 1 0 0 1 0 -9.248143760407599 1
48 1 0 0 0 0 1 0.6020599913279624 0
49 1 0 0 1 0 0 -3.0002115529300073 0
50 0 1 0 0 1 0 -8.730740078769264 1
