id met_invertebrate met_primary_producer mov_swimming mov_floating log_mass
0 0 1 0 1 -10.258848401148216
1 1 0 1 0 -4.841637507904751
2 0 1 0 1 -10.03905380426617
3 0 1 0 1 -10.323306390375134
4 1 0 1 0 -5.809668301829708
5 1 0 1 0 -4.396855627379818
6 1 0 1 0 -6.068033885271827
7 1 0 1 0 -7.698970004336019
8 1 0 1 0 -8.0
9 1 0 1 0 -4.863279432843593
10 1 0 1 0 -5.910094888560602
11 1 0 1 0 -2.7417564900754847
12 0 1 0 1 -10.323306390375134
13 0 1 0 1 -8.866461091629782
14 0 1 0 1 -8.866461091629782
15 0 1 0 1 -8.247951552180561
16 0 1 0 1 -10.61798295742513
17 0 1 0 1 -7.064996848546345
18 0 1 0 1 -9.79317412396815
19 0 1 0 1 -9.19586056766465
20 0 1 0 1 -8.954677021213342
21 0 1 1 0 -11.45717457304082
