id met_invertebrate met_detritus met_ectotherm_vertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 0 1 0 0 1 -10.590066876668706 0
1 1 0 0 0 1 0 0 -5.0 0
2 1 0 0 0 1 0 0 -4.841637507904751 0
3 1 0 0 0 1 0 0 -5.2373214362725635 0
4 1 0 0 0 1 0 0 -4.166215625343521 0
5 1 0 0 0 1 0 0 -5.809668301829708 0
6 1 0 0 0 1 0 0 -4.649751981665837 0
7 1 0 0 0 1 0 0 -3.9136401693252516 0
8 0 0 1 0 1 0 0 1.5314789170422551 0
9 1 0 0 0 1 0 0 -5.0 0
10 0 0 1 0 1 0 0 1.3222192947339193 0
11 1 0 0 0 1 0 0 -5.164309428507575 0
12 0 0 1 0 1 0 0 -1.795880017344075 0
13 0 0 1 0 1 0 0 1.9731278535996986 0
14 0 0 1 0 1 0 0 2.307496037913213 0
15 0 0 0 1 0 0 1 -8.826813731587725 0
16 1 0 0 0 1 0 0 -4.493494967595128 0
17 1 0 0 0 1 0 0 -5.73754891026957 0
18 1 0 0 0 1 0 0 -6.497572880015567 0
19 0 0 0 1 0 0 1 -10.08460016478773 0
20 0 0 0 1 0 0 1 -10.08460016478773 0
21 0 0 0 1 0 0 1 -10.08460016478773 0
22 0 0 0 1 0 0 1 -10.323306390375134 0
23 1 0 0 0 1 0 0 -4.396855627379818 0
24 1 0 0 0 1 0 0 -5.910094888560602 0
25 1 0 0 0 1 0 0 -7.698970004336019 0
26 1 0 0 0 1 0 0 -8.0 0
27 1 0 0 0 1 0 0 -5.723538195826756 0
28 1 0 0 0 1 0 0 -8.0 0
29 1 0 0 0 1 0 0 -5.962573502059376 0
30 1 0 0 0 1 0 0 -6.068033885271827 0
31 1 0 0 0 1 0 0 -6.293282217663242 0
32 1 0 0 0 1 0 0 -6.257274868695301 0
33 1 0 0 0 1 0 0 -2.7417564900754847 0
34 0 0 0 1 0 0 1 -10.323306390375134 0
35 0 0 0 1 0 0 1 -9.978810700930062 0
36 0 0 0 1 0 0 1 -9.146301788223825 0
37 0 0 0 1 0 0 1 -9.707743928643524 0
38 0 0 0 1 0 0 1 -8.493494967595128 0
39 1 0 0 0 1 0 0 -4.943095148663527 0
40 0 0 0 1 0 0 1 -8.247951552180561 0
41 0 0 0 1 0 0 1 -9.236572006437063 0
42 0 0 0 1 0 0 1 -10.61798295742513 0
43 0 0 0 1 0 0 1 -7.064996848546345 0
44 0 0 0 1 0 0 1 -9.308918507877031 0
45 0 0 0 1 0 0 1 -9.023191662661933 0
46 0 0 0 1 0 0 1 -9.79317412396815 0
47 0 0 0 1 0 0 1 -8.954677021213342 0
48 0 0 0 1 0 0 1 -9.059483515067432 0
49 0 0 0 1 0 0 1 -8.97061622231479 0
50 0 0 0 1 0 0 1 -9.153662887870194 0
51 0 1 0 0 0 1 0 -10.61798295742513 1
52 0 0 1 0 0 0 1 -1.6968039425795112 0
