id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_floating mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
1 1 0 0 0 1 0 0 0 0 -3.75282981635047 0
2 1 0 0 0 0 0 0 0 1 -3.896428876948012 0
3 1 0 0 0 1 0 0 0 0 -4.145693958198919 0
4 1 0 0 0 1 0 0 0 0 -2.9792837189983605 0
5 1 0 0 0 1 0 0 0 0 -3.8947862584980637 0
6 1 0 0 0 1 0 0 0 0 -4.199970640755866 0
7 1 0 0 0 0 0 0 0 1 -4.4089353929735005 0
8 1 0 0 0 1 0 0 0 0 -4.117475462045119 0
9 1 0 0 0 1 0 0 0 0 -4.684029654543083 0
10 1 0 0 0 1 0 0 0 0 -4.1438755557577 0
11 1 0 0 0 1 0 0 0 0 -3.298634099545459 0
12 1 0 0 0 1 0 0 0 0 -4.303643611266668 0
13 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
14 1 0 0 0 1 0 0 0 0 -4.806875401645538 0
15 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
16 0 0 1 0 0 0 0 1 0 -9.31049320750499 1
17 0 0 0 1 0 0 0 0 1 2.504171714775967 0
18 1 0 0 0 1 0 0 0 0 -2.7604720444629396 0
19 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
20 1 0 0 0 0 0 0 0 1 -4.355561410532162 0
21 0 0 1 0 0 0 0 1 0 -7.946487081850424 1
22 1 0 0 0 1 0 0 0 0 -3.8526267057191954 0
23 0 0 1 0 0 0 0 1 0 -9.55709284581144 1
24 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
25 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
26 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
27 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
28 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
29 1 0 0 0 1 0 0 0 0 -2.7604720444629396 0
30 0 0 1 0 0 0 0 1 0 -7.929079206781836 1
31 0 0 1 0 0 0 0 1 0 -8.355561410532161 1
32 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
33 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
34 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
35 0 0 1 0 0 0 0 1 0 -8.795880017344075 1
36 0 0 1 0 0 0 0 1 0 -8.763210900590707 1
37 0 0 1 0 0 0 0 1 0 -8.795880017344075 1
38 0 0 1 0 0 0 0 1 0 -7.998569458294951 1
39 0 0 1 0 0 0 0 1 0 -8.54515513999149 1
40 0 0 1 0 0 0 0 1 0 -9.055681864499613 1
41 0 0 1 0 0 0 0 1 0 -9.109998386815363 1
42 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
43 0 0 1 0 0 0 0 1 0 -9.373146585333274 1
44 0 0 1 0 0 0 0 1 0 -8.850879881927025 1
45 0 0 1 0 0 0 0 1 0 -8.850879881927025 1
46 0 0 1 0 0 0 0 1 0 -8.814960988871428 1
47 0 0 1 0 0 0 0 1 0 -8.850879881927025 1
48 0 0 1 0 0 0 0 1 0 -7.28825180528887 1
49 1 0 0 0 1 0 0 0 0 -4.1438755557577 0
50 1 0 0 0 1 0 0 0 0 -3.7509460236449934 0
51 0 0 1 0 0 0 1 0 0 -5.0915149811213505 1
52 0 0 1 0 0 0 0 1 0 -8.416726717144723 1
53 0 0 1 0 0 0 0 1 0 -8.648010544564368 1
54 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
55 0 0 1 0 0 0 0 1 0 -7.889410289700751 1
56 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
57 0 0 1 0 0 0 0 1 0 -8.75448733218585 1
58 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
59 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
60 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
61 0 0 1 0 0 0 0 1 0 -9.045275209020938 1
62 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
63 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
64 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
65 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
66 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
67 1 0 0 0 0 0 0 0 1 -4.721246399047171 0
