id met_invertebrate met_primary_producer mov_swimming mov_other mov_walking mov_sessile log_mass
0 1 0 0 0 1 0 -2.0
1 1 0 0 0 1 0 -2.0
2 1 0 0 0 1 0 -2.3010299956639813
3 1 0 1 0 0 0 -2.1739251972991736
4 1 0 1 0 0 0 -2.0
5 1 0 1 0 0 0 -2.468521082957745
6 1 0 0 0 0 1 -3.0
7 0 1 0 0 0 1 -3.642065152999546
8 1 0 1 0 0 0 -2.8538719643217623
9 1 0 0 0 1 0 -0.43285595480434286
10 1 0 1 0 0 0 -3.0
11 1 0 1 0 0 0 -3.6989700043360187
12 1 0 0 0 1 0 -2.0
13 1 0 0 0 1 0 -2.5528419686577806
14 1 0 0 0 1 0 -3.3979400086720375
15 1 0 1 0 0 0 -3.0
16 1 0 0 1 1 0 -2.0
17 1 0 0 0 1 0 -2.638272163982407
18 1 0 0 1 0 1 -2.2291479883578558
19 0 1 0 0 0 1 -3.642065152999546
20 1 0 0 0 1 0 -3.0969100130080562
21 0 1 0 1 0 0 -4.0
22 1 0 0 0 1 0 -2.3467874862246565
23 1 0 0 0 0 1 -3.6989700043360187
24 1 0 0 0 0 1 -2.154901959985743
25 1 0 1 0 0 0 -3.0
26 0 1 0 0 0 1 -3.642065152999546
