id met_endotherm_vertebrate met_primary_producer met_invertebrate mov_walking mov_sessile mov_flying mov_other log_mass mass_missing
0 1 0 0 0 0 1 0 2.7084633926235586 0
1 1 0 0 0 0 1 0 3.298307137328508 0
2 1 0 0 1 0 0 0 3.5185139398778875 0
3 1 0 0 1 0 0 0 3.4771212547196626 0
4 1 0 0 1 0 0 0 2.093421685162235 0
5 0 0 1 0 0 0 1 -2.6989700043360187 0
6 1 0 0 0 0 1 0 2.4734869700645685 0
7 1 0 0 0 0 1 0 1.5314789170422551 0
8 1 0 0 0 0 1 0 1.8720979742742268 0
9 1 0 0 0 0 1 0 3.1055101847699738 0
10 0 1 0 0 1 0 0 -2.6989700043360187 1
11 1 0 0 1 0 0 0 5.278903673365242 0
12 1 0 0 1 0 0 0 1.6434526764861874 0
13 0 1 0 0 1 0 0 -2.6989700043360187 1
14 0 1 0 0 1 0 0 -2.6989700043360187 1
15 0 1 0 0 1 0 0 -2.6989700043360187 1
16 0 1 0 0 1 0 0 -2.6989700043360187 1
