,0,1,2
0,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Acari phyto_NA,0
1,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Acari pred_NA,1
2,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Brachygluta sp_NA,2
3,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Bryaxis sp_NA,3
4,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Edaphus blŸhweissi_NA,4
5,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Heteroptera_NA,5
6,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Propylaea quatuordecimpunctata_NA,6
7,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Staphylinidae_larvae,7
8,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Acrididae_larvae,8
9,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Argiope bruennichi_juveniles,9
10,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Conocephalus dorsalis_NA,10
11,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Emberiza schoeniclus_NA,11
12,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Falco subbuteo_NA,12
13,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pisaura mirabilis_NA,13
14,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Vulpes vulpes_NA,14
15,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Agonum viduum_NA,15
16,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Paederus riparius_NA,16
17,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Anacaena limbata_NA,17
18,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Araneae_NA,18
19,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Arctosa sp_juveniles,19
20,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Gabrius fermoralis_NA,20
21,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Hypostenus sp_NA,21
22,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Lathrobium fovalum_NA,22
23,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Lesteva sicula_NA,23
24,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Lycosidae_NA,24
25,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pachygnatha sp_juveniles,25
26,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pardosa prativaga_NA,26
27,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pardosa sp_NA,27
28,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pirata latitans_NA,28
29,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pirata tenuitarsis_NA,29
30,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Stilicus rufipes_NA,30
31,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetartopeus terminatum_NA,31
32,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetramorium sp_NA,32
33,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Theridiidae_juveniles,33
34,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Thomisidae_juveniles,34
35,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trochosa sp_juveniles,35
36,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Xysticus sp_juveniles,36
37,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Zelotes sp_juveniles,37
38,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Anisoptera_NA,38
39,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Anotylus sp_NA,39
