id met_invertebrate met_primary_producer met_heterotrophic_bacteria met_dead_organic_material met_heterotrophic_fungi mov_walking mov_sessile mov_other mov_other_nonliving log_mass mass_missing
0 1 0 0 0 0 1 0 0 0 -4.301029995663981 0
1 1 0 0 0 0 1 0 0 0 -2.3712032290698373 0
2 1 0 0 0 0 1 0 0 0 -2.9128058443214258 0
3 1 0 0 0 0 1 0 0 0 -3.6390054185493357 0
4 1 0 0 0 0 1 0 0 0 -2.657270065841519 0
5 1 0 0 0 0 1 0 0 0 -2.3315745699014996 0
6 1 0 0 0 0 1 0 0 0 -2.4444896022018225 0
7 1 0 0 0 0 1 0 0 0 -3.8040146036420306 0
8 1 0 0 0 0 1 0 0 0 -3.364295140995871 0
9 1 0 0 0 0 1 0 0 0 -2.3289521854189483 0
10 1 0 0 0 0 1 0 0 0 -2.1759224164714857 0
11 1 0 0 0 0 1 0 0 0 -2.001373236475496 0
12 1 0 0 0 0 1 0 0 0 -2.1530501114173894 0
13 1 0 0 0 0 1 0 0 0 -2.224247674090414 0
14 1 0 0 0 0 1 0 0 0 -2.155065471614301 0
15 1 0 0 0 0 1 0 0 0 -1.717541508991926 0
16 1 0 0 0 0 1 0 0 0 -1.9183594083992683 0
17 1 0 0 0 0 1 0 0 0 -1.5127857215733602 0
18 1 0 0 0 0 1 0 0 0 -3.1287201953869928 0
19 1 0 0 0 0 1 0 0 0 -2.8244139744279573 0
20 1 0 0 0 0 1 0 0 0 -2.639712820871053 0
21 1 0 0 0 0 1 0 0 0 -2.825130245582966 0
22 1 0 0 0 0 1 0 0 0 -2.3978925645914755 0
23 1 0 0 0 0 1 0 0 0 -2.729734231071674 0
24 1 0 0 0 0 1 0 0 0 -2.8098955953783515 0
25 1 0 0 0 0 1 0 0 0 -2.794924264748693 0
26 1 0 0 0 0 1 0 0 0 -2.075893638925886 0
27 1 0 0 0 0 1 0 0 0 -2.9369873190377906 0
28 1 0 0 0 0 1 0 0 0 -2.4149849611605334 0
