id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.494850021680094 0
1 0 0 1 0 1 0 0 -4.649751981665837 0
2 1 0 0 0 1 0 0 0.8450980400142568 0
3 0 0 1 0 1 0 0 -5.164309428507575 0
4 1 0 0 0 1 0 0 -1.7958800173440752 0
5 0 0 0 1 0 0 1 -11.106793246940152 0
6 0 0 1 0 1 0 0 -4.84163750790475 0
7 0 0 1 0 1 0 0 -4.166215625343521 0
8 0 0 0 1 0 0 1 -9.621602099051863 0
9 0 0 0 1 0 0 1 -9.621602099051863 0
10 0 0 1 0 1 0 0 -6.497572880015567 0
11 0 0 1 0 1 0 0 -5.133712660915805 0
12 0 0 1 0 1 0 0 -3.9136401693252516 0
13 0 0 1 0 1 0 0 -5.809668301829708 0
14 0 0 1 0 1 0 0 -5.23284413391782 0
15 0 0 0 1 0 0 1 -9.0 0
16 0 0 1 0 1 0 0 -5.661543506395395 0
17 0 0 1 0 1 0 0 -5.661543506395395 0
18 0 0 1 0 1 0 0 -6.497572880015567 0
19 0 0 0 1 0 0 1 -9.45717457304082 0
20 0 0 0 1 0 0 1 -10.323306390375134 0
21 0 0 1 0 1 0 0 -4.396855627379818 0
22 0 0 1 0 1 0 0 -6.068033885271827 0
23 0 0 1 0 1 0 0 -7.698970004336019 0
24 0 0 1 0 1 0 0 -5.723538195826756 0
25 0 0 1 0 1 0 0 -8.0 0
26 0 0 1 0 1 0 0 -6.497572880015567 0
27 0 0 1 0 1 0 0 -5.661543506395395 0
28 0 0 1 0 1 0 0 -6.308034897232639 0
29 0 0 1 0 1 0 0 -6.068033885271827 0
30 0 0 1 0 1 0 0 -6.701146923590294 0
31 0 0 1 0 1 0 0 -6.293282217663242 0
32 0 0 1 0 1 0 0 -5.910094888560602 0
33 0 0 1 0 1 0 0 -6.127261172527331 0
34 0 0 1 0 1 0 0 -2.7417564900754847 0
35 0 0 0 1 0 0 1 -8.866461091629782 0
36 0 0 0 1 0 0 1 -8.866461091629782 0
37 1 0 0 0 1 0 0 1.7160033436347992 0
38 1 0 0 0 1 0 0 2.2600713879850747 0
39 0 0 0 1 0 0 1 -9.978810700930062 0
40 0 0 0 1 0 0 1 -8.247951552180561 0
41 0 0 0 1 0 0 1 -10.61798295742513 0
42 0 0 0 1 0 0 1 -7.064996848546345 0
43 0 0 1 0 1 0 0 -4.309803919971486 0
44 0 0 0 1 0 0 1 -9.308918507877031 0
45 0 0 0 1 1 0 0 -7.251811972993799 0
46 0 0 0 1 1 0 0 -7.251811972993799 0
47 0 0 0 1 1 0 0 -7.251811972993799 0
48 0 0 0 1 0 0 1 -9.79317412396815 0
49 0 0 0 1 0 0 1 -9.79317412396815 0
50 0 0 0 1 0 0 1 -9.79317412396815 0
51 0 0 0 1 0 0 1 -9.19586056766465 0
52 0 0 0 1 1 0 0 -9.79317412396815 0
53 0 0 0 1 1 0 0 -10.319664486585436 0
54 0 1 0 0 0 1 0 -11.106793246940152 1
55 1 0 0 0 0 0 1 -1.6968039425795112 0
