id met_invertebrate met_detritus met_ectotherm_vertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 1 0 0 0 1 0 0 -4.396855627379818 0
1 0 0 1 0 1 0 0 0.3802112417116061 0
2 1 0 0 0 1 0 0 -4.649751981665837 0
3 1 0 0 0 1 0 0 -5.0 0
4 0 0 1 0 1 0 0 0.9542425094393249 0
5 1 0 0 0 1 0 0 -5.164309428507575 0
6 0 0 1 0 1 0 0 -1.795880017344075 0
7 0 0 0 1 0 0 1 -10.590066876668706 0
8 1 0 0 0 1 0 0 -5.0 0
9 1 0 0 0 1 0 0 -4.236572006437063 0
10 1 0 0 0 1 0 0 -4.841637507904751 0
11 1 0 0 0 1 0 0 -4.166215625343521 0
12 0 0 0 1 0 0 1 -10.590066876668706 0
13 1 0 0 0 1 0 0 -4.647817481888637 0
14 1 0 0 0 1 0 0 -5.809668301829708 0
15 0 0 0 1 1 0 0 -8.590066876668706 0
16 0 0 0 1 0 0 1 -10.8153085691824 0
17 1 0 0 0 1 0 0 -5.661543506395395 0
18 1 0 0 0 1 0 0 -5.661543506395395 0
19 0 0 0 1 0 0 1 -10.03905380426617 0
20 1 0 0 0 1 0 0 -6.497572880015567 0
21 0 0 0 1 0 0 1 -10.323306390375134 0
22 1 0 0 0 1 0 0 -4.396855627379818 0
23 1 0 0 0 1 0 0 -5.661543506395395 0
24 1 0 0 0 1 0 0 -8.0 0
25 1 0 0 0 1 0 0 -5.863279432843593 0
26 1 0 0 0 1 0 0 -6.068033885271827 0
27 1 0 0 0 1 0 0 -2.7417564900754847 0
28 0 0 0 1 0 0 1 -10.323306390375134 0
29 0 0 0 1 0 0 1 -9.978810700930062 0
30 0 0 0 1 0 0 1 -8.493494967595128 0
31 1 0 0 0 1 0 0 -4.943095148663527 0
32 0 0 0 1 0 0 1 -8.131355561605174 0
33 0 0 0 1 0 0 1 -9.250263684430939 0
34 0 0 0 1 0 0 1 -9.236572006437063 0
35 0 0 0 1 0 0 1 -10.61798295742513 0
36 0 0 0 1 0 0 1 -10.61798295742513 0
37 0 0 0 1 0 0 1 -6.531652669587842 0
38 0 0 0 1 0 0 1 -9.045275209020938 0
39 0 0 0 1 0 0 1 -9.899629454882437 0
40 0 0 0 1 0 0 1 -7.064996848546345 0
41 0 0 0 1 1 0 0 -7.251811972993799 0
42 0 0 0 1 0 0 1 -9.79317412396815 0
43 0 0 0 1 0 0 1 -9.19586056766465 0
44 0 0 0 1 0 0 1 -8.954677021213342 0
45 0 0 0 1 0 0 1 -8.97061622231479 0
46 0 0 0 1 0 0 1 -9.153662887870194 0
47 0 1 0 0 0 1 0 -10.8153085691824 1
48 0 0 1 0 1 0 0 1.7781512503836436 0
49 0 0 1 0 0 0 1 -1.6968039425795112 0
