id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other_nonliving mov_sessile mov_floating mov_walking log_mass mass_missing
0 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
1 1 0 0 0 0 0 0 0 1 -4.011441043121384 0
2 1 0 0 0 1 0 0 0 0 -3.4439303917636717 0
3 1 0 0 0 0 0 0 0 1 -4.6307841425898575 0
4 1 0 0 0 1 0 0 0 0 -3.8048755770133202 0
5 1 0 0 0 0 0 0 0 1 -3.398005157730625 0
6 1 0 0 0 0 0 0 0 1 -3.703337003150482 0
7 1 0 0 0 0 0 0 0 1 -4.496209316942819 0
8 1 0 0 0 0 0 0 0 1 -3.409073498303604 0
9 1 0 0 0 1 0 0 0 0 -3.488037805024511 0
10 1 0 0 0 0 0 0 0 1 -3.771512380487299 0
11 1 0 0 0 0 0 0 0 1 -3.387321022171539 0
12 1 0 0 0 0 0 0 0 1 -2.903040653940864 0
13 1 0 0 0 0 0 0 0 1 -4.186419011431808 0
14 1 0 0 0 0 0 0 0 1 -2.7570428617079363 0
15 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
16 1 0 0 0 1 0 0 0 0 -3.9056057444414667 0
17 1 0 0 0 1 0 0 0 0 -3.2613835217001608 0
18 1 0 0 0 1 0 0 0 0 -3.211596155146058 0
19 1 0 0 0 0 0 0 0 1 -3.8655296354186004 0
20 1 0 0 0 1 0 0 0 0 -3.53832443001026 0
21 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
22 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
23 1 0 0 0 1 0 0 0 0 -4.195179321278838 0
24 0 0 0 1 1 0 0 0 0 2.3010299956639813 0
25 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
26 1 0 0 0 1 0 0 0 0 -3.6046229276343125 0
27 1 0 0 0 1 0 0 0 0 -2.7995722422076637 0
28 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
29 1 0 0 0 0 0 0 0 1 -3.582833998236791 0
30 0 0 1 0 0 0 0 1 0 -7.863279432843593 1
31 1 0 0 0 0 0 0 0 1 -3.5637896309129453 0
32 0 0 1 0 0 0 0 1 0 -7.96105281653477 1
33 1 0 0 0 1 0 0 0 0 -3.65477138529304 0
34 1 0 0 0 0 0 0 0 1 -4.913640169325252 0
35 1 0 0 0 0 0 0 0 1 -3.387321022171539 0
36 1 0 0 0 0 0 0 0 1 -4.357535479757878 0
37 1 0 0 0 1 0 0 0 0 -3.297350648056124 0
38 1 0 0 0 0 0 0 0 1 -3.9773283600711675 0
39 0 0 1 0 0 0 0 1 0 -9.978810700930062 1
40 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
41 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
42 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
43 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
44 0 0 1 0 0 0 0 1 0 -7.929079206781836 1
45 1 0 0 0 0 0 0 0 1 -3.7783614997973483 0
46 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
47 1 0 0 0 1 0 0 0 0 -3.542846573272315 0
48 1 0 0 0 1 0 0 0 0 -3.0866233101862632 0
49 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
50 0 0 1 0 0 0 0 1 0 -8.03413362010073 1
51 0 0 1 0 0 0 0 1 0 -9.055681864499613 1
52 0 0 1 0 0 0 0 1 0 -9.109998386815363 1
53 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
54 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
55 0 0 1 0 0 0 0 1 0 -8.814960988871428 1
56 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
57 1 0 0 0 0 0 0 0 1 -3.5749894003227594 0
58 0 0 1 0 0 0 1 0 0 -4.913640169325252 1
59 0 0 1 0 0 0 0 1 0 -8.416726717144723 1
60 0 0 1 0 0 0 0 1 0 -8.648010544564368 1
61 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
62 0 0 1 0 0 0 1 0 0 -4.913640169325252 1
63 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
64 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
65 0 0 1 0 0 0 0 1 0 -7.889410289700751 1
66 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
67 0 0 1 0 0 0 0 1 0 -9.045275209020938 1
68 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
69 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
70 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
71 1 0 0 0 0 0 0 0 1 -4.011441043121384 0
72 1 0 0 0 0 0 0 0 1 -3.4640757872550636 0
73 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
74 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
75 1 0 0 0 0 0 0 0 1 -3.5749894003227594 0
76 0 0 1 0 0 0 0 1 0 -8.363404653772209 1
77 0 0 1 0 0 0 0 1 0 -8.292855811657555 1
78 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
79 0 0 1 0 0 0 0 1 0 -9.834162375309871 1
80 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
81 1 0 0 0 1 0 0 0 0 -3.542846573272315 0
82 0 0 1 0 0 0 0 1 0 -7.949523572734937 1
83 0 0 1 0 0 0 0 1 0 -8.537482213248566 1
84 0 0 1 0 0 0 0 1 0 -8.528209723454808 1
85 1 0 0 0 0 0 0 1 0 -3.4462322024597203 1
86 0 1 0 0 0 1 0 0 0 -4.913640169325252 1
87 0 0 1 0 0 0 1 0 0 -4.913640169325252 1
