id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.354577730650908 0
1 1 0 0 0 1 0 0 0.47712125471966244 0
2 0 0 1 0 1 0 0 -5.0 0
3 1 0 0 0 1 0 0 0.3010299956639812 0
4 0 0 1 0 1 0 0 -5.0 0
5 1 0 0 0 1 0 0 -1.7958800173440752 0
6 0 0 0 1 0 0 1 -9.290730039024169 0
7 0 0 1 0 1 0 0 -5.809668301829708 0
8 0 0 1 0 1 0 0 -5.23284413391782 0
9 0 0 1 0 1 0 0 -5.661543506395395 0
10 0 0 1 0 1 0 0 -5.73754891026957 0
11 0 0 0 1 0 0 1 -10.323306390375134 0
12 0 0 1 0 1 0 0 -4.396855627379818 0
13 0 0 1 0 1 0 0 -6.068033885271827 0
14 0 0 1 0 1 0 0 -7.698970004336019 0
15 0 0 1 0 1 0 0 -5.723538195826756 0
16 0 0 1 0 1 0 0 -8.0 0
17 0 0 1 0 1 0 0 -8.0 0
18 0 0 1 0 1 0 0 -6.068033885271827 0
19 0 0 1 0 1 0 0 -4.863279432843593 0
20 0 0 1 0 1 0 0 -5.910094888560602 0
21 0 0 1 0 1 0 0 -6.127261172527331 0
22 0 0 1 0 1 0 0 -6.127261172527331 0
23 0 0 0 1 0 0 1 -9.899629454882437 0
24 0 0 0 1 1 0 0 -7.251811972993799 0
25 0 0 0 1 1 0 0 -7.251811972993799 0
26 0 1 0 0 0 1 0 -10.323306390375134 1
27 1 0 0 0 1 0 0 1.1139433523068367 0
28 1 0 0 0 1 0 0 0.5440680443502757 0
29 1 0 0 0 0 0 1 -1.6968039425795112 0
