id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -4.396855627379818 0
1 0 0 1 0 1 0 0 -5.0 0
2 0 0 1 0 1 0 0 -5.164309428507575 0
3 1 0 0 0 1 0 0 -1.7958800173440752 0
4 0 0 0 1 0 0 1 -10.258848401148216 0
5 0 0 1 0 1 0 0 -5.0 0
6 0 0 1 0 1 0 0 -4.84163750790475 0
7 0 0 1 0 1 0 0 -4.166215625343521 0
8 0 0 0 1 0 0 1 -11.106793246940152 0
9 0 0 0 1 0 0 1 -9.621602099051863 0
10 0 0 1 0 1 0 0 -5.133712660915805 0
11 0 0 0 1 0 0 1 -9.290730039024169 0
12 0 0 1 0 1 0 0 -5.809668301829708 0
13 0 0 0 1 0 0 1 -10.438898616350944 0
14 1 0 0 0 1 0 0 2.569373909615046 0
15 1 0 0 0 1 0 0 2.5224442335063197 0
16 0 0 0 1 0 0 1 -10.8153085691824 0
17 0 0 0 1 0 0 1 -9.0 0
18 0 0 0 1 0 0 1 -9.116338564846382 0
19 0 0 0 1 0 0 1 -8.373659632624957 0
20 0 0 1 0 1 0 0 -4.493494967595128 0
21 0 0 1 0 1 0 0 -6.497572880015567 0
22 0 0 0 1 0 0 1 -10.08460016478773 0
23 0 0 0 1 0 0 1 -10.323306390375134 0
24 0 0 1 0 1 0 0 -4.396855627379818 0
25 0 0 1 0 1 0 0 -6.068033885271827 0
26 0 0 1 0 1 0 0 -7.698970004336019 0
27 0 0 1 0 1 0 0 -8.0 0
28 0 0 1 0 1 0 0 -6.701146923590294 0
29 0 0 1 0 1 0 0 -6.293282217663242 0
30 0 0 1 0 1 0 0 -6.6020599913279625 0
31 0 0 1 0 1 0 0 -6.127261172527331 0
32 0 0 1 0 1 0 0 -2.7417564900754847 0
33 0 0 0 1 0 0 1 -9.146301788223825 0
34 0 0 0 1 0 0 1 -8.866461091629782 0
35 0 0 0 1 0 0 1 -9.707743928643524 0
36 0 0 0 1 0 0 1 -8.54515513999149 0
37 0 0 0 1 0 0 1 -8.027334407733889 0
38 0 0 0 1 0 0 1 -8.131355561605174 0
39 0 0 0 1 0 0 1 -8.247951552180561 0
40 0 0 0 1 0 0 1 -9.236572006437063 0
41 0 0 0 1 0 0 1 -10.61798295742513 0
42 0 0 0 1 0 0 1 -10.1791420105603 0
43 0 0 0 1 0 0 1 -7.064996848546345 0
44 0 0 0 1 0 0 1 -9.308918507877031 0
45 0 0 0 1 0 0 1 -9.023191662661933 0
46 0 0 0 1 0 0 1 -9.79317412396815 0
47 0 0 0 1 0 0 1 -8.954677021213342 0
48 0 0 0 1 0 0 1 -9.059483515067432 0
49 0 0 0 1 0 0 1 -8.97061622231479 0
50 0 1 0 0 0 1 0 -11.45717457304082 1
51 1 0 0 0 0 0 1 -1.6968039425795112 0
52 0 0 0 1 1 0 0 -11.45717457304082 0
