id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_other mov_sessile log_mass
0 0 1 0 0 1 0 0 -0.7695510786217261
1 0 1 0 0 0 0 1 -0.22914798835785583
2 1 0 0 1 0 0 0 -0.7958800173440752
3 1 0 0 1 0 0 0 -0.6989700043360187
4 0 1 0 1 0 0 0 -2.9208187539523753
5 0 1 0 0 0 0 1 -0.638272163982407
6 0 0 1 0 0 0 1 -3.642065152999546
7 0 1 0 0 1 0 0 -2.8860566476931635
8 0 1 0 1 0 0 0 -2.0915149811213505
9 0 1 0 0 1 0 0 -2.769551078621726
10 0 1 0 1 0 0 0 -2.958607314841775
11 0 1 0 0 1 0 0 -0.4213607900319277
12 0 1 0 1 0 0 0 -3.301029995663981
13 0 1 0 0 1 0 0 -2.0
14 0 1 0 0 1 0 0 -3.3979400086720375
15 0 1 0 0 1 0 0 -2.795880017344075
16 0 1 0 0 1 0 0 -3.3010299956639813
17 0 1 0 0 1 0 0 0.9694159123539814
18 0 1 0 0 1 0 0 -0.5590909179347825
19 0 1 0 0 1 0 0 0.29003461136251796
20 0 1 0 0 1 0 0 -2.853871964321762
21 0 1 0 1 0 0 0 -3.3010299956639813
22 0 1 0 0 1 0 0 -2.283996656365201
23 0 1 0 1 0 0 0 0.3654879848908996
24 0 0 1 0 0 0 1 -3.642065152999546
25 0 0 1 0 0 0 1 -3.642065152999546
26 0 0 1 0 0 0 1 -3.642065152999546
27 0 1 0 1 0 0 0 -3.0
28 0 0 1 0 0 0 1 -3.642065152999546
29 0 1 0 0 0 0 1 1.3550682063488506
30 0 1 0 0 1 0 0 -2.408935392973501
31 0 0 1 0 0 0 1 -3.642065152999546
32 0 0 1 0 0 0 1 -3.642065152999546
33 0 1 0 1 0 0 0 -3.3010299956639813
34 0 1 0 0 0 0 1 -0.5272435506827877
35 0 1 0 0 1 0 0 -2.0
36 0 1 0 0 1 0 0 -2.744727494896694
37 0 0 1 0 0 1 0 -4.0
38 0 1 0 1 0 0 0 -3.0
39 0 1 0 0 1 0 0 -3.154901959985743
40 0 0 1 0 0 0 1 -3.642065152999546
41 0 0 1 0 0 0 1 -3.642065152999546
