id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_walking mov_other_nonliving mov_sessile mov_floating mov_swimming log_mass mass_missing
0 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
1 1 0 0 0 1 0 0 0 0 -3.6274101568892405 0
2 1 0 0 0 1 0 0 0 0 -3.006857954823516 0
3 1 0 0 0 0 0 0 0 1 -3.5030164142419724 0
4 1 0 0 0 1 0 0 0 0 -3.8721407035701922 0
5 1 0 0 0 0 0 0 0 1 -4.1073489661227 0
6 1 0 0 0 0 0 0 0 1 -3.779648670531352 0
7 1 0 0 0 0 0 0 0 1 -4.063486257521107 0
8 1 0 0 0 1 0 0 0 0 -3.5896665639743692 0
9 1 0 0 0 1 0 0 0 0 -3.042730895186928 0
10 1 0 0 0 0 0 0 0 1 -3.448154925006442 0
11 1 0 0 0 1 0 0 0 0 -4.221125527997261 0
12 1 0 0 0 1 0 0 0 0 -3.4765058613551765 0
13 1 0 0 0 0 0 0 0 1 -3.1915661959481945 0
14 1 0 0 0 1 0 0 0 0 -4.351639989019068 0
15 1 0 0 0 1 0 0 0 0 -0.5470266527586981 0
16 1 0 0 0 0 0 0 0 1 -3.6920378271240635 0
17 1 0 0 0 1 0 0 0 0 -4.221125527997261 0
18 1 0 0 0 0 0 0 0 1 -3.5623667442314995 0
19 1 0 0 0 1 0 0 0 0 -3.769584290646112 0
20 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
21 1 0 0 0 1 0 0 0 0 -3.1370908089723564 0
22 1 0 0 0 0 0 0 0 1 -3.9890431610442807 0
23 1 0 0 0 1 0 0 0 0 -3.631679637584462 0
24 1 0 0 0 1 0 0 0 0 -4.074172425375258 0
25 1 0 0 0 1 0 0 0 0 -3.1194259071503403 0
26 1 0 0 0 1 0 0 0 0 -3.2259431191049135 0
27 1 0 0 0 0 0 0 0 1 -3.3570095007551473 0
28 0 0 1 0 0 0 0 1 0 -9.1546981553018 1
29 0 0 1 0 0 0 0 1 0 -8.705263539272302 1
30 0 0 0 1 0 0 0 0 1 2.1760912590556813 0
31 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
32 1 0 0 0 0 0 0 0 1 -3.5422195009219 0
33 1 0 0 0 0 0 0 0 1 -3.7629390795632216 0
34 1 0 0 0 1 0 0 0 0 -4.036212172654444 0
35 1 0 0 0 1 0 0 0 0 -4.777283528852417 0
36 1 0 0 0 0 0 0 0 1 -3.779648670531352 0
37 1 0 0 0 0 0 0 0 1 -3.6479699942826933 0
38 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
39 1 0 0 0 1 0 0 0 0 -4.279014255846261 0
40 1 0 0 0 1 0 0 0 0 -3.433138438080758 0
41 0 0 1 0 0 0 0 1 0 -10.03905380426617 1
42 0 0 1 0 0 0 0 1 0 -7.96105281653477 1
43 1 0 0 0 0 0 0 0 1 -3.4841791222597145 0
44 1 0 0 0 1 0 0 0 0 -2.9060406829763736 0
45 1 0 0 0 0 0 0 0 1 -3.5250876740177293 0
46 0 0 1 0 0 0 0 1 0 -9.978810700930062 1
47 1 0 0 0 0 0 0 0 1 -4.069050968832477 0
48 1 0 0 0 0 0 0 0 1 -3.6762015071639094 0
49 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
50 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
51 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
52 0 0 1 0 0 0 0 1 0 -8.701804561429558 1
53 1 0 0 0 1 0 0 0 0 -3.006857954823516 0
54 0 0 1 0 0 0 0 1 0 -7.929079206781836 1
55 0 0 1 0 0 0 0 1 0 -8.355561410532161 1
56 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
57 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
58 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
59 0 0 1 0 0 0 0 1 0 -8.836510641807301 1
60 0 0 1 0 0 0 0 1 0 -8.03413362010073 1
61 0 0 1 0 0 0 0 1 0 -9.055681864499613 1
62 0 0 1 0 0 0 0 1 0 -9.109998386815363 1
63 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
64 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
65 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
66 1 0 0 0 1 0 0 0 0 -4.982966660701219 0
67 0 0 1 0 0 0 0 1 0 -8.814960988871428 1
68 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
69 0 0 1 0 0 0 0 1 0 -8.821503510975212 1
70 1 0 0 0 1 0 0 0 0 -4.494850021680094 0
71 1 0 0 0 1 0 0 0 0 -4.494850021680094 0
72 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
73 1 0 0 0 1 0 0 0 0 -3.4765058613551765 0
74 1 0 0 0 1 0 0 0 0 -4.982966660701219 0
75 1 0 0 0 1 0 0 0 0 -3.803182936562881 0
76 0 0 1 0 0 0 0 1 0 -8.416726717144723 1
77 0 0 1 0 0 0 0 1 0 -8.648010544564368 1
78 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
79 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
80 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
81 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
82 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
83 0 0 1 0 0 0 0 1 0 -7.889410289700751 1
84 0 0 1 0 0 0 0 1 0 -8.045223166137303 1
85 0 0 1 0 0 0 0 1 0 -9.045275209020938 1
86 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
87 0 0 1 0 0 0 0 1 0 -8.413978149818515 1
88 1 0 0 0 0 0 0 0 1 -3.8180449955271696 0
89 0 0 1 0 0 0 0 1 0 -0.7528574516599705 1
90 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
91 0 0 1 0 0 0 0 1 0 -7.824053529904454 1
92 1 0 0 0 1 0 0 0 0 -3.433138438080758 0
93 0 0 1 0 0 0 0 1 0 -8.363404653772209 1
94 0 0 1 0 0 0 0 1 0 -8.292855811657555 1
95 0 0 1 0 0 0 0 1 0 -9.834162375309871 1
96 0 0 1 0 0 0 0 1 0 -7.949523572734937 1
97 0 0 1 0 0 0 0 1 0 -7.949523572734937 1
98 0 0 1 0 0 0 0 1 0 -7.529272063769566 1
99 0 0 1 0 0 0 0 1 0 -8.537482213248566 1
100 1 0 0 0 0 0 0 0 1 -4.206209615309182 0
101 0 0 1 0 0 0 0 1 0 -8.528209723454808 1
102 1 0 0 0 0 0 0 1 0 -2.2471140638032874 1
103 0 1 0 0 0 1 0 0 0 -4.982966660701219 1
104 1 0 0 0 0 0 0 0 1 -3.2122810094760315 0
105 1 0 0 0 0 0 0 0 1 -3.5656978218936413 0
106 1 0 0 0 0 0 0 0 1 -4.014124642691606 0
107 1 0 0 0 1 0 0 0 0 -2.8753660278794015 0
108 0 0 1 0 0 0 1 0 0 -4.982966660701219 1
109 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
