id met_ectotherm_vertebrate met_detritus met_invertebrate met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 0 0 1 0 1 0 0 -5.809668301829708 0
1 0 0 1 0 1 0 0 -3.9136401693252516 0
2 0 0 1 0 1 0 0 -5.0 0
3 1 0 0 0 1 0 0 0.6989700043360189 0
4 0 0 1 0 1 0 0 -5.164309428507575 0
5 1 0 0 0 1 0 0 -1.7958800173440752 0
6 0 0 0 1 0 0 1 -10.438898616350944 0
7 0 0 1 0 1 0 0 -5.0 0
8 0 0 1 0 1 0 0 -4.841637507904751 0
9 0 0 1 0 1 0 0 -4.166215625343521 0
10 1 0 0 0 1 0 0 2.290034611362518 0
11 1 0 0 0 1 0 0 2.5224442335063197 0
12 0 0 0 1 0 0 1 -8.826813731587727 0
13 0 0 1 0 1 0 0 -4.761953896871205 0
14 0 0 0 1 0 0 1 -10.323306390375134 0
15 0 0 1 0 1 0 0 -4.396855627379818 0
16 0 0 1 0 1 0 0 -7.698970004336019 0
17 0 0 1 0 1 0 0 -8.0 0
18 0 0 1 0 1 0 0 -2.7417564900754847 0
19 0 0 0 1 0 0 1 -10.323306390375134 0
20 0 0 0 1 0 0 1 -9.978810700930062 0
21 0 0 0 1 0 0 1 -9.707743928643524 0
22 0 0 0 1 0 0 1 -9.112382699664265 0
23 1 0 0 0 1 0 0 1.919078092376074 0
24 0 0 0 1 0 0 1 -8.247951552180561 0
25 0 0 0 1 0 0 1 -9.236572006437063 0
26 0 0 0 1 0 0 1 -10.61798295742513 0
27 0 0 0 1 0 0 1 -9.045275209020938 0
28 0 0 0 1 0 0 1 -7.064996848546345 0
29 0 0 0 1 1 0 0 -7.251811972993799 0
30 0 0 0 1 0 0 1 -9.79317412396815 0
31 0 0 0 1 0 0 1 -9.79317412396815 0
32 0 0 0 1 0 0 1 -8.954677021213342 0
33 0 1 0 0 0 1 0 -10.61798295742513 1
34 1 0 0 0 0 0 1 -1.6968039425795112 0
