id met_invertebrate met_detritus met_primary_producer mov_swimming mov_other_nonliving mov_floating log_mass mass_missing
0 1 0 0 1 0 0 -4.396855627379818 0
1 1 0 0 1 0 0 -4.649751981665837 0
2 1 0 0 1 0 0 -5.661543506395395 0
3 0 0 1 0 0 1 -10.323306390375134 0
4 1 0 0 1 0 0 -4.841637507904751 0
5 1 0 0 1 0 0 -8.0 0
6 1 0 0 1 0 0 -5.863279432843593 0
7 1 0 0 1 0 0 -2.7417564900754847 0
8 0 0 1 0 0 1 -10.323306390375134 0
9 0 0 1 0 0 1 -10.05256627811295 0
10 0 0 1 0 0 1 -8.866461091629782 0
11 0 0 1 0 0 1 -8.866461091629782 0
12 0 0 1 0 0 1 -8.027334407733889 0
13 0 0 1 0 0 1 -8.247951552180561 0
14 0 0 1 0 0 1 -10.61798295742513 0
15 0 0 1 0 0 1 -9.045275209020938 0
16 0 0 1 0 0 1 -7.064996848546345 0
17 0 0 1 1 0 0 -7.251811972993799 0
18 0 1 0 0 1 0 -10.61798295742513 1
