id met_invertebrate met_heterotrophic_fungi met_heterotrophic_bacteria mov_walking mov_sessile mov_other log_mass mass_missing
0 1 0 0 1 0 0 -4.767003889607846 0
1 1 0 0 1 0 0 -5.079876673709276 0
2 1 0 0 1 0 0 -5.557520230935552 0
3 1 0 0 1 0 0 -4.480172006224281 0
4 1 0 0 1 0 0 -4.809668301829708 0
5 1 0 0 1 0 0 -6.100179497572904 0
6 1 0 0 1 0 0 -4.600326278518962 0
7 1 0 0 0 0 1 -8.698970004336019 0
8 1 0 0 1 0 0 -5.790484985457369 0
9 1 0 0 0 0 1 -5.939302159646388 0
10 1 0 0 0 0 1 -7.079876673709276 0
11 1 0 0 0 0 1 -6.6197887582883945 0
12 1 0 0 0 0 1 -6.8297382846050425 0
13 1 0 0 0 0 1 -7.853871964321762 0
14 1 0 0 1 0 0 -5.392544976785332 0
15 1 0 0 0 0 1 -6.510041520575165 0
16 1 0 0 0 0 1 -6.860120913598763 0
17 1 0 0 1 0 0 -6.459670525209126 0
18 1 0 0 0 0 1 -6.679853713888946 0
19 1 0 0 0 0 1 -6.543633966870957 0
20 1 0 0 0 0 1 -7.767003889607846 0
21 1 0 0 0 0 1 -7.856985199745905 0
22 1 0 0 0 0 1 -7.570247719997592 0
23 1 0 0 0 0 1 -7.448550002027125 0
24 1 0 0 0 0 1 -10.358525889495901 0
25 1 0 0 0 0 1 -7.705533773838407 0
26 0 0 1 0 0 1 -12.995678626217357 0
27 1 0 0 1 0 0 -0.5520202462954151 0
28 1 0 0 0 0 1 -7.841637507904751 0
29 1 0 0 0 0 1 -8.6345120151091 0
30 1 0 0 0 0 1 -7.39040559077478 0
31 1 0 0 1 0 0 -5.1432711096171175 0
32 1 0 0 1 0 0 -4.616184634019569 0
33 1 0 0 0 0 1 -7.536107011014093 0
34 1 0 0 0 0 1 -11.251037138743838 0
35 1 0 0 1 0 0 -4.342944147142896 0
36 1 0 0 0 0 1 -7.393618634889395 0
37 1 0 0 1 0 0 -1.3200000021074918 0
38 1 0 0 1 0 0 -1.4000000006038094 0
39 1 0 0 1 0 0 -2.1000000189853054 0
40 1 0 0 1 0 0 -4.910094888560602 0
41 1 0 0 1 0 0 -4.319664486585436 0
42 1 0 0 0 0 1 -7.97061622231479 0
43 1 0 0 0 0 1 -7.273272790973428 0
44 1 0 0 0 0 1 -7.860120913598763 0
45 1 0 0 0 0 1 -7.464705879957229 0
46 1 0 0 0 0 1 -7.798602875679548 0
47 1 0 0 0 0 1 -7.076755981369724 0
48 1 0 0 0 0 1 -7.91721462968355 0
49 1 0 0 1 0 0 -5.619788758288394 0
50 1 0 0 0 0 1 -7.570247719997592 0
51 1 0 0 0 1 0 -7.3851027839668655 0
52 1 0 0 0 0 1 -7.649751981665837 0
53 1 0 0 0 0 1 -7.6307841425898575 0
54 1 0 0 0 0 1 -8.079876673709276 0
55 1 0 0 0 0 1 -6.600326278518962 0
56 1 0 0 1 0 0 -5.950781977329818 0
57 1 0 0 0 0 1 -7.616184634019569 0
58 1 0 0 1 0 0 -6.0400051616715835 0
59 0 1 0 0 1 0 -7.3851027839668655 1
60 1 0 0 1 0 0 -5.560667306169737 0
61 1 0 0 1 0 0 -5.229884705212898 0
62 1 0 0 1 0 0 -4.686132779630847 0
63 1 0 0 1 0 0 -3.5799996684336257 0
64 1 0 0 1 0 0 -4.505845405981558 0
65 1 0 0 1 0 0 -3.990001269951939 0
66 1 0 0 1 0 0 -4.39040559077478 0
67 1 0 0 1 0 0 -4.026872146400302 0
68 1 0 0 1 0 0 -7.0101054362812265 0
69 1 0 0 1 0 0 -5.560667306169737 0
70 1 0 0 1 0 0 -5.156678218011546 0
71 1 0 0 1 0 0 -5.280668713016273 0
72 1 0 0 1 0 0 -4.910094888560602 0
73 1 0 0 1 0 0 -5.978810700930062 0
74 1 0 0 1 0 0 -5.35261702988538 0
75 1 0 0 0 0 1 -7.7544873321858505 0
76 1 0 0 1 0 0 -5.270025714300444 0
77 1 0 0 0 0 1 -7.363512103646634 0
78 1 0 0 0 0 1 -5.329754146925876 0
79 1 0 0 0 0 1 -8.059981844992336 0
80 1 0 0 0 0 1 -7.289882634888183 0
81 1 0 0 0 0 1 -6.6307841425898575 0
82 1 0 0 0 0 1 -7.062482107982653 0
83 1 0 0 0 0 1 -7.906578314837765 0
84 1 0 0 0 0 1 -7.924453038607469 0
85 1 0 0 0 0 1 -7.229884705212898 0
86 1 0 0 1 0 0 -5.82102305270683 0
87 1 0 0 1 0 0 -5.082494490447453 0
88 1 0 0 1 0 0 -6.527243550682788 0
89 1 0 0 1 0 0 -6.638272163982407 0
90 1 0 0 0 0 1 -6.739928612014925 0
91 1 0 0 0 0 1 -7.267606240177032 0
92 1 0 0 0 0 1 -7.292429823902063 0
93 1 0 0 0 0 1 -6.6595558851598815 0
