id met_invertebrate met_heterotrophic_fungi met_heterotrophic_bacteria mov_walking mov_sessile mov_other log_mass mass_missing
0 1 0 0 0 0 1 -8.369572124974976 0
1 1 0 0 0 0 1 -6.209714835966758 0
2 1 0 0 0 0 1 -6.580044251510242 0
3 1 0 0 0 0 1 -6.8297382846050425 0
4 1 0 0 0 0 1 -7.779891911959945 0
5 1 0 0 0 0 1 -7.037630664329979 0
6 1 0 0 0 0 1 -7.489454989793388 0
7 1 0 0 0 0 1 -7.698970004336019 0
8 1 0 0 0 0 1 -6.464705879957229 0
9 1 0 0 1 0 0 -5.950781977329818 0
10 1 0 0 0 0 1 -7.39577394691553 0
11 1 0 0 0 0 1 -7.772113295386326 0
12 1 0 0 0 0 1 -7.679853713888946 0
13 1 0 0 0 0 1 -7.496209316942819 0
14 1 0 0 0 0 1 -10.356547323513812 0
15 1 0 0 0 0 1 -6.920818753952375 0
16 1 0 0 0 0 1 -8.209714835966759 0
17 1 0 0 0 0 1 -7.809668301829708 0
18 0 0 1 0 0 1 -12.920818753952375 0
19 1 0 0 1 0 0 -0.6800000001775262 0
20 1 0 0 1 0 0 -0.5520202462954151 0
21 1 0 0 1 0 0 -4.85078088734462 0
22 1 0 0 0 0 1 -7.779891911959945 0
23 1 0 0 0 0 1 -8.019996628416253 0
24 1 0 0 1 0 0 -4.991399828238082 0
25 1 0 0 1 0 0 -4.860120913598763 0
26 1 0 0 1 0 0 -5.619788758288394 0
27 1 0 0 1 0 0 -5.342944147142896 0
28 1 0 0 0 0 1 -7.530177984021837 0
29 1 0 0 0 0 1 -8.050122295963124 0
30 1 0 0 0 0 1 -11.248720896016657 0
31 1 0 0 1 0 0 -4.638272163982407 0
32 1 0 0 0 0 1 -7.275724130399211 0
33 1 0 0 1 0 0 -1.3200000021074918 0
34 1 0 0 1 0 0 -1.4000000006038094 0
35 1 0 0 1 0 0 -2.1000000189853054 0
36 1 0 0 1 0 0 -5.379863945026242 0
37 1 0 0 1 0 0 -5.279014255846261 0
38 1 0 0 1 0 0 -4.860120913598763 0
39 1 0 0 0 0 1 -8.140261433802854 0
40 1 0 0 0 0 1 -7.329754146925876 0
41 1 0 0 0 0 1 -7.510041520575165 0
42 1 0 0 0 0 1 -7.52432881167557 0
43 1 0 0 0 0 1 -6.809668301829708 0
44 1 0 0 0 0 1 -7.954677021213342 0
45 1 0 0 0 0 1 -8.265200170411154 0
46 1 0 0 0 0 1 -7.413412695328245 0
47 1 0 0 0 0 1 -7.801342913045578 0
48 1 0 0 0 0 1 -7.924453038607469 0
49 1 0 0 1 0 0 -6.1598939055432425 0
50 1 0 0 1 0 0 -5.140261433802853 0
51 1 0 0 1 0 0 -5.701146923590294 0
52 1 0 0 1 0 0 -4.8326826652518236 0
53 1 0 0 0 1 0 -7.4089353929735005 0
54 1 0 0 0 0 1 -7.730487055782084 0
55 1 0 0 0 0 1 -7.962573502059376 0
56 1 0 0 0 0 1 -7.137868620686963 0
57 1 0 0 0 0 1 -6.600326278518962 0
58 1 0 0 1 0 0 -4.5934598195660445 0
59 1 0 0 1 0 0 -3.990001269951939 0
60 1 0 0 0 0 1 -7.490797477668897 0
61 1 0 0 1 0 0 -6.219682687859849 0
62 0 1 0 0 1 0 -7.4089353929735005 1
63 1 0 0 1 0 0 -5.560667306169737 0
64 1 0 0 1 0 0 -4.576754126063192 0
65 1 0 0 1 0 0 -3.9599992855266803 0
66 1 0 0 1 0 0 -4.698970004336019 0
67 1 0 0 1 0 0 -4.130181792020672 0
68 1 0 0 1 0 0 -4.230622673923862 0
69 1 0 0 1 0 0 -3.7700009340507084 0
70 1 0 0 1 0 0 -5.189767482004916 0
71 1 0 0 1 0 0 -5.309803919971486 0
72 1 0 0 1 0 0 -5.504455662453552 0
73 1 0 0 0 0 1 -7.896196279044043 0
74 1 0 0 1 0 0 -5.140261433802853 0
75 1 0 0 0 0 1 -7.4156687756324695 0
76 1 0 0 0 0 1 -7.359518563029578 0
77 1 0 0 0 0 1 -6.070070439915412 0
78 1 0 0 0 0 1 -7.673664139071248 0
79 1 0 0 0 0 1 -7.289882634888183 0
80 1 0 0 1 0 0 -5.396855627379818 0
81 1 0 0 0 0 1 -6.6307841425898575 0
82 1 0 0 0 0 1 -6.958607314841775 0
83 1 0 0 0 0 1 -7.764471553092451 0
84 1 0 0 0 0 1 -7.5934598195660445 0
85 1 0 0 0 0 1 -7.229884705212898 0
86 1 0 0 0 0 1 -6.349692476868063 0
87 1 0 0 1 0 0 -5.279840696594043 0
88 1 0 0 1 0 0 -6.391473966422806 0
89 1 0 0 1 0 0 -6.525783735923745 0
90 1 0 0 0 0 1 -6.739928612014925 0
91 1 0 0 0 0 1 -7.285670240254767 0
92 1 0 0 0 0 1 -7.412289034981089 0
93 1 0 0 0 0 1 -6.6595558851598815 0
