id met_ectotherm_vertebrate met_invertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 0 0 1 0 0 1 0 -3.6420651529995465
1 1 0 0 1 0 0 0 0.21218760440395779
2 0 1 0 0 0 1 0 -1.5243288116755704
3 0 1 0 0 1 0 0 0.5365584425715302
4 0 1 0 0 1 0 0 -2.468521082957745
5 1 0 0 1 0 0 0 0.08635983067474821
6 1 0 0 1 0 0 0 -0.585026652029182
7 0 1 0 0 1 0 0 -3.6989700043360187
8 0 1 0 0 1 0 0 -2.0
9 0 1 0 0 1 0 0 -2.5686362358410126
10 0 1 0 0 1 0 0 -3.045757490560675
11 0 1 0 0 1 0 0 -0.7695510786217261
12 0 1 0 0 1 0 0 -2.4436974992327127
13 0 1 0 0 1 0 0 -2.0
14 0 0 1 0 0 1 0 -3.6420651529995465
15 0 0 1 0 0 1 0 -3.6420651529995465
16 0 1 0 0 0 1 0 -2.0
17 0 1 0 0 1 0 0 -0.9208187539523752
18 0 0 1 0 0 1 0 -3.6420651529995465
19 0 0 1 0 0 1 0 -3.6420651529995465
20 0 0 1 0 0 1 0 -3.6420651529995465
21 0 0 1 0 0 1 0 -3.6420651529995465
22 0 1 0 0 0 1 0 -2.0
23 0 0 1 0 0 1 0 -3.6420651529995465
24 0 0 1 0 0 1 0 -3.6420651529995465
25 0 0 1 0 0 1 0 -3.6420651529995465
26 0 1 0 0 0 1 0 -2.0
27 0 0 1 0 0 1 0 -3.6420651529995465
28 0 0 1 0 0 1 0 -3.6420651529995465
29 0 1 0 0 0 1 0 -2.853871964321762
30 0 1 0 0 0 1 0 -2.585026652029182
31 0 0 1 0 0 0 1 -4.0
32 0 1 0 0 0 1 0 -2.0
33 0 1 0 0 0 1 0 -2.0
34 0 1 0 0 1 0 0 1.2035767749779727
35 0 1 0 0 0 1 0 -2.0
36 0 1 0 1 0 0 0 -3.0
37 0 1 0 1 0 0 0 -3.0
38 0 1 0 0 1 0 0 -2.167491087293764
39 0 1 0 0 1 0 0 0.456366033129043
40 0 0 1 0 0 1 0 -3.6420651529995465
41 0 0 1 0 0 1 0 -3.6420651529995465
42 0 0 1 0 0 1 0 -3.6420651529995465
43 0 1 0 0 0 1 0 -2.6989700043360187
44 0 0 1 0 0 1 0 -3.6420651529995465
45 0 1 0 0 0 1 0 -2.886056647693163
46 0 1 0 0 1 0 0 -2.9208187539523753
47 0 1 0 0 0 1 0 -1.322393047279507
