id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_walking mov_sessile mov_other mov_swimming log_mass
0 1 0 0 0 0 0 1 -3.0969100130080562
1 1 0 0 0 0 0 1 -3.0969100130080562
2 1 0 0 0 1 0 0 -2.161150909262745
3 1 0 0 1 0 0 0 -3.3010299956639813
4 1 0 0 1 0 0 0 -2.2518119729937998
5 0 0 1 0 0 0 1 0.04336227802112949
6 1 0 0 1 0 0 0 -2.0
7 0 1 0 0 1 0 0 -3.6420651529995465
8 1 0 0 1 0 0 0 -0.8961962790440433
9 1 0 0 0 1 0 0 -1.562249437179612
10 1 0 0 1 0 0 0 -1.562249437179612
11 1 0 0 1 0 0 0 -2.537602002101044
12 1 0 0 1 0 0 0 -3.6989700043360187
13 0 1 0 0 1 0 0 -3.6420651529995465
14 0 1 0 0 1 0 0 -3.6420651529995465
15 0 1 0 0 1 0 0 -3.6420651529995465
16 0 1 0 0 1 0 0 -3.6420651529995465
17 0 1 0 0 1 0 0 -3.6420651529995465
18 0 0 1 0 0 0 1 -0.13076828026902382
19 0 1 0 0 1 0 0 -3.6420651529995465
20 0 1 0 0 1 0 0 -3.6420651529995465
21 0 1 0 0 1 0 0 -3.6420651529995465
22 0 1 0 0 1 0 0 -3.6420651529995465
23 0 1 0 0 1 0 0 -3.6420651529995465
24 1 0 0 0 1 0 0 -2.0
25 1 0 0 0 1 0 0 -2.0
26 0 1 0 0 1 0 0 -3.6420651529995465
27 0 1 0 0 1 0 0 -3.6420651529995465
28 0 1 0 0 1 0 0 -3.6420651529995465
29 0 1 0 0 1 0 0 -3.6420651529995465
30 0 1 0 0 0 1 0 -4.0
31 1 0 0 0 1 0 0 1.6047658847038873
32 1 0 0 0 1 0 0 2.4143046881283317
33 1 0 0 0 1 0 0 2.005395031886706
34 1 0 0 0 1 0 0 1.7323937598229686
35 1 0 0 0 0 0 1 -3.0
36 0 1 0 0 1 0 0 -3.6420651529995465
37 0 1 0 0 1 0 0 -3.6420651529995465
38 1 0 0 1 0 0 0 -1.7644715530924513
39 1 0 0 1 0 0 0 -0.09151498112135022
40 0 1 0 0 1 0 0 -3.6420651529995465
41 0 1 0 0 1 0 0 -3.6420651529995465
42 0 1 0 0 1 0 0 -3.6420651529995465
43 1 0 0 1 0 0 0 -2.5228787452803374
44 1 0 0 0 1 0 0 1.0503797562614579
