id met_invertebrate met_ectotherm_vertebrate met_primary_producer mov_swimming mov_walking mov_sessile mov_other log_mass
0 1 0 0 1 0 0 0 -3.3010299956639813
1 1 0 0 1 0 0 0 -2.8239087409443187
2 1 0 0 0 0 1 0 -2.494850021680094
3 1 0 0 1 0 0 0 -2.0
4 1 0 0 0 1 0 0 -3.3979400086720375
5 1 0 0 1 0 0 0 -2.0
6 1 0 0 1 0 0 0 -3.0457574905606752
7 0 1 0 1 0 0 0 -0.22040350874217546
8 1 0 0 0 1 0 0 -2.638272163982407
9 1 0 0 0 1 0 0 -1.3695721249749762
10 1 0 0 0 1 0 0 -1.9586073148417749
11 1 0 0 0 0 1 0 0.9542425094393249
12 1 0 0 0 1 0 0 0.8401060944567578
13 1 0 0 0 1 0 0 -0.6472388082761692
14 0 0 1 0 0 1 0 -3.642065152999546
15 1 0 0 0 1 0 0 -2.0555173278498313
16 0 1 0 1 0 0 0 0.08026562733984477
17 1 0 0 0 1 0 0 0.5921767573958667
18 1 0 0 0 1 0 0 -1.8728952016351923
19 1 0 0 0 1 0 0 -0.6575773191777937
20 1 0 0 0 1 0 0 -2.3872161432802645
21 1 0 0 0 1 0 0 -1.301029995663981
22 1 0 0 0 1 0 0 -3.6989700043360187
23 0 0 1 0 0 1 0 -3.642065152999546
24 0 0 1 0 0 1 0 -3.642065152999546
25 0 0 1 0 0 1 0 -3.642065152999546
26 1 0 0 1 0 0 0 -3.0
27 1 0 0 1 0 0 0 -3.0
28 0 0 1 0 0 1 0 -3.642065152999546
29 0 0 1 0 0 1 0 -3.642065152999546
30 0 0 1 0 0 1 0 -3.642065152999546
31 0 0 1 0 0 1 0 -3.642065152999546
32 0 0 1 0 0 1 0 -3.642065152999546
33 0 0 1 0 0 1 0 -3.642065152999546
34 0 0 1 0 0 1 0 -3.642065152999546
35 0 0 1 0 0 1 0 -3.642065152999546
36 1 0 0 0 0 1 0 -2.0
37 0 0 1 0 0 1 0 -3.642065152999546
38 1 0 0 0 0 1 0 -2.9208187539523753
39 0 0 1 0 0 0 1 -4.0
40 1 0 0 0 0 1 0 1.0958664534785427
41 1 0 0 0 0 1 0 2.0461047872460387
42 1 0 0 0 0 1 0 2.3086284325990527
43 1 0 0 0 0 1 0 -2.0
44 1 0 0 0 0 1 0 -2.0
45 1 0 0 0 0 1 0 -2.0
46 1 0 0 1 0 0 0 -3.0
47 1 0 0 0 1 0 0 -2.2006594505464183
48 0 0 1 0 0 1 0 -3.642065152999546
49 0 0 1 0 0 1 0 -3.642065152999546
50 0 0 1 0 0 1 0 -3.642065152999546
51 0 0 1 0 0 1 0 -3.642065152999546
52 1 0 0 0 1 0 0 -2.958607314841775
