id met_invertebrate met_primary_producer mov_swimming mov_other mov_sessile mov_walking log_mass
0 1 0 1 0 0 0 -3.154901959985743
1 1 0 0 0 0 1 -0.630784142589857
2 1 0 0 0 0 1 -3.5228787452803374
3 1 0 0 0 0 1 -3.0457574905606752
4 1 0 1 0 0 0 -2.619788758288394
5 0 1 0 0 1 0 -3.642065152999546
6 1 0 0 0 0 1 -1.0087739243075051
7 1 0 0 0 0 1 -2.0
8 1 0 0 0 0 1 -2.1023729087095586
9 1 0 1 0 0 0 -0.07572071393811836
10 1 0 1 0 0 0 -3.0
11 1 0 0 0 0 1 -2.0
12 1 0 0 0 0 1 -2.0
13 1 0 0 0 0 1 -2.744727494896694
14 1 0 0 0 0 1 0.23044892137827386
15 1 0 0 0 0 1 0.43296929087440583
16 1 0 0 0 0 1 -3.5228787452803374
17 0 1 0 0 1 0 -3.642065152999546
18 0 1 0 0 1 0 -3.642065152999546
19 1 0 0 0 1 0 -0.11350927482751812
20 0 1 0 0 1 0 -3.642065152999546
21 0 1 0 0 1 0 -3.642065152999546
22 0 1 0 0 1 0 -3.642065152999546
23 0 1 0 0 1 0 -3.642065152999546
24 0 1 0 0 1 0 -3.642065152999546
25 0 1 0 1 0 0 -4.0
26 1 0 0 0 1 0 -2.0
27 1 0 0 0 1 0 -2.0
28 1 0 0 0 1 0 -2.0
29 1 0 0 0 1 0 -2.0
30 1 0 1 0 0 0 -3.0
31 0 1 0 0 1 0 -3.642065152999546
32 0 1 0 0 1 0 -3.642065152999546
33 0 1 0 0 1 0 -3.642065152999546
34 1 0 0 0 0 1 0.3654879848908996
35 0 1 0 0 1 0 -3.642065152999546
