id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other mov_sessile mov_walking log_mass
0 0 1 0 0 0 1 0 -3.6420651529995465
1 1 0 0 1 0 0 0 -2.958607314841775
2 1 0 0 0 0 0 1 1.1332194567324942
3 0 0 1 1 0 0 0 -0.00877392430750515
4 1 0 0 1 0 0 0 -2.4559319556497243
5 1 0 0 0 0 0 1 -0.4294570601181025
6 1 0 0 0 0 0 1 -3.3010299956639813
7 1 0 0 1 0 0 0 -2.9208187539523753
8 1 0 0 0 0 0 1 -3.0457574905606752
9 1 0 0 0 0 0 1 -2.0
10 1 0 0 0 0 0 1 -1.9999999999999998
11 1 0 0 0 0 0 1 -2.2676062401770314
12 1 0 0 0 0 0 1 -0.36653154442041347
13 1 0 0 0 0 0 1 0.6384892569546373
14 1 0 0 0 0 0 1 -2.744727494896694
15 1 0 0 0 0 0 1 0.48287358360875376
16 1 0 0 0 0 0 1 -0.744727494896694
17 1 0 0 1 0 0 0 -2.3979400086720375
18 1 0 0 0 0 0 1 -0.033858267260967426
19 0 1 0 0 0 1 0 -3.6420651529995465
20 0 1 0 0 0 1 0 -3.6420651529995465
21 0 1 0 0 0 1 0 -3.6420651529995465
22 0 1 0 0 0 1 0 -3.6420651529995465
23 0 1 0 0 0 1 0 -3.6420651529995465
24 0 1 0 0 0 1 0 -3.6420651529995465
25 0 1 0 0 0 1 0 -3.6420651529995465
26 0 1 0 0 0 1 0 -3.6420651529995465
27 0 1 0 0 0 1 0 -3.6420651529995465
28 0 1 0 0 0 1 0 -3.6420651529995465
29 0 1 0 0 0 1 0 -3.6420651529995465
30 1 0 0 0 0 0 1 -3.2218487496163566
31 0 1 0 0 0 1 0 -3.6420651529995465
32 0 1 0 0 1 0 0 -4.0
33 1 0 0 0 0 1 0 0.6901960800285137
34 1 0 0 0 0 1 0 -2.0
35 1 0 0 0 0 1 0 -2.0
36 1 0 0 0 0 1 0 -2.0
37 1 0 0 0 0 1 0 -2.0
38 1 0 0 1 0 0 0 -0.6989700043360187
39 1 0 0 0 0 1 0 -2.0
40 1 0 0 1 0 0 0 -3.0
41 0 1 0 0 0 1 0 -3.6420651529995465
42 0 1 0 0 0 1 0 -3.6420651529995465
43 0 1 0 0 0 1 0 -3.6420651529995465
44 0 1 0 0 0 1 0 -3.6420651529995465
45 1 0 0 0 0 0 1 0.2013971243204515
46 0 1 0 0 0 1 0 -3.6420651529995465
47 0 1 0 0 0 1 0 -3.6420651529995465
