id met_invertebrate met_primary_producer met_detritus met_heterotrophic_fungi met_endotherm_vertebrate met_ectotherm_vertebrate mov_walking mov_other mov_other_nonliving mov_flying log_mass mass_missing
0 1 0 0 0 0 0 1 0 0 0 -3.062482107982653 0
1 0 0 0 0 1 0 0 0 0 1 1.7363965022766423 0
2 0 0 0 0 1 0 0 0 0 1 0.9030899869919435 0
3 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
4 1 0 0 0 0 0 1 0 0 0 -2.221848749616356 0
5 1 0 0 0 0 0 1 0 0 0 -1.9208187539523751 0
6 0 0 0 0 0 1 1 0 0 0 2.0 0
7 1 0 0 0 0 0 0 0 0 1 -0.398369903646373 0
8 0 0 0 0 1 0 1 0 0 0 3.4097188592101 0
9 1 0 0 0 0 0 1 0 0 0 -2.0969100130080562 0
10 1 0 0 0 0 0 0 0 0 1 -1.2527792615572442 0
11 1 0 0 0 0 0 1 0 0 0 -2.2924298239020637 0
12 1 0 0 0 0 0 1 0 0 0 -2.0969100130080562 0
13 1 0 0 0 0 0 1 0 0 0 -2.170696227168975 0
14 1 0 0 0 0 0 1 0 0 0 -2.4559319556497243 0
15 1 0 0 0 0 0 1 0 0 0 -2.0 0
16 0 1 0 0 0 0 0 1 0 0 -6.085656842880559 0
17 1 0 0 0 0 0 1 0 0 0 -3.1870866433571443 0
18 1 0 0 0 0 0 1 0 0 0 -3.1268189529679047 0
19 1 0 0 0 0 0 1 0 0 0 -2.4881166390211256 0
20 1 0 0 0 0 0 1 0 0 0 -0.23038205503436304 0
21 1 0 0 0 0 0 1 0 0 0 -4.441291429466834 0
22 1 0 0 0 0 0 1 0 0 0 -5.0695604052333 0
23 1 0 0 0 0 0 1 0 0 0 -1.4939056037762488 0
24 1 0 0 0 0 0 0 0 0 1 -2.7768304866222975 0
25 1 0 0 0 0 0 1 0 0 0 -0.5068187392400874 0
26 0 0 0 0 1 0 0 0 0 1 3.5440680443502757 0
27 1 0 0 0 0 0 1 0 0 0 -0.10382379456727477 0
28 1 0 0 0 0 0 0 0 0 1 -1.7587625661113977 0
29 1 0 0 0 0 0 0 0 0 1 0.8343156665570426 0
30 1 0 0 0 0 0 1 0 0 0 -2.1870866433571443 0
31 1 0 0 0 0 0 0 0 0 1 -1.0063239420437053 0
32 1 0 0 0 0 0 0 0 0 1 -2.7768304866222975 0
33 1 0 0 0 0 0 1 0 0 0 -1.8674118953829169 0
34 1 0 0 0 0 0 1 0 0 0 -5.962573502059376 0
35 1 0 0 0 0 0 1 0 0 0 -2.807307684044708 0
36 1 0 0 0 0 0 1 0 0 0 -1.7337791960981246 0
37 0 0 0 0 1 0 0 0 0 1 2.380211241711606 0
38 0 0 1 0 0 0 0 0 1 0 -6.085656842880559 1
39 0 0 0 1 0 0 0 1 0 0 0.6495731382345352 0
40 1 0 0 0 0 0 1 0 0 0 -2.7695510786217263 0
41 1 0 0 0 0 0 1 0 0 0 0.12994094847130755 0
42 1 0 0 0 0 0 1 0 0 0 -2.154901959985743 0
43 1 0 0 0 0 0 1 0 0 0 -1.322393047279507 0
44 1 0 0 0 0 0 0 0 0 1 -0.8286341370265389 0
45 1 0 0 0 0 0 1 0 0 0 -1.7891895584639559 0
46 1 0 0 0 0 0 0 0 0 1 -1.1472279134798833 0
47 1 0 0 0 0 0 1 0 0 0 -2.1870866433571443 0
48 1 0 0 0 0 0 0 0 0 1 0.7432389481836468 0
49 1 0 0 0 0 0 1 0 0 0 -2.3736596326249577 0
50 1 0 0 0 0 0 1 0 0 0 -2.7271782734307415 0
51 0 1 0 0 0 0 0 1 0 0 -1.2370797087921401 0
52 1 0 0 0 0 0 1 0 0 0 -2.3010299956639813 0
53 1 0 0 0 0 0 1 0 0 0 -3.1191412662968205 0
54 1 0 0 0 0 0 0 0 0 1 -1.3919865223144732 0
55 1 0 0 0 0 0 1 0 0 0 -3.0996328713435295 0
