id met_invertebrate met_primary_producer met_ectotherm_vertebrate mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 0 1 0 0 0 -3.642065152999546
1 1 0 0 0 0 1 0 -2.958607314841775
2 1 0 0 0 0 0 1 1.8935953338198832
3 1 0 0 0 0 0 1 -2.552841968657781
4 1 0 0 0 0 0 1 -2.886056647693163
5 1 0 0 0 0 1 0 -2.853871964321762
6 0 0 1 0 0 1 0 -2.0
7 1 0 0 0 0 0 1 -2.431798275933005
8 1 0 0 0 0 1 0 -0.4436974992327127
9 1 0 0 0 0 0 1 -2.468521082957745
10 0 0 1 0 0 1 0 -0.5630426693305504
11 1 0 0 0 0 0 1 -3.2218487496163566
12 1 0 0 0 0 0 1 -0.37059040089728107
13 0 1 0 1 0 0 0 -3.642065152999546
14 0 1 0 1 0 0 0 -3.642065152999546
15 0 1 0 1 0 0 0 -3.642065152999546
16 0 1 0 1 0 0 0 -3.642065152999546
17 0 1 0 1 0 0 0 -3.642065152999546
18 0 1 0 1 0 0 0 -3.642065152999546
19 0 1 0 1 0 0 0 -3.642065152999546
20 0 1 0 1 0 0 0 -3.642065152999546
21 0 1 0 1 0 0 0 -3.642065152999546
22 1 0 0 0 0 0 1 -3.154901959985743
23 0 1 0 1 0 0 0 -3.642065152999546
24 0 1 0 0 1 0 0 -4.0
25 1 0 0 1 0 0 0 -2.0
26 1 0 0 0 0 1 0 -3.0
27 0 1 0 1 0 0 0 -3.642065152999546
28 0 1 0 1 0 0 0 -3.642065152999546
29 0 1 0 1 0 0 0 -3.642065152999546
30 1 0 0 0 0 0 1 0.6095944092252201
