id met_invertebrate met_primary_producer mov_sessile mov_other mov_swimming mov_walking log_mass
0 0 1 1 0 0 0 -3.6420651529995465
1 1 0 0 0 0 1 -0.6197887582883939
2 1 0 0 0 0 1 -2.721246399047171
3 1 0 0 0 0 1 -2.5686362358410126
4 1 0 0 0 0 1 0.9965116721541787
5 1 0 0 0 0 1 -3.0457574905606752
6 1 0 0 0 0 1 -3.154901959985743
7 1 0 0 0 0 1 0.39093510710337914
8 1 0 0 0 0 1 -1.0619809025237896
9 0 1 1 0 0 0 -3.6420651529995465
10 0 1 1 0 0 0 -3.6420651529995465
11 0 1 1 0 0 0 -3.6420651529995465
12 0 1 1 0 0 0 -3.6420651529995465
13 0 1 1 0 0 0 -3.6420651529995465
14 0 1 0 1 0 0 -4.0
15 1 0 1 0 0 0 -2.0
16 1 0 1 0 0 0 -2.0
17 1 0 1 0 0 0 -2.0
18 1 0 0 0 1 0 -3.0
19 0 1 1 0 0 0 -3.6420651529995465
20 1 0 0 0 0 1 -0.00877392430750515
21 0 1 1 0 0 0 -3.6420651529995465
22 0 1 1 0 0 0 -3.6420651529995465
