id met_invertebrate met_detritus met_primary_producer met_ectotherm_vertebrate mov_swimming mov_other_nonliving mov_floating mov_walking mov_sessile log_mass mass_missing
0 0 0 1 0 0 0 1 0 0 -8.705263539272302 1
1 1 0 0 0 1 0 0 0 0 -4.54515513999149 0
2 1 0 0 0 1 0 0 0 0 -3.6502427789938614 0
3 1 0 0 0 1 0 0 0 0 -3.9056057444414667 0
4 1 0 0 0 0 0 0 1 0 -4.086186147616283 0
5 1 0 0 0 0 0 0 1 0 -5.032920265855503 0
6 0 0 1 0 0 0 1 0 0 -8.705263539272302 1
7 1 0 0 0 1 0 0 0 0 -3.605292721038605 0
8 1 0 0 0 0 0 0 1 0 -5.032920265855503 0
9 1 0 0 0 1 0 0 0 0 -3.784182729229933 0
10 1 0 0 0 1 0 0 0 0 -3.0866233101862637 0
11 0 0 1 0 0 0 1 0 0 -9.1546981553018 1
12 0 0 1 0 0 0 1 0 0 -8.705263539272302 1
13 0 0 1 0 0 0 1 0 0 -8.705263539272302 1
14 1 0 0 0 1 0 0 0 0 -4.295849483160201 0
15 1 0 0 0 1 0 0 0 0 -3.9860132068802976 0
16 1 0 0 0 0 0 0 1 0 -4.261219441515631 0
17 0 0 0 1 1 0 0 0 0 2.8020892578817325 0
18 1 0 0 0 0 0 0 1 0 -1.8043329648903503 0
19 0 0 1 0 0 0 1 0 0 -9.018936819149399 1
20 1 0 0 0 1 0 0 0 0 -3.8772305443679858 0
21 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
22 1 0 0 0 1 0 0 0 0 -4.137272471682025 0
23 1 0 0 0 0 0 0 1 0 -3.3514633793131594 0
24 1 0 0 0 1 0 0 0 0 -3.157520568942596 0
25 1 0 0 0 0 0 0 1 0 -4.317854923626168 0
26 1 0 0 0 1 0 0 0 0 -3.6352201926784784 0
27 1 0 0 0 1 0 0 0 0 -3.1360600474451767 0
28 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
29 0 0 0 1 1 0 0 0 0 1.3010299956639813 0
30 1 0 0 0 0 0 0 1 0 -3.2426343425124116 0
31 1 0 0 0 0 0 0 1 0 -3.6266116385821343 0
32 0 0 1 0 0 0 1 0 0 -7.96105281653477 1
33 1 0 0 0 1 0 0 0 0 -3.4265319429602363 0
34 1 0 0 0 0 0 0 1 0 -3.828194590891247 0
35 1 0 0 0 0 0 0 1 0 -1.8043329648903503 0
36 0 0 1 0 0 0 1 0 0 -9.978810700930062 1
37 1 0 0 0 0 0 0 1 0 -3.6190546975080085 0
38 0 0 1 0 0 0 1 0 0 -8.701804561429558 1
39 1 0 0 0 1 0 0 0 0 -3.6212824015669756 0
40 1 0 0 0 1 0 0 0 0 -3.508048906371251 0
41 1 0 0 0 0 0 0 1 0 -3.419812012118853 0
42 0 0 1 0 0 0 1 0 0 -8.701804561429558 1
43 0 0 1 0 0 0 1 0 0 -8.74244541270759 1
44 1 0 0 0 0 0 0 1 0 -3.3478416875117905 0
45 1 0 0 0 0 0 0 1 0 -4.97469413473523 0
46 1 0 0 0 1 0 0 0 0 -3.157520568942596 0
47 0 0 1 0 0 0 1 0 0 -7.929079206781836 1
48 1 0 0 0 1 0 0 0 0 -3.211596155146058 0
49 0 0 1 0 0 0 1 0 0 -8.355561410532161 1
50 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
51 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
52 1 0 0 0 0 0 0 1 0 -3.0819969386042825 0
53 0 0 1 0 0 0 1 0 0 -8.836510641807301 1
54 0 0 1 0 0 0 1 0 0 -9.055681864499613 1
55 0 0 1 0 0 0 1 0 0 -9.109998386815363 1
56 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
57 0 0 1 0 0 0 1 0 0 -8.821503510975212 1
58 0 0 1 0 0 0 1 0 0 -8.821503510975212 1
59 0 0 1 0 0 0 1 0 0 -8.814960988871428 1
60 0 0 1 0 0 0 1 0 0 -8.821503510975212 1
61 0 0 1 0 0 0 1 0 0 -8.821503510975212 1
62 1 0 0 0 0 0 0 1 0 -4.334419008982047 0
63 0 0 1 0 0 0 0 0 1 -5.032920265855503 1
64 0 0 1 0 0 0 1 0 0 -8.648010544564368 1
65 0 0 1 0 0 0 1 0 0 -8.045223166137303 1
66 0 0 1 0 0 0 1 0 0 -8.045223166137303 1
67 0 0 1 0 0 0 1 0 0 -8.045223166137303 1
68 0 0 1 0 0 0 1 0 0 -9.045275209020938 1
69 0 0 1 0 0 0 1 0 0 -8.413978149818515 1
70 0 0 1 0 0 0 1 0 0 -8.413978149818515 1
71 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
72 0 0 1 0 0 0 1 0 0 -7.824053529904454 1
73 0 0 1 0 0 0 1 0 0 -7.824053529904454 1
74 1 0 0 0 0 0 0 1 0 -3.6266116385821343 0
75 0 0 1 0 0 0 1 0 0 -8.363404653772209 1
76 0 0 1 0 0 0 1 0 0 -8.292855811657555 1
77 0 0 1 0 0 0 1 0 0 -0.7528574516599705 1
78 0 0 1 0 0 0 1 0 0 -7.949523572734937 1
79 0 0 1 0 0 0 1 0 0 -7.949523572734937 1
80 0 0 1 0 0 0 1 0 0 -7.529272063769566 1
81 0 0 1 0 0 0 1 0 0 -8.537482213248566 1
82 0 0 1 0 0 0 1 0 0 -8.528209723454808 1
83 1 0 0 0 0 0 1 0 0 -2.9430986090646325 1
84 0 1 0 0 0 1 0 0 0 -5.032920265855503 1
85 0 0 1 0 0 0 0 0 1 -5.032920265855503 1
